연번,구분,인허가일자,업종,업소명,지번주소,도로명주소,위도,경도,업소소재지전화,데이터기준일자
1,신규,2021-04-01,일반음식점,달밤포차,강원도 정선군 사북읍 사북리 369-24,"강원도 정선군 사북읍 사북중앙로 30-1, 1층",37.226873,128.818004,,2021-09-29
2,신규,2021-04-08,일반음식점,노나무재황토펜션식당,강원도 정선군 사북읍 사북리 97-4,강원도 정선군 사북읍 노나무재옛길 56,37.248631,128.866283,033-592-3333,2021-09-29
3,신규,2021-04-26,일반음식점,cafe정(情),강원도 정선군 여량면 구절리 290-58,"강원도 정선군 여량면 노추산로 749, 2층",37.516296,128.727832,,2021-09-29
4,신규,2021-04-07,즉석판매제조가공업,주식회사 씨엔 줄리앙와플,강원도 정선군 정선읍 애산리 432-478,"강원도 정선군 정선읍 녹송로 8, 1층",37.379058,128.673062,,2021-09-29
5,신규,2021-04-22,즉석판매제조가공업,주식회사 대산유통시스템,강원도 정선군 정선읍 애산리 432-478,"강원도 정선군 정선읍 녹송로 8, 정선농협 1층",37.378898,128.673176,,2021-09-29
8,지위승계,2021-04-20,일반음식점,꾸띵피자,강원도 정선군 사북읍 사북리 369-17,"강원도 정선군 사북읍 사북중앙로 34-3, 경원빌딩 1층",37.226944,128.818584,,2021-09-29
9,지위승계,2021-04-20,일반음식점,카페하라,강원도 정선군 고한읍 고한리 94-19,강원도 정선군 고한읍 고한로 133,37.202207,128.851321,033 -591 -7717,2021-09-29
10,지위승계,2021-04-20,일반음식점,메이힐스 연회장,강원도 정선군 고한읍 고한리 142,"강원도 정선군 고한읍 물한리길 8, 4층",37.211709,128.835252,033 -590 -1671,2021-09-29
13,지위승계,2021-04-27,일반음식점,아리아리 정선골,강원도 정선군 정선읍 봉양리 339-16,강원도 정선군 정선읍 정선로 1355-1,37.379881,128.664503,033 -562 -6456,2021-09-29
14,지위승계,2021-04-28,일반음식점,다래정,강원도 정선군 사북읍 사북리 368-4,강원도 정선군 사북읍 사북3길 29,37.227948,128.817539,033 -591 -3966,2021-09-29
