명칭,위도,경도,기준일
38선휴게소,38.004922,128.731036,2021-10-05
e-편한세상아파트,37.769881,128.895084,2021-10-05
e-편한세상아파트,37.769647,128.89515,2021-10-05
KT,37.772792,128.911774,2021-10-05
KT,37.773088,128.912479,2021-10-05
가둔지길입구,37.825375,128.882157,2021-10-05
가둔지길입구,37.825399,128.882025,2021-10-05
가마골,37.722371,128.794771,2021-10-05
가마골,37.722524,128.794861,2021-10-05
가족관광농원,37.73785,128.794174,2021-10-05
가족관광농원,37.737939,128.794205,2021-10-05
가축위생시험사업소,37.729555,128.90147,2021-10-05
가축위생시험사업소,37.729584,128.901256,2021-10-05
가톨릭관동대북문,37.737715,128.872343,2021-10-05
가톨릭관동대학교,37.738303,128.878127,2021-10-05
가톨릭관동대학교,37.738128,128.878263,2021-10-05
갈골한과,37.824534,128.84365,2021-10-05
갈골한과,37.824688,128.843668,2021-10-05
갈버든,37.666265,128.967325,2021-10-05
갈버든,37.666287,128.967207,2021-10-05
감나무민박,37.737851,128.798828,2021-10-05
감나무민박,37.737921,128.798769,2021-10-05
감자채종포마을,37.53348,128.833556,2021-10-05
감자채종포마을,37.533528,128.833642,2021-10-05
강동면사무소,37.727339,128.954361,2021-10-05
강동면사무소,37.727594,128.953351,2021-10-05
강동면사무소,37.727689,128.953371,2021-10-05
강동무료주차장,37.687952,129.031786,2021-10-05
강동파출소,37.72744,128.978267,2021-10-05
강동파출소,37.727336,128.978269,2021-10-05
강릉MBC,37.770466,128.904053,2021-10-05
강릉경찰서,37.76779,128.906862,2021-10-05
강릉경찰서,37.76808,128.906866,2021-10-05
강릉고등학교,37.788593,128.914704,2021-10-05
강릉고입구,37.783591,128.920097,2021-10-05
강릉고입구,37.783498,128.920397,2021-10-05
강릉고정문,37.788302,128.915524,2021-10-05
강릉관광개발공사,37.753772,128.880186,2021-10-05
강릉관광호텔,37.766008,128.904271,2021-10-05
강릉교도소,37.745949,128.86556,2021-10-05
강릉교도소,37.745842,128.866438,2021-10-05
강릉기도원입구,37.698819,128.849038,2021-10-05
강릉기도원입구,37.698747,128.848956,2021-10-05
강릉녹색도시체험센터,37.787098,128.907554,2021-10-05
강릉녹색도시체험센터,37.787174,128.907455,2021-10-05
강릉농협,37.76025,128.900018,2021-10-05
강릉농협,37.760131,128.899707,2021-10-05
강릉대도호부관아,37.751237,128.891672,2021-10-05
강릉대도호부관아,37.751693,128.892323,2021-10-05
강릉면허시험장,37.795642,128.819393,2021-10-05
강릉면허시험장,37.795769,128.819368,2021-10-05
강릉문화원,37.757932,128.874085,2021-10-05
강릉소방서,37.758178,128.871147,2021-10-05
강릉소방서,37.757956,128.871238,2021-10-05
강릉솔향수목원,37.701227,128.866061,2021-10-05
강릉승마장,37.728696,128.981388,2021-10-05
강릉승마장,37.728618,128.981444,2021-10-05
강릉시보건소,37.74248,128.882212,2021-10-05
강릉시외.고속터미널,37.755107,128.879265,2021-10-05
강릉시외.고속터미널,37.754913,128.879081,2021-10-05
강릉시청,37.750894,128.878083,2021-10-05
강릉아산병원(강릉방면),37.817893,128.857634,2021-10-05
강릉아산병원(주문진방면),37.817808,128.857572,2021-10-05
강릉아산병원입구,37.813845,128.855339,2021-10-05
강릉아산병원입구,37.813364,128.855884,2021-10-05
강릉여고,37.75904,128.902416,2021-10-05
강릉여고정문,37.759307,128.905294,2021-10-05
강릉여고정문,37.758772,128.905604,2021-10-05
강릉역,37.764213,128.899318,2021-10-05
강릉역건너편,37.764044,128.899146,2021-10-05
강릉영동대학,37.744898,128.859215,2021-10-05
강릉영동대학,37.744988,128.859186,2021-10-05
강릉올림픽파크,37.777027,128.896641,2021-10-05
강릉올림픽파크,37.776912,128.896525,2021-10-05
강릉원주대,37.770701,128.874085,2021-10-05
강릉원주대,37.770513,128.873945,2021-10-05
강릉원주대입구,37.770818,128.875024,2021-10-05
강릉원주대입구,37.770788,128.875196,2021-10-05
강릉원주대후문,37.773274,128.874857,2021-10-05
강릉원주대후문,37.773221,128.874996,2021-10-05
강릉의료원,37.748852,128.8888,2021-10-05
강릉의료원,37.749805,128.890911,2021-10-05
강릉제일고,37.759579,128.891887,2021-10-05
강릉제일고,37.759081,128.891997,2021-10-05
강릉중앙고,37.759618,128.912793,2021-10-05
강릉중앙고,37.759407,128.912044,2021-10-05
강릉중입구,37.75263,128.90471,2021-10-05
강릉중입구,37.752659,128.90422,2021-10-05
강릉축산농협,37.766245,128.904924,2021-10-05
강문,37.795335,128.916388,2021-10-05
강문,37.795527,128.91629,2021-10-05
강원도교육연수원,37.785134,128.91815,2021-10-05
강원도립대,37.876571,128.828406,2021-10-05
강원도립대,37.876994,128.828317,2021-10-05
강원예술고교,37.725725,128.861488,2021-10-05
강원예술고교,37.725752,128.86165,2021-10-05
강일여고,37.764637,128.891538,2021-10-05
강일여고,37.764733,128.891845,2021-10-05
강일여고정문,37.764149,128.888168,2021-10-05
강일여고정문,37.763843,128.887337,2021-10-05
강일운수,37.736744,128.863507,2021-10-05
강일운수,37.736856,128.863195,2021-10-05
개화대,37.723072,128.860851,2021-10-05
개화대,37.723169,128.860732,2021-10-05
검뎅이골아래,37.658141,128.790452,2021-10-05
검뎅이골아래,37.658072,128.79054,2021-10-05
검뎅이골위,37.649737,128.786549,2021-10-05
검뎅이골위,37.649668,128.786657,2021-10-05
경포고교,37.78052,128.919007,2021-10-05
경포고교,37.780721,128.91876,2021-10-05
경포대.참소리박물관,37.795569,128.897041,2021-10-05
경포대.참소리박물관,37.795465,128.897224,2021-10-05
경포동주민센터,37.783732,128.880272,2021-10-05
경포동주민센터,37.783717,128.880413,2021-10-05
경포생태습지원,37.79988,128.911453,2021-10-05
경포생태습지원,37.799844,128.911295,2021-10-05
경포중학교,37.743198,128.900713,2021-10-05
경포중학교,37.742869,128.900225,2021-10-05
경포초등학교,37.769824,128.87894,2021-10-05
경포해변,37.804763,128.905598,2021-10-05
경포해변,37.804475,128.905296,2021-10-05
경포해변,37.804201,128.906221,2021-10-05
경포해변,37.804239,128.906719,2021-10-05
경포현대A,37.80174,128.903378,2021-10-05
경포현대A,37.801251,128.903353,2021-10-05
고단,37.524686,128.835364,2021-10-05
고단,37.524636,128.835303,2021-10-05
고단2.3리교차로,37.524672,128.835553,2021-10-05
고단2.3리교차로,37.524622,128.835631,2021-10-05
고시원입구,37.717894,128.886554,2021-10-05
고시원입구,37.717942,128.886646,2021-10-05
고용센터,37.757496,128.888944,2021-10-05
고용센터,37.757189,128.888947,2021-10-05
곰두리연수원,37.667947,129.047899,2021-10-05
곰두리연수원,37.667985,129.0478,2021-10-05
공군부대앞,37.746339,128.940003,2021-10-05
공군부대입구,37.740068,128.930016,2021-10-05
공군부대입구,37.739876,128.930062,2021-10-05
공단,37.765385,128.922108,2021-10-05
공단,37.765369,128.922249,2021-10-05
공제마을,37.746124,128.871549,2021-10-05
공제마을,37.7464,128.87155,2021-10-05
관솔길,37.739276,128.86989,2021-10-05
관솔길,37.739238,128.869784,2021-10-05
관음1리,37.728391,128.829941,2021-10-05
관음1리,37.738752,128.818115,2021-10-05
관음1리노인회관,37.730349,128.826627,2021-10-05
교2동주민센터,37.768441,128.892107,2021-10-05
교동주유소,37.756083,128.884,2021-10-05
교동주유소,37.755676,128.883883,2021-10-05
교동철교,37.758718,128.894697,2021-10-05
교동한신A,37.767639,128.900518,2021-10-05
교동한신A,37.767525,128.900595,2021-10-05
교보생명,37.756022,128.898055,2021-10-05
교통안전교육장,37.763256,128.941854,2021-10-05
교통안전교육장,37.763352,128.941905,2021-10-05
교항2리금용교,37.877963,128.8105,2021-10-05
교향2리금용교,37.877906,128.810557,2021-10-05
구)동해상사,37.766944,128.911796,2021-10-05
구라미,37.840944,128.84194,2021-10-05
구라미,37.84077,128.842237,2021-10-05
구라미휴게소,37.845346,128.840792,2021-10-05
구라미휴게소,37.844376,128.84038,2021-10-05
구라미휴게소,37.845353,128.841139,2021-10-05
구라미휴게소,37.845885,128.841476,2021-10-05
구름다리,37.764541,128.876644,2021-10-05
구름다리,37.764741,128.877394,2021-10-05
구옥계버스정류장,37.613448,129.038113,2021-10-05
구정마을회관,37.710125,128.871378,2021-10-05
구정마을회관,37.710079,128.871442,2021-10-05
구정면사무소,37.718058,128.879976,2021-10-05
구정면사무소,37.717976,128.880017,2021-10-05
구정보건지소,37.720555,128.882802,2021-10-05
구정보건지소,37.720505,128.882735,2021-10-05
구정초교입구,37.716368,128.890014,2021-10-05
구정파출소,37.720386,128.882369,2021-10-05
구정파출소,37.720345,128.882459,2021-10-05
구터미널,37.761668,128.898827,2021-10-05
구터미널,37.761812,128.899389,2021-10-05
국립수산물품질관리원,37.891505,128.826019,2021-10-05
굴산사입구,37.708397,128.889041,2021-10-05
굴산사입구,37.708367,128.88895,2021-10-05
굴산사지,37.706998,128.89331,2021-10-05
궁궁소,37.843823,128.671805,2021-10-05
금강사입구,37.726286,128.902886,2021-10-05
금강사입구,37.726251,128.902968,2021-10-05
금광교회입구,37.711734,128.917333,2021-10-05
금광교회입구,37.711735,128.917432,2021-10-05
금광리1반,37.702248,128.914284,2021-10-05
금광리1반,37.702251,128.914409,2021-10-05
금광리성황당,37.717931,128.917454,2021-10-05
금광리성황당,37.717949,128.917332,2021-10-05
금광삼거리,37.70916,128.915221,2021-10-05
금광정미소,37.708269,128.915297,2021-10-05
금광정미소,37.708265,128.91541,2021-10-05
금산,37.740209,128.855825,2021-10-05
금산,37.740287,128.85575,2021-10-05
금산1리경로당,37.730231,128.838804,2021-10-05
금산2리,37.736667,128.849071,2021-10-05
금산2리,37.736686,128.848923,2021-10-05
금산남밭,37.731518,128.844731,2021-10-05
금산입구,37.743329,128.857838,2021-10-05
금산입구,37.743224,128.857655,2021-10-05
금산장수마을,37.738216,128.851677,2021-10-05
금산장수마을,37.738316,128.851613,2021-10-05
금진,37.652225,129.049119,2021-10-05
금진,37.641811,129.043275,2021-10-05
금진,37.641799,129.043381,2021-10-05
금진2리,37.639064,129.043664,2021-10-05
금진2리,37.636166,129.044704,2021-10-05
금진2리,37.639083,129.043771,2021-10-05
금진2리,37.635189,129.045134,2021-10-05
금진초등학교,37.633492,129.04343,2021-10-05
금진초등학교,37.633424,129.043481,2021-10-05
금진항,37.652912,129.052394,2021-10-05
금진항,37.652996,129.052292,2021-10-05
금호어울림,37.755059,128.915608,2021-10-05
금호어울림,37.755052,128.915824,2021-10-05
금호어울림정문,37.754578,128.919496,2021-10-05
금호어울림정문,37.754715,128.91953,2021-10-05
기도원삼거리,37.758244,128.794828,2021-10-05
기도원삼거리,37.758241,128.794964,2021-10-05
기산A,37.734227,128.879584,2021-10-05
기산A,37.734266,128.879907,2021-10-05
까치골,37.695505,129.0259,2021-10-05
까치골,37.695581,129.025422,2021-10-05
낙풍리,37.625379,129.033682,2021-10-05
