위도(WGS84좌표),경도(WGS84좌표),information,man_made,name,addr:full,operator,operator:type,start_date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.442935,129.168044,board,,시민게시판(현대정형외과 앞),,삼척시청,government,2015,,,331-4,남양동,,,
37.444095,129.16916,board,,시민게시판(경산빌딩 앞),,삼척시청,government,2015,,,335,남양동,,,
37.442155,129.170359,board,,시민게시판(동원파크2차 옆),,삼척시청,government,2015,,,346,남양동,,,
37.442351,129.171241,board,,시민게시판(남양동 축협창고앞),,삼척시청,government,2015,,,346-3,남양동,,,
37.440452,129.168002,board,,시민게시판(고속버스터미널),,삼척시청,government,2015,,,334-1,남양동,,,
37.443311,129.168932,board,,시민게시판(삼화연립 앞),,삼척시청,government,2015,,,33-25,남양동,,,
37.409364,129.164029,board,,시민게시판(조비1동 마을회관),,삼척시청,government,2015,,,22,조비동,,,
37.403617,129.159559,board,,시민게시판(조비2동 마을회관),,삼척시청,government,2015,,,184,조비동,,,
37.445138,129.169591,board,,시민게시판(남양동 화성맨션 앞),,삼척시청,government,2015,,,12-10,남양동,,,
37.445608,129.164007,board,,시민게시판(당저동 상공회의소 옆),,삼척시청,government,2015,,,62-10,당저동,,,
37.443026,129.161554,board,,시민게시판(당저동 성모의원 앞),,삼척시청,government,2015,,,6-4,읍중동,,,
37.440331,129.153992,board,,시민게시판( 농산물품질관리원 옆),,삼척시청,government,2015,,,7-3,원당동,,,
37.438683,129.15397,board,,시민게시판( 원당주공 어린이놀이터 앞),,삼척시청,government,2015,,,173,원당동,,,
37.435845,129.147922,board,,시민게시판(삼척건지주공),,삼척시청,government,2015,,,173,건지동,,,
37.446718,129.161639,board,,시민게시판(당저마을회관),,삼척시청,government,2015,,,124-3,당저동,,,
37.449361,129.175123,board,,시민게시판(삼척 청솔2차 삼거리),,삼척시청,government,2015,,,757,교동,,,
37.455315,129.167205,board,,시민게시판(강원대 후문),,삼척시청,government,2015,,,526,교동,,,
37.447915,129.164627,board,,시민게시판(교동주민센터),,삼척시청,government,2015,,,657-1,교동,,,
37.43609,129.184488,board,,시민게시판(정라동주민센터),,삼척시청,government,2015,,,79,정상동,,,
37.440388,129.17789,board,,시민게시판(영진연립),,삼척시청,government,2015,,,455,정상동,,,
37.44279,129.177022,board,,시민게시판(정라동 23통 마을회관),,삼척시청,government,2015,,,449-3,정상동,,,
37.45604,129.166454,board,,시민게시판(동부택시승강장),,삼척시청,government,2015,,,501-5,교동,,,
37.466076,129.171075,board,,시민게시판(삼척해수욕장입구),,삼척시청,government,2015,,,413-15,교동,,,
37.452023,129.155345,board,,시민게시판(교2통 마을회관),,삼척시청,government,2015,,,84-5,마달동,,,
37.451442,129.185304,board,,시민게시판(광진마을회관),,삼척시청,government,2015,,,42-1,교동,,,
38.2227166,128.5887207,board,,벽보형 지정 게시대,,속초시청 건축디자인과,government,2014,,,633-1,장사동,,,
38.20550512,128.5790126,board,,벽보형 지정 게시대,,속초시청 건축디자인과,government,2014,,,627-277,교동,,,
38.20392696,128.5741792,board,,벽보형 지정 게시대,,속초시청 건축디자인과,government,2014,,,776-8,교동,,,
38.19706009,128.5762549,board,,벽보형 지정 게시대,,속초시청 건축디자인과,government,2014,,,979,교동,,,
37.748721,128.890384,,utility_pole,현수막 지정게시대,,강릉시청,government,2000,,,67,남문동,,,
37.767265,128.880686,,utility_pole,현수막 지정게시대,,강릉시청,government,2003,,,1845-1,교동,,,
37.769081,128.888403,,utility_pole,현수막 지정게시대,,강릉시청,government,2015,,,700,교동,,,
37.762829,128.882268,,utility_pole,현수막 지정게시대,,강릉시청,government,2005,,,1763,교동,,,
37.77138,128.890565,,utility_pole,현수막 지정게시대,,강릉시청,government,2010,,,707-94,교동,,,
37.770258,128.897225,,utility_pole,현수막 지정게시대,,강릉시청,government,2017,,,332,교동,,,
37.771471,128.882064,,utility_pole,현수막 지정게시대,,강릉시청,government,2014,,,1745-1,교동,,,
37.769864,128.869196,,utility_pole,현수막 지정게시대,,강릉시청,government,2014,,,123,지변동,,,
37.776915,128.916138,,utility_pole,현수막 지정게시대,,강릉시청,government,2014,,,746-2,송정동,,,
37.783185,128.91969,,utility_pole,현수막 지정게시대,,강릉시청,government,2000,,,127-15,초당동,,,
37.771528,128.943404,,utility_pole,현수막 지정게시대,,강릉시청,government,2000,,,215-4,견소동,,,
37.782642,128.931512,,utility_pole,현수막 지정게시대,,강릉시청,government,2006,,,1947-3,송정동,,,
37.741746,128.894147,,utility_pole,현수막 지정게시대,,강릉시청,government,2001,,,596-8,노암동,,,
37.740807,128.920163,,utility_pole,현수막 지정게시대,,강릉시청,government,2005,,,451-8,유산동,,,
37.745717,128.906313,,utility_pole,현수막 지정게시대,강원도 강릉시 노암동 산30-9,강릉시청,government,2012,,,,노암동,,,
37.745171,128.880787,,utility_pole,현수막 지정게시대,,강릉시청,government,2012,,,604-5,내곡동,,,
37.753711,128.911846,,utility_pole,현수막 지정게시대,,강릉시청,government,2000,,,442-3,입암동,,,
37.751957,128.902054,,utility_pole,현수막 지정게시대,,강릉시청,government,2008,,,826-8,노암동,,,
37.755508,128.906705,,utility_pole,현수막 지정게시대,,강릉시청,government,2000,,,679-9,입암동,,,
37.756378,128.923443,,utility_pole,현수막 지정게시대,,강릉시청,government,2006,,,197-1,입암동,,,
37.769462,128.94037,,utility_pole,현수막 지정게시대,,강릉시청,government,2005,,,889-2,병산동,,,
37.755921,128.916106,,utility_pole,현수막 지정게시대,,강릉시청,government,2010,,,279-16,입암동,,,
37.784195,128.892671,,utility_pole,현수막 지정게시대,,강릉시청,government,2013,,,811-1,운정동,,,
