시도명,시군구명,시설명,마을명,소재지도로명주소
강원도,강릉시,행정1리마을회관,행정1리,강원도 연곡면 행정1길 7
강원도,강릉시,유등리마을회관,유등리,강원도 연곡면 유등길 11-5
강원도,강릉시,삼산2리,청학동,강원도 소금강길 280
강원도,강릉시,교항2리마을회관,교항2리,강원도 주문진읍 금용길 116
강원도,강릉시,교항1주공아파트,교항6리,강원도 주문진읍 신리천로 72
강원도,강릉시,교항11리마을회관,교항11리,강원도 주문진읍 장성로 55
강원도,강릉시,교항8리마을회관,교항8리,강원도 주문진읍 보리골길 19
강원도,강릉시,오리들마을회관,성덕43통,강원도 월호평길76번길 20(월호평동)
강원도,고성군,흘1리마을회관,흘1리,강원도 고성군 간성읍 흘리길 185
강원도,고성군,거진2리마을회관,거진2리,강원도 고성군 거진길 106-1
강원도,고성군,거진6리마을회관,거진6리,강원도 고성군 거진읍 행랑골길 20
강원도,고성군,아야진통합마을회관,아야진리,강원도 고성군 토성면 아야진해변1길 5
강원도,동해시,벽오마을회관,벽오마을,강원도 동해시 강원남부로 4707
강원도,동해시,봉정마을회관,봉정마을,강원도 동해시 봉정2길 7-2 
강원도,동해시,천곡동4통마을회관,천곡4통,강원도 동해시 평릉길 48 평릉경로당
강원도,동해시,대진어민회관,대진마을,강원도 동해시 대진항길 35
강원도,동해시,삼화동5통회관,삼화5통,강원도 동해시 삼화로 85-23
강원도,동해시,단실회관,단실마을,강원도 동해시 강원남부로 4753
강원도,동해시,북평동9통마을회관,북평9통,강원도 동해시 대동로 21-23
강원도,동해시,삼화동11통마을회관,삼화11통,강원도 동해시 효자로 94-3
강원도,동해시,북평동10통마을회관,북평10통,강원도 동해시 대호길 43
강원도,동해시,만우마을회관,만우마을,강원도 동해시 마상천길 308
강원도,동해시,섬안마을영농회사무실,섬안마을,강원도 동해시 이원길 61
강원도,동해시,신흥마을회관,신흥마을,강원도 동해시 서동로 825-4
강원도,동해시,망상2통마을회관,망상2통,강원도 동해시 망상길 46
강원도,동해시,노봉마을회관,노봉마을,강원도 동해시 노봉안길 1 
강원도,동해시,망상동1통마을회관,망상동1,강원도 동해시 석두골길 7-36
강원도,동해시,북삼2통마을회관,북삼2통,강원도 동해시 분토길 116-1
강원도,동해시,괴란마을회관,괴란마을,강원도 동해시 괴란길 50 
강원도,동해시,천곡경로당,천곡마을,강원도 동해시 감추6길 23-3
강원도,동해시,평릉경로당,평릉마을,강원도 동해시 평릉길 48
강원도,동해시,항골경로당,항골마을,강원도 동해시 항골길 21
강원도,동해시,새터경로당,새터마을,강원도 동해시 천곡3길 17-3
강원도,강릉시,장덕1리마을회관,장덕1리,강원도 주문진읍 장덕성황길 78
강원도,강릉시,장덕2리마을회관,장덕2리,강원도 주문진읍 신리천로 527-3
강원도,강릉시,향호1리마을회관,향호1리,강원도 주문진읍 향호길 66-2
강원도,강릉시,삼교리마을회관,삼교리,강원도 주문진읍 신리천로 796
강원도,강릉시,구산리마을회관(경로당),구산리(경로당),강원도 성산면 구산길 77
강원도,강릉시,관음1리마을회관,관음1리,강원도 성산면 관음길 157
강원도,강릉시,관음2리마을회관,관음2리,강원도 성산면 괴일길 130-1
강원도,강릉시,금산1리마을회관,금산1리,강원도 성산면 관음길 26
강원도,강릉시,금산2리마을회관,금산2리,강원도 성산면 괴일길 8
강원도,강릉시,위촌1리마을회관,위촌1리,강원도 성산면 소목길 194
강원도,강릉시,위촌2리마을회관,위촌2리,강원도 성산면 위촌길 228
강원도,강릉시,관음리마을회관(안국),관음리,강원도 성산면 안곡길 140
강원도,강릉시,송암리마을회관,송암리,강원도 성산면 송두길 281
강원도,강릉시,오봉리마을회관,오봉리,강원도 성산면 백두대간로 2710-18
강원도,강릉시,산북1리마을회관,산북1리,강원도 성산면 칠봉로 251-10
강원도,강릉시,산북2리마을회관,산북2리,강원도 성산면 칠봉로 59
강원도,강릉시,보광2리마을회관,보광2리,강원도 성산면 삼왕길 190-16
강원도,강릉시,왕산리마을회관,왕산리,강원도 왕산면 왕산로 2392
강원도,강릉시,도마2리마을회관,도마2리,강원도 왕산면 탑동길 23-1
강원도,강릉시,목계리마을회관,목계리,강원도 왕산면 백두대간로 1486
강원도,강릉시,대기4리마을회관(안반덕),대기4리(안반덕),강원도 왕산면 안반데기길 428
강원도,강릉시,여찬리마을회관,여찬리,강원도 구정면 구정중앙로 240
강원도,강릉시,학산1리마을회관,학산1리,강원도 구정면 왕고개길 20
강원도,강릉시,학산3리마을회관,학산3리,강원도 구정면 칠성로 155
강원도,강릉시,금광1리마을회관,금광1리,강원도 구정면 금광동명길 19-6
강원도,강릉시,금광2리마을회관,금광2리,강원도 구정면 수골길 14
강원도,강릉시,어단1리마을회관,어단1리,강원도 구정면 금평로 384
강원도,강릉시,어단2리마을회관,어단2리,강원도 구정면 금평로 476
강원도,강릉시,덕현리마을회관,덕현리,강원도 구정면 와천로 163
강원도,강릉시,구정리마을회관,구정리,강원도 구정면 구정중앙로 115
강원도,강릉시,제비1리마을회관,제비1리,강원도 구정면 범장길 2
강원도,강릉시,제비2리마을회관,제비2리,강원도 구정면 칠봉로 699-11
강원도,강릉시,상시동1리마을회관,상시동1리,강원도 강동면 율곡로 2201
강원도,강릉시,상시동2리마을회관,상시동2리,강원도 강동면 와천로 399
강원도,강릉시,하시동1리마을회관,하시동1리,강원도 강동면 시동길 75-6
강원도,강릉시,남양2리마을회관,남양2리,강원도 옥계면 남양2길 2
강원도,강릉시,남양3리마을회관,남양3리,강원도 옥계면 이증밭길 36
강원도,강릉시,주수1리마을회관,주수1리,강원도 옥계면 동녘길 47-29
강원도,강릉시,주수2리마을회관,주수2리,강원도 옥계면 동해대로 263
강원도,강릉시,천남리마을회관,천남리,강원도 옥계면 천남길 50
강원도,강릉시,낙풍1리마을회관,낙풍1리,강원도 옥계면 풍동로 13
강원도,강릉시,낙풍2리마을회관,낙풍2리,강원도 옥계면 풍동로 241-12
강원도,강릉시,북동리마을회관,북동리,강원도 옥계면 북동용소길 12
강원도,강릉시,금진1리마을회관,금진1리,강원도 옥계면 금진안길 40-2
강원도,강릉시,금진3리마을회관,금진3리,강원도 옥계면 금진항길 12-1
강원도,강릉시,산계1리마을회관,산계1리,강원도 옥계면 산계금단길 16-4
강원도,강릉시,산계2리마을회관,산계2리,강원도 옥계면 산계길 800
강원도,강릉시,산계3리마을회관,산계3리,강원도 옥계면 산계길 961
강원도,강릉시,사기막리마을회관,사기막리,강원도 사천면 중앙서로 557-1
강원도,강릉시,노동상리마을회관,노동상리,강원도 사천면 중앙서로 330-8
강원도,강릉시,노동중리마을회관,노동중리,강원도 사천면 한과마을길 14
강원도,강릉시,석교1리마을회관,석교1리,강원도 사천면 석교골말길 6
강원도,강릉시,석교2리마을회관,석교2리,강원도 사천면 구라미길 207-6
강원도,강릉시,판교1리마을회관,판교1리,강원도 사천면 중앙동로 71
강원도,강릉시,사천진리마을회관(나동),사천진리(나동),강원도 사천면 진리항구길 47
강원도,강릉시,현내2리마을회관,현내2리,강원도 옥계면 현내안길 38
강원도,강릉시,하평리마을회관,하평리,강원도 사천면 손맞이길 21
강원도,강릉시,미노리마을회관,미노리,강원도 사천면 본동길 10
강원도,강릉시,덕실리마을회관,덕실리,강원도 사천면 덕실안길 117
강원도,강릉시,방동상리마을회관,방동상리,강원도 사천면 방동길 9
강원도,강릉시,방동하리마을회관,방동하리,강원도 사천면 방동길 310
강원도,강릉시,산대월리마을회관,산대월리,강원도 사천면 산대월길 148
강원도,강릉시,방내리마을회관,방내리,강원도 연곡면 진고개로 2699
강원도,강릉시,영진2리마을회관,영진2리,강원도 연곡면 영진길 53
강원도,강릉시,영진3리마을회관,영진3리,강원도 연곡면 영진길 27
강원도,강릉시,송림1리마을회관,송림1리,강원도 연곡면 진고개로 2484
강원도,강릉시,송림2리마을회관,송림2리,강원도 연곡면 진고개로 2450-4
강원도,강릉시,행정2리마을회관,행정2리,강원도 연곡면 행정3길 6-3
강원도,강릉시,동덕1리마을회관,동덕1리,강원도 연곡면 동덕3길 15-1
강원도,강릉시,동덕2리마을회관,동덕2리,강원도 연곡면 해안로 1265-33
강원도,강릉시,신왕리마을회관,신왕리,강원도 연곡면 신왕길 105
강원도,강릉시,퇴곡1리마을회관,퇴곡1리,강원도 연곡면 퇴곡1길 80
강원도,강릉시,하시동2리마을회관,하시동2리,강원도 강동면 원장봉길 30-8
강원도,강릉시,하시동3리마을회관,하시동3리,강원도 강동면 풍호안길 7
강원도,강릉시,모전1리마을회관,모전1리,강원도 강동면 단경로 54
강원도,강릉시,모전2리마을회관,모전2리,강원도 강동면 임곡로 155
강원도,강릉시,안인진1리마을회관,안인진1리,강원도 강동면 율곡로 1867-5
강원도,강릉시,안인진2리마을회관,안인진2리,강원도 강동면 안인진길 17
강원도,강릉시,임곡1리마을회관,임곡1리,강원도 강동면 임곡로 698
강원도,강릉시,정동진1리마을회관,정동진1리,강원도 강동면 정동2길 9
강원도,강릉시,정동진2리마을회관,정동진2리,강원도 강동면 헌화로 1048-1
강원도,강릉시,정동진3리마을회관,정동진3리,강원도 강동면 분소골길 27-6
강원도,강릉시,산성우1리마을회관,산성우1리,강원도 강동면 오이동길 55
강원도,강릉시,산성우2리마을회관,산성우2리,강원도 강동면 율곡로 996
강원도,강릉시,언별1리마을회관,언별1리,강원도 강동면 송담서원길 17-4
강원도,강릉시,언별2리마을회관,언별2리,강원도 강동면 정감1길 43
