버스정류장 명칭,도로명주소,지번주소,위도,경도,기준일 
경동대학교,강원도 원주시 문막읍 법후로 863,강원도 원주시 문막읍 후용리 913-7,37.264554,127.796458,2020-11-25
궁촌1리,강원도 원주시 문막읍 귀문로 1248,강원도 원주시 문막읍 궁촌리 848-2,37.274468,127.825206,2020-11-25
궁촌1리정류장,강원도 원주시 문막읍 귀문로 1270,강원도 원주시 문막읍 궁촌리 773-27,37.27622,127.824057,2020-11-25
남산교,강원도 원주시 문막읍 왕건로 148,강원도 원주시 문막읍 동화리 1057-7,37.331776,127.832095,2020-11-25
남오동,강원도 원주시 문막읍 쪽섬길 2,강원도 원주시 문막읍 반계리 1675,37.292441,127.791802,2020-11-25
넓은터,강원도 원주시 문막읍 귀문로 892-17,강원도 원주시 문막읍 비두리 1442-6,37.245896,127.838099,2020-11-25
대둔리,강원도 원주시 문막읍 원문로 2621-2,강원도 원주시 문막읍 반계리 822-5,37.276483,127.771984,2020-11-25
덕난,강원도 원주시 문막읍 큰애니길 2-1,강원도 원주시 문막읍 동화리 722-11,37.323346,127.835936,2020-11-25
덕난,강원도 원주시 문막읍 동건길 6,강원도 원주시 문막읍 동화리 724-3,37.322907,127.836384,2020-11-25
도루코공장,강원도 원주시 문막읍 왕건로 11,강원도 원주시 문막읍 건등리 1627,37.321128,127.831074,2020-11-25
도루코공장,강원도 원주시 문막읍 왕건로 18,강원도 원주시 문막읍 건등리 203-13,37.321274,127.831305,2020-11-25
동화골,강원도 원주시 문막읍 동화골길 11,강원도 원주시 문막읍 동화리 산 137-1,37.325701,127.843821,2020-11-25
동화산업단지관리사무소,강원도 원주시 문막읍 동화공단로 64,강원도 원주시 문막읍 동화리 1686,37.334291,127.844494,2020-11-25
동화산업단지관리사무소,강원도 원주시 문막읍 동화공단로 77,강원도 원주시 문막읍 동화리 1686,37.334155,127.842624,2020-11-25
동화산업단지입구,강원도 원주시 문막읍 동화공단로 32,강원도 원주시 문막읍 동화리 1686,37.333363,127.846607,2020-11-25
동화산업단지입구,강원도 원주시 문막읍 동화공단로 49,강원도 원주시 문막읍 동화리 1686,37.333391,127.846207,2020-11-25
동화역,강원도 원주시 문막읍 보통로 220-6,강원도 원주시 문막읍 동화리 18-4,37.341781,127.859551,2020-11-25
동화의료기기,강원도 원주시 문막읍 동화공단로 131,강원도 원주시 문막읍 동화리 1659,37.334335,127.837844,2020-11-25
동화의료기기,강원도 원주시 문막읍 동화공단로 147,강원도 원주시 문막읍 동화리 1653,37.334208,127.835271,2020-11-25
동화의료기기,강원도 원주시 문막읍 동화공단로 147,강원도 원주시 문막읍 동화리 1650-1,37.334343,127.835079,2020-11-25
동화의료기기,강원도 원주시 문막읍 동화공단로 107,강원도 원주시 문막읍 동화리 1659,37.334158,127.837961,2020-11-25
만낭포,강원도 원주시 문막읍 보통로 172,강원도 원주시 문막읍 동화리 58-1,37.341008,127.854271,2020-11-25
뒷대전,강원도 원주시 문막읍 황효자길 35-10,강원도 원주시 문막읍 반계리 1748,37.285121,127.783747,2020-11-25
등안리,강원도 원주시 문막읍 원평길 124,강원도 원주시 문막읍 건등리 1652-1,37.325879,127.817668,2020-11-25
만낭포,강원도 원주시 문막읍 보통로 165,강원도 원주시 문막읍 동화리 65-5,37.34071,127.853754,2020-11-25
만도아파트,강원도 원주시 문막읍 동화초교길 42,강원도 원주시 문막읍 동화리 1531,37.329221,127.829872,2020-11-25
만도아파트,강원도 원주시 문막읍 왕건로 114,강원도 원주시 문막읍 동화리 1532-1,37.329698,127.830219,2020-11-25
