시도명,시군구명,업체명,대표자명,종류,연락처,소재지주소
강원도,강릉시,성진행정사사무소,김성진,일반,,강원도 강릉시 율곡로 2853(옥천동)
강원도,강릉시,행정사 김낙국사무소,김낙국,일반,,강원도 강릉시 강릉대로 337-2(포남동) 상가빌딩 3층
강원도,강릉시,행정사 배형각,배형각,일반,,강원도 강릉시 성내동 25
강원도,강릉시,행정사 김찬기사무소,김찬기,일반,,강원도 강릉시 임영로 194(교동)
강원도,강릉시,행정사 송암사무소,최기순,일반,,강원도 강릉시 경강로 2245(포남동)
강원도,강릉시,원영래 행정사사무소,원영래,일반,033-641-3344,강원도 강릉시 동해대로 3288-12(죽헌동)
강원도,강릉시,행정서사 윤조익사무소,윤조익,일반,033-642-0159,강원도 강릉시 경강로 2050(명주동)
강원도,강릉시,행정서사 최종설사무소,최종설,일반,033-642-5030,강원도 강릉시 경강로2046번길 3-3(명주동)
강원도,강릉시,행정사 백규선사무소,백규선,일반,033-643-1115,강원도 강릉시 옥천로 48(옥천동)
강원도,강릉시,행정사 박재영사무소,박재영,일반,033-643-8811,강원도 강릉시 금성로61번길 7(성남동)
강원도,강릉시,행정서사 심흥섭사무소,심흥섭,일반,033-644-3551,강원도 강릉시 경강로 2052(성내동)
강원도,강릉시,행정서사 이봉석사무소,이봉석,일반,033-644-6755,강원도 강릉시 임영로 134(임당동)
강원도,강릉시,행정사 정돈교사무소,정돈교,일반,033-645-4101,강원도 강릉시 임영로 105(성남동)
강원도,강릉시,행정사 김수묵사무소,김수묵,일반,033-645-5733,"강원도 강릉시 선수촌로 79-29, 206호(홍제동)"
강원도,강릉시,행정서사 최명규사무소,최명규,일반,033-647-3179,강원도 강릉시 경강로 2033(명주동)
강원도,강릉시,김용인행정사사무소,김용인,일반,033-647-3462,강원도 강릉시 임영로 167
강원도,강릉시,행정사북부사무소,심원자,일반,033-648-4820,강원도 강릉시 노가니길 34(노암동) 
강원도,강릉시,오복사,최종문,일반,033-651-0555,강원도 강릉시 성덕포남로182번길 27(포남동) 
강원도,강릉시,임영행정사사무소,조설현,일반,033-651-9871,강원도 강릉시 중기안길 37(옥천동)
강원도,강릉시,산재보상전문행정사 강원사무소,이성기,일반,033-652-3159,강원도 강릉시 남강초교2길 38(포남동)
강원도,강릉시,행정서사 김주갑사무소,김주갑,일반,033-652-7652,강원도 강릉시 성내동 25
강원도,강릉시,김택진행정사사무소,김택진,일반,033-655-0428,강원도 강릉시 하슬라로 18(홍제동)
강원도,강릉시,이동제행정사,이동제,일반,033-655-1211,강원도 강릉시 해안로 321(강문동)
강원도 ,강릉시,행정사 임병성사무소,임병성,일반,033-661-2414,강원도 강릉시 주문진읍 항구로 45
강원도,강릉시,정철행정사사무소,정철,일반,033-661-2568,강원도 강릉시 주문진읍 연주로 241-7(주문진교항주공2단지)
강원도,강릉시,행정사사무소,박용복,일반,033-661-3319,강원도 강릉시 주문진읍 주문로 113-2
강원도,강릉시,해담,한수호,일반,033-662-1203,강원도 강릉시 연곡면 영진3길 38(부영사랑으로 아파트)
강원도,동해시,진광두행정사,진광두,일반,,강원도 동해시 천곡1길 3 (천곡동)
강원도,동해시,최종열행정사,최종열,일반,,강원도 동해시 평릉1길 39 (평릉동)
강원도,동해시,신두균행정사,신두균,일반,033-521-6018,강원도 동해시 감추1길 32 (천곡동)
강원도,동해시,승진행정사,백승진,일반,033-521-8394,강원도 동해시 청운1길 30 (쇄운동)
강원도,동해시,김영주행정사,김영주,일반,033-532-1333,강원도 동해시 천곡1길 3 (천곡동)
강원도,동해시,장원행정사,장원택,일반,033-532-9862,강원도 동해시 한섬로 87 (천곡동)
강원도,동해시,심재식행정사,심재식,일반,033-533-8933,강원도 동해시 천곡1길 3 (천곡동)
강원도,동해시,행정사 이상혁사무소(행정민원상담소),이상혁,일반,033-534-3737,강원도 동해시 대진항길 5 (대진동)
