농장명,구분명,소재지도로명주소,소재지지번주소,위도,경도,사육마리수(마리)
OK농장,산란계,경기도 김포시 대곶면 천호로116번길 17,경기도 김포시 대곶면 대벽리 1020번지  ,37.6172276966,126.5661250466,440
가우농장,산란계,경기도 김포시 통진읍 가현로149번길 151-13,경기도 김포시 통진읍 가현리 633번지  ,37.6775322074,126.5853734062,25000
고양농장,산란계,경기도 김포시 월곶면 고양로117번길 94-38,경기도 김포시 월곶면 고양리 748번지 2호  ,37.6894168704,126.5440112996,70000
공주양계장,육계,,경기도 김포시 양촌읍 유현리 441번지  ,37.6342161570,126.6156197877,420000
규은농장,산란계,경기도 김포시 고촌읍 신기신동로 23-10,경기도 김포시 고촌읍 신곡리 439번지 43호  ,37.6087058951,126.7729972627,30000
규환농장,육계,경기도 김포시 하성면 하성로1091번길 37-14,경기도 김포시 하성면 시암리 491번지  ,37.7644987125,126.6367102929,10000
금산농장,산란계,경기도 김포시 양촌읍 금포로1491번길 369-11,경기도 김포시 양촌읍 누산리 1036번지 111호  ,37.6748584657,126.6596922374,16000
금화농장,산란계,경기도 김포시 월곶면 고양로 183-85,경기도 김포시 월곶면 고양리 629번지  ,37.6891343701,126.5391946813,14500
기원농장,육계,경기도 김포시 통진읍 절골로25번길 98,경기도 김포시 통진읍 옹정리 294번지 3호  ,37.6846208467,126.5766784703,1000
기철농장,육계,,경기도 김포시 양촌읍 양곡리 821번지  ,37.6555979844,126.6330624888,100
김포 자연 농장,산란계,경기도 김포시 통진읍 하성로 105-106,경기도 김포시 통진읍 수참리 114번지 1호  ,37.6854558930,126.6259344695,10000
김포메추리농장,메추리,,경기도 김포시 통진읍 가현리 347번지 4호  ,37.6691290473,126.5866718915,12000
김포아라농장,산란계,경기도 김포시 하성면 마곡로 319-3,경기도 김포시 하성면 석탄리 978번지  ,37.7210076282,126.6625070930,22000
김포표고버섯농장,산란계,,경기도 김포시 통진읍 고정리 352번지  ,37.7199222083,126.5902306690,400
깻잎농원,육계,경기도 김포시 고촌읍 금포로491번길 35-20,경기도 김포시 고촌읍 풍곡리 75번지 34호  ,37.6176310179,126.7674827936,34200
나눔꿈터,산란계,경기도 김포시 대곶면 쇄암로 182,경기도 김포시 대곶면 쇄암리 592번지  ,37.6837265943,126.5380963299,260000
