표찰번호,설치개수,등수,소재지지번주소,리,지번,등주재질,위도,경도,관리기관전화번호,관리기관명,데이터기준일자
1-001,,1,대곶면,석정리,111-71,,37.67011261,126.5710602,031-980-2796,김포시 도로관리과,2021-02-20
1-002,1,1,대곶면,석정리,111-62,,37.67046356,126.5717697,031-980-2796,김포시 도로관리과,2021-02-20
1-003,1,1,대곶면,석정리,111-76,,37.67076874,126.572403,031-980-2796,김포시 도로관리과,2021-02-20
1-004,1,1,대곶면,석정리,111-44,,37.67124176,126.5720291,031-980-2796,김포시 도로관리과,2021-02-20
1-005,1,1,대곶면,석정리,111-44,,37.67112732,126.5714188,031-980-2796,김포시 도로관리과,2021-02-20
1-006,1,1,대곶면,석정리,111-28,,37.67078781,126.570755,031-980-2796,김포시 도로관리과,2021-02-20
1-007,1,1,대곶면,석정리,산 29-3,,37.67072678,126.5727158,031-980-2796,김포시 도로관리과,2021-02-20
01월 01일,1,2,통진읍,마송리,592-10,전용주(강관),37.68189131,126.6088682,031-980-2796,김포시 도로관리과,2021-02-20
01월 10일,1,2,통진읍,가현리,May-55,전용주(강관),37.68109287,126.6078663,031-980-2796,김포시 도로관리과,2021-02-20
01월 11일,1,2,통진읍,가현리,Jul-55,전용주(강관),37.68124484,126.6081829,031-980-2796,김포시 도로관리과,2021-02-20
01월 12일,1,2,통진읍,가현리,Apr-50,전용주(강관),37.68141694,126.6084598,031-980-2796,김포시 도로관리과,2021-02-20
01월 13일,1,2,통진읍,마송리,592-9,전용주(강관),37.68160478,126.6087252,031-980-2796,김포시 도로관리과,2021-02-20
01월 14일,1,2,통진읍,마송리,592-9,전용주(강관),37.6817813,126.6089765,031-980-2796,김포시 도로관리과,2021-02-20
01월 02일,1,2,통진읍,마송리,592-10,전용주(강관),37.68170798,126.6086014,031-980-2796,김포시 도로관리과,2021-02-20
01월 03일,1,2,통진읍,마송리,592-9,전용주(강관),37.68152693,126.6083444,031-980-2796,김포시 도로관리과,2021-02-20
01월 04일,1,2,통진읍,가현리,Jul-48,전용주(강관),37.68135261,126.6080789,031-980-2796,김포시 도로관리과,2021-02-20
01월 05일,1,2,통진읍,가현리,Sep-48,전용주(강관),37.68122102,126.6077948,031-980-2796,김포시 도로관리과,2021-02-20
01월 06일,1,2,통진읍,마송리,592-9,전용주(강관),37.68115239,126.6074749,031-980-2796,김포시 도로관리과,2021-02-20
01월 07일,1,2,통진읍,가현리,Oct-48,전용주(강관),37.68118055,126.6071403,031-980-2796,김포시 도로관리과,2021-02-20
01월 08일,1,2,통진읍,마송리,592-9,전용주(강관),37.6810431,126.6071241,031-980-2796,김포시 도로관리과,2021-02-20
01월 09일,1,2,통진읍,가현리,Jul-55,전용주(강관),37.68101279,126.6074926,031-980-2796,김포시 도로관리과,2021-02-20
10월 01일,1,1,통진읍,마송리,612,전용주(강관),37.68259058,126.6044461,031-980-2796,김포시 도로관리과,2021-02-20
10월 10일,1,2,통진읍,마송리,09월 03일,전용주(강관),37.68545914,126.6046295,031-980-2796,김포시 도로관리과,2021-02-20
10월 11일,1,2,통진읍,마송리,09월 02일,전용주(강관),37.68558412,126.6044642,031-980-2796,김포시 도로관리과,2021-02-20
10월 12일,1,2,통진읍,마송리,09월 02일,전용주(강관),37.68541917,126.6043064,031-980-2796,김포시 도로관리과,2021-02-20
10월 13일,1,2,통진읍,마송리,09월 02일,전용주(강관),37.68525991,126.6045057,031-980-2796,김포시 도로관리과,2021-02-20
10월 14일,1,1,통진읍,마송리,09월 03일,전용주(강관),37.68503952,126.60466,031-980-2796,김포시 도로관리과,2021-02-20
10월 15일,1,1,통진읍,마송리,06월 03일,전용주(강관),37.68473053,126.6047745,031-980-2796,김포시 도로관리과,2021-02-20
10월 16일,1,1,통진읍,마송리,05월 01일,전용주(강관),37.68441391,126.6048965,031-980-2796,김포시 도로관리과,2021-02-20
10월 17일,1,1,통진읍,마송리,05월 01일,전용주(강관),37.68406296,126.6050262,031-980-2796,김포시 도로관리과,2021-02-20
10월 18일,1,1,통진읍,마송리,05월 01일,전용주(강관),37.68369293,126.6049347,031-980-2796,김포시 도로관리과,2021-02-20
10월 19일,1,1,통진읍,마송리,872,전용주(강관),37.68344116,126.6047897,031-980-2796,김포시 도로관리과,2021-02-20
10월 02일,1,1,통진읍,마송리,612,전용주(강관),37.68289969,126.6046032,031-980-2796,김포시 도로관리과,2021-02-20
10월 20일,1,1,통진읍,마송리,612,전용주(강관),37.68317413,126.6046219,031-980-2796,김포시 도로관리과,2021-02-20
10월 21일,1,1,통진읍,마송리,874,전용주(강관),37.68289185,126.6044617,031-980-2796,김포시 도로관리과,2021-02-20
10월 22일,1,1,통진읍,마송리,873,전용주(강관),37.68261337,126.6043091,031-980-2796,김포시 도로관리과,2021-02-20
10월 03일,1,1,통진읍,마송리,612,전용주(강관),37.68323819,126.6047913,031-980-2796,김포시 도로관리과,2021-02-20
10월 04일,1,1,통진읍,마송리,612,전용주(강관),37.68347996,126.6050196,031-980-2796,김포시 도로관리과,2021-02-20
