장례식장명,전화번호,주소,위도,경도
갑을장유병원장례식장,055-314-5533,경상남도 김해시 부곡동 748-5 ,35.2086471306 ,128.8056324929 
김해시민장례식장,055-900-4000,경상남도 김해시 풍유동 597-13 ,35.2089431383 ,128.8453274352 
김해전문장례식장,055-331-4444,경상남도 김해시 지내동 325-4,35.2297651539 ,128.9204682207 
녹십자요양병원장례식장,055-338-3501,경상남도 김해시 부원동 615-17,35.2276296434 ,128.8856618971 
김해복음병원장례식장,055-330-9999,경상남도 김해시 삼정동 98-17,35.2306275531 ,128.8932194835 
성모병원장례식장,055-336-4475,경상남도 김해시 삼정동 615-7 ,35.2280921973 ,128.8980582188 
김해누가병원장례식장,055-332-4000,경상남도 김해시 대청동 1106-1,35.1875103292 ,128.8057552279 
조은금강병원장례식장,055-330-0400,경상남도 김해시 삼계동 392-1,35.2622965224 ,128.8608318753 
보람김해장례식장,055-322-4442,경상남도 김해시 분성로 98,35.2306859041 ,128.8578092012 
진영병원장례식장,055-345-1444,경상남도 김해시 진영읍 진영리 290-8 ,35.3060053125 ,128.7270321572 
진영전문장례식장,055-345-9444,경상남도 김해시 진영읍 설창리 736,35.2922155196 ,128.7631131335 
하늘재전문장례식장,055-343-8400,경상남도 김해시 진영읍 진영리 318-387,35.3144007350 ,128.7285666692 
김해한솔병원장례식장,055-321-6624,경상남도 김해시 부원동 621-9,35.2272656648 ,128.8871912294 
현대병원장례식장,055-331-0036,경상남도 김해시 구산동 1071-4,35.2490683626 ,128.8713969753 
