연번,업종명,업소명,주소,영업자,연락처,홈페이지,위도,경도,객실수
1,관광펜션업,라움펜션,경상남도 산청군 단성면 호암로701번길 155-14,이미연,,,35.334134,127.894296,10
2,모텔/여관,(주)지리산청계수련원,경상남도 산청군 단성면 호암로 915,김병기,,,35.340559,127.907246,12
3,모텔/여관,W모텔,경상남도 산청군 산청읍 친환경로2720번길 106-24,조수진,055-974-6652,,35.412306,127.883267,18
4,모텔/여관,경호장여관,경상남도 산청군 산청읍 친환경로 2674-10,권용순,055-973-2625,,35.416182,127.876211,7
5,모텔/여관,경호파크장,경상남도 산청군 신안면 원지강변로 21,이민선,055-973-5204,,35.302992,127.969386,11
6,모텔/여관,늘푸른가든궁전여관,경상남도 산청군 삼장면 친환경로 801,박정기,055-972-9778,,35.337344,127.836605,12
7,모텔/여관,단성모텔,경상남도 산청군 단성면 지리산대로3362번길 17,최정자,055-973-6616,,35.30241,127.964269,15
8,모텔/여관,덕산장여관,경상남도 산청군 시천면 남명로 220-2,김점남,055-972-8610,,35.276982,127.83867,13
9,모텔/여관,동궁모텔,경상남도 산청군 신안면 원지강변로 31,최규연,055-973-5750,,35.302325,127.967023,13
10,모텔/여관,동의본가힐링타운,경상남도 산청군 금서면 동의보감로479번길 57,최주리,055-972-1318,,35.442052,127.828592,12
11,모텔/여관,랑데뷰모텔,경상남도 산청군 신안면 원지강변로61번길 7,김민경,055-973-8345,,35.300854,127.96907,11
12,모텔/여관,리베라2,경상남도 산청군 생비량면 진산로 2180,최기봉,055-974-2245,,35.346548,128.079063,8
13,모텔/여관,리베라모텔,경상남도 산청군 생비량면 진산로 2180,정성임,055-974-2244,,35.346548,128.079063,12
14,모텔/여관,리앙스모텔,경상남도 산청군 산청읍 친환경로 2674-5,박문상,055-972-7756,,35.416548,127.878104,20
15,모텔/여관,리오모텔,경상남도 산청군 단성면 목화로 96-9,백정흠,055-972-0019,,35.264496,127.935414,18
16,모텔/여관,백만장여관,경상남도 산청군 생초면 산수로 1038,이응남,055-973-1661,,35.492657,127.83199,10
17,모텔/여관,별바라기모텔,경상남도 산청군 단성면 지리산대로 2641,정호정,055-974-3400,,35.280253,127.903193,16
18,모텔/여관,사파리모텔,경상남도 산청군 신안면 지리산대로 3645,이범용,055-972-5586,,35.312505,127.983367,14
19,모텔/여관,산장파크여관,경상남도 산청군 생비량면 지리산대로 4733-9,최기봉,055-973-6500,,35.356961,128.072304,17
20,모텔/여관,산청파크장,경상남도 산청군 산청읍 웅석봉로 38,이현실,055-973-6840,,35.414135,127.872648,22
21,모텔/여관,삼보파크텔,경상남도 산청군 시천면 남명로200번길 13,박정임,055-972-9200,,35.276849,127.837242,15
22,모텔/여관,서울모텔,경상남도 산청군 신안면 원지강변로 39,최미용,055-973-1492,,35.301542,127.966908,20
23,모텔/여관,서지관광농원여관,경상남도 산청군 시천면 반천로 211-102,노현섭,055-972-1451,,35.229896,127.788204,14
24,모텔/여관,숲모텔,경상남도 산청군 단성면 지리산대로2705번길 24-4,김시진,,,35.272111,127.917866,17
25,모텔/여관,스타모텔,경상남도 산청군 생비량면 지리산대로 4741-5,김인자,055-972-3302,,35.356069,128.075433,14
26,모텔/여관,스타모텔2,경상남도 산청군 생비량면 지리산대로 4739,권오득,055-974-1059,,35.355945,128.072731,11
27,모텔/여관,실크로드모텔,경상남도 산청군 금서면 친환경로2533번길 4,최필영,055-973-6199,,35.417768,127.863627,18
28,모텔/여관,씨에프(CF)모텔,경상남도 산청군 신안면 원지강변로61번길 10,임은주,055-972-2299,,35.301105,127.969212,24
29,모텔/여관,아이리스모텔,경상남도 산청군 단성면 목화로 139-13,이필옥,055-974-0606,,35.261952,127.936154,14
30,모텔/여관,양천장여관,경상남도 산청군 생비량면 비량로411번길 2-5,하형근,055-972-2540,,35.36296,128.063367,15
31,모텔/여관,엘리제모텔,경상남도 산청군 신안면 지리산대로 3677,안영희,055-973-5432,,35.320295,127.974063,12
32,모텔/여관,영남장여관,경상남도 산청군 산청읍 친환경로 2683,김옥연,055-972-6767,,35.417276,127.875881,13
33,모텔/여관,유(u)모텔,경상남도 산청군 산청읍 중앙로 136,남미선,055-973-0200,,35.415278,127.876579,19
34,모텔/여관,이(e) 편한모텔,경상남도 산청군 신안면 원지강변로 51,정숙희,055-974-0560,,35.300709,127.968952,11
35,모텔/여관,젠모텔,경상남도 산청군 시천면 지리산대로 1346,김정미,055-973-6001,,35.24338,127.803192,15
36,모텔/여관,지리산계곡호텔,경상남도 산청군 시천면 지리산대로 555,최재경,055-972-1441,,35.291416,127.755628,18
37,모텔/여관,지리산대웅모텔,경상남도 산청군 시천면 지리산대로 605,홍종순,055-973-8181,,35.289001,127.759005,17
38,모텔/여관,지리산리조트 주식회사,경상남도 산청군 시천면 지리산대로511번길 11-31,홍일근,055-711-7015,,35.297338,127.753573,3
39,모텔/여관,지리산뷰캐슬펜션,경상남도 산청군 시천면 지리산대로511번길 11-20,김홍연,055-973-2250,,35.295852,127.754269,17
40,모텔/여관,지리산장모텔,경상남도 산청군 시천면 지리산대로 1305-7,백준봉,055-973-0868,,35.29141,127.748565,17
41,모텔/여관,지리산통나무산장,경상남도 산청군 시천면 지리산대로511번길 11-36,김영부,055-973-0666,,35.297405,127.754358,8
42,모텔/여관,초원파크,경상남도 산청군 신안면 원지강변로 33,옥삼돌,055-973-8253,,35.30217,127.969178,19
43,모텔/여관,킹모텔,경상남도 산청군 산청읍 꽃봉산로 132,최윤자 외 1명,055-973-7645,,35.41227,127.878971,32
44,모텔/여관,티(T)모텔,경상남도 산청군 금서면 친환경로2451번길 133-7,윤계자,055-974-0949,,35.427098,127.848816,10
45,모텔/여관,포유,경상남도 산청군 신안면 원지강변로 23,강나리,055-974-0019,,35.302869,127.967246,26
46,모텔/여관,프라하,경상남도 산청군 신안면 원지강변로61번길 9,심재숙 외 1명,055-973-7680,,35.301102,127.968915,18
47,모텔/여관,필모텔,경상남도 산청군 생비량면 태봉로 119,강동훈,070-4200-5933,,35.343156,128.067431,9
48,모텔/여관,항노화힐링누리원,경상남도 산청군 금서면 동의보감로555번길 58,곽기업,055-974-5355,,35.441061,127.827488,12
