지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,도로구간번호,공사번호,재질,구조,연장,폭원,높이-최대,높이-최소,대장초기화여부,비고,구분ID,경도,위도
석축,1284,산양읍,348021853D,통영시,8892,,석축,,77.11,0.3,3.2,1,1,,0,128.3629558,34.82135045
석축,1285,산양읍,348021853C,통영시,8892,,석축,,205.38,0.3,2.5,1,1,,1,128.3618511,34.82176894
석축,1286,산양읍,348021740A,통영시,8890,,석축,,374.67,0.3,3.5,1,1,,2,128.3462688,34.83356738
옹벽,1287,산양읍,348021842D,통영시,8869,,철근콘크리트,,40.34,0.3,3.5,1,1,,3,128.3575168,34.82574392
석축,1288,산양읍,348021842D,통영시,8485,,석축,,12.32,0.3,3.5,0.5,1,,4,128.3589615,34.8257616
석축,1289,산양읍,348021842C,통영시,8869,,석축,,9.83,0.3,3.5,0.5,1,,5,128.357415,34.82553219
옹벽,1290,산양읍,348021842D,통영시,8869,,철근콘크리트,,17.88,0.3,3.5,1,1,,6,128.3576418,34.82602381
옹벽,1291,산양읍,348021842D,통영시,8869,,철근콘크리트,,26.39,0.3,0.6,0.6,1,,7,128.3581482,34.82654412
석축,1292,산양읍,348021842D,통영시,8869,,석축,,6.32,0.3,3.5,0.5,1,,8,128.3588211,34.82634679
옹벽,1293,산양읍,348021846D,통영시,8915,,철근콘크리트,,97.22,0.3,3.2,0.5,1,,9,128.3779855,34.82609189
옹벽,1294,산양읍,348022340C,통영시,8789,,철근콘크리트,,359.89,0.3,3.5,0.5,1,,10,128.3962851,34.7803289
석축,1295,산양읍,348022339D,통영시,8935,,석축,,70.24,0.3,3.5,0.5,1,,11,128.3943538,34.78104581
석축,1296,산양읍,348022329A,통영시,8799,,석축,,152.56,0.3,4,0.5,1,,12,128.3904796,34.78822658
옹벽,2330,한산면,348022097D,통영시,10085,RD20021018,철근콘크리트,,47.44,0.3,1,0.2,1,,13,128.483429,34.80176776
옹벽,2329,한산면,348022537D,통영시,10095,,철근콘크리트,,61.36,0.3,1,0.2,1,,14,128.4835112,34.78009444
옹벽,2328,한산면,348022547B,통영시,10109,RD20087503,철근콘크리트,,51.01,0.3,0.8,0.2,1,,15,128.4831535,34.77923261
옹벽,2327,한산면,348022577D,통영시,10108,,철근콘크리트,,135.9,0.3,1.3,0.5,1,,16,128.4829354,34.76060126
옹벽,2326,한산면,348022537C,통영시,10095,,철근콘크리트,,173.05,0.3,1.2,0.2,1,,17,128.4824901,34.78075792
옹벽,2324,한산면,348022577D,통영시,10094,,철근콘크리트,,76.69,0.3,1.9,0.3,1,,18,128.4825791,34.76067412
옹벽,1303,산양읍,348021749C,통영시,8877,,철근콘크리트,,67.24,0.3,2,0.5,1,,19,128.3403753,34.82691084
