관리번호,시군명,읍면,리동,어초종류,시설년도,위도(E),경도,확인 수량
1,하동군,금남면,대도리,사각형어초,1995,34.931320 ,127.842064,100
2,하동군,금남면,대도리,반구형어초,1996,34.924960 ,127.839206,264
3,하동군,금남면,대도리,반구형어초,1996,34.939855,127.838287,264
4,하동군,금남면,노량리,반구형어초,1997,34.946214,127.869827,182
5,하동군,금남면,대도리,사각형어초,1998,34.927882,127.836911,182
6,하동군,금남면,노량리,사각형어초,1998,34.946881,127.874642,137
7,하동군,금남면,대치리,사각형어초,1998,34.958162,127.902697,182
8,하동군,금남면,송문리,사각형어초,2000,34.946490 ,127.850266,100
9,하동군,금남면,대도리,사각형어초,2000,34.937114,127.839777,100
10,하동군,금남면,대치리,사각형어초,2000,34.953783,127.895630 ,200
11,하동군,금남면,대치리,팔각상자형강제어초,2011,34.959046,127.901779,4
12,하동군,금남면,대도리,팔각상자형강제어초,2012,34.941621,127.83982,4
13,하동군,금남면,대도리,팔각반규형소형강제어초,2012,34.925049,127.838422,7
14,하동군,금남면,송문리,사각형어초,2013,39.944343,127.853836,100
