연번,약국명,소재지도로명주소,소재지지번주소,위도,경도,약국전화번호,데이터기준일자
1,정다운약국,경상남도 거창군 거창읍 대동리 거열로 199,경상남도 거창군 거창읍 대동리 697-7,35.69111253,127.9149847,055-942-5936,2021-10-15
2,세종약국,경상남도 거창군 거창읍 수남로 2287,경상남도 거창군 거창읍 김천리 365-10,35.68290096,127.9117634,055-943-8511,2021-10-15
3,푸른약국,경상남도 거창군 거창읍 강남로1길 94-90 1층,경상남도 거창군 거창읍 송정리 1116-6 1층,35.68099614,127.905595,055-942-1300,2021-10-15
4,수약국,경상남도 거창군 거창읍 강변로 177 아진프라자 2층 203호,경상남도 거창군 거창읍 대동리 933 아진프라자 2층 203호,35.68617018,127.9161014,055-942-9872,2021-10-15
5,선보약국,경상남도 거창군 거창읍 거창대로 100 선보프라자 101호,경상남도 거창군 거창읍 대동리 699-1 선보프라자 101호,35.69043468,127.9151905,055-945-3252,2021-10-15
6,송정약국,경상남도 거창군 거창읍 송정1길 24-6,경상남도 거창군 거창읍 송정리 1096-5,35.68154192,127.898525,055-943-6137,2021-10-15
7,종합약국,경상남도 거창군 거창읍 중앙로 163-6 1층,경상남도 거창군 거창읍 대동리 833-2 1층,35.68817436,127.9162207,055-944-1114,2021-10-15
8,중앙약국,경상남도 거창군 거창읍 상동2길 2,경상남도 거창군 거창읍 상림리 76-1,35.68557666,127.9082467,055-944-2143,2021-10-15
9,솔약국,경상남도 거창군 거창읍 중앙로 134,경상남도 거창군 거창읍 중앙리 128-3,35.68690574,127.9129389,055-942-9238,2021-10-15
10,기쁨약국,경상남도 거창군 거창읍 거창대로 65,경상남도 거창군 거창읍 대동리 861-3,35.68729668,127.9156347,055-941-2334,2021-10-15
11,조은약국,경상남도 거창군 거창읍 거창대로2길 5,경상남도 거창군 거창읍 대동리 827,35.68747775,127.9162376,055-941-0603,2021-10-15
12,태평양약국,경상남도 거창군 거창읍 거창대로 55,경상남도 거창군 거창읍 대동리 931-3,35.68653886,127.9159864,055-941-2239,2021-10-15
13,최약국,경상남도 거창군 거창읍 거창대로 58,경상남도 거창군 거창읍 대동리 885-1,35.68681941,127.9164607,055-944-0388,2021-10-15
14,신일약국,경상남도 거창군 거창읍 거열로 116 2층,경상남도 거창군 거창읍 상림리 796-3 2층,35.68860577,127.9065091,055-945-4866,2021-10-15
15,행복한약국,경상남도 거창군 거창읍 거창대로 61,경상남도 거창군 거창읍 대동리 862-7,35.68694419,127.9159326,055-943-1155,2021-10-15
16,한들약국,경상남도 거창군 거창읍 거창대로 78-1,경상남도 거창군 거창읍 대동리 775-1,35.68862764,127.9157531,055-945-2995,2021-10-15
17,박약국,경상남도 거창군 거창읍 거창대로 57,경상남도 거창군 거창읍 대동리 882-2,35.68671942,127.9160165,055-945-3653,2021-10-15
18,백두산약국,경상남도 거창군 거창읍 거창대로 52,경상남도 거창군 거창읍 대동리 923-6,35.68639967,127.9167601,055-941-1040,2021-10-15
19,상동약국,경상남도 거창군 거창읍 상동2길 1,경상남도 거창군 거창읍 상림리 94-3,35.68553628,127.9080686,055-943-0008,2021-10-15
20,건강한약국,경상남도 거창군 거창읍 거창대로 78 1층,경상남도 거창군 거창읍 대동리 783 1층,35.68851204,127.9158794,055-942-4939,2021-10-15
21,배약국,경상남도 거창군 거창읍 중앙로 131-2,경상남도 거창군 거창읍 중앙리 96-4,35.68710775,127.912696,055-944-2676,2021-10-15
22,메디팜하나로약국,경상남도 거창군 거창읍 거창대로 97,경상남도 거창군 거창읍 대동리 700-2,35.69019134,127.9147046,055-943-2331,2021-10-15
23,수승대약국,경상남도 거창군 거창읍 거창대로 71-1,경상남도 거창군 거창읍 대동리 837-4,35.68797125,127.9154469,055-944-5605,2021-10-15
24,대동약국,경상남도 거창군 거창읍 중앙로 157,경상남도 거창군 거창읍 대동리 841-1,35.68780354,127.9152801,055-943-9070,2021-10-15
25,덕성약국,경상남도 거창군 가조면 지산로 1487,경상남도 거창군 가조면 마상리 311-15,35.70952643,128.0156788,055-942-0033,2021-10-15
26,성호당약국,경상남도 거창군 거창읍 창동로 123,경상남도 거창군 거창읍 대동리 102-12,35.68819903,127.9202653,055-943-5658,2021-10-15
27,대성약국,경상남도 거창군 거창읍 중앙로 96,경상남도 거창군 거창읍 상림리 121-16,35.68554192,127.9091714,055-942-9666,2021-10-15
28,진명약국,경상남도 거창군 거창읍 중앙로 158-1,경상남도 거창군 거창읍 대동리 860,35.6874212,127.9154498,055-944-8760,2021-10-15
29,서부약국,경상남도 거창군 거창읍 시장길 98,경상남도 거창군 거창읍 대동리 862-6,35.6871181,127.9159016,055-944-6753,2021-10-15
30,거창약국,경상남도 거창군 거창읍 강남로 204,경상남도 거창군 거창읍 대평리 1005-5,35.68566226,127.9193141,055-944-7772,2021-10-15
31,국민약국,경상남도 거창군 거창읍 시장길 44,경상남도 거창군 거창읍 중앙리 114,35.68598934,127.9131197,055-944-2303,2021-10-15
32,시민약국,경상남도 거창군 거창읍 강남로 196,경상남도 거창군 거창읍 대평리 1118-2,35.68529322,127.9186513,055-944-3141,2021-10-15
33,동산약국,경상남도 거창군 거창읍 시장길 40-1,경상남도 거창군 거창읍 중앙리 116,35.68594923,127.9130015,055-944-2642,2021-10-15
34,가람약국,경상남도 거창군 거창읍 거창대로1길 7-2,경상남도 거창군 거창읍 대동리 892,35.68732843,127.916804,055-945-3651,2021-10-15
35,가까운약국,경상남도 거창군 거창읍 송정1길 24-20,경상남도 거창군 거창읍 송정리 1096-2,35.68129,127.89878,055-942-3690,2021-10-15
