시군명,시설구분명,기관명,소재지도로명주소,소재지우편번호,소재지지번주소,WGS84경도,WGS위도
진주시,소방서,진주소방서,진주시 동진로 249,52782,경남 진주시 상대동 314-7,128.1184736,35.1803702
통영시,소방서,통영소방서,통영시 광도면 죽림4로 49,53013,경남 통영시 광도면 죽림리 1573-1,128.4190177,34.88353105
사천시,소방서,사천소방서,사천시 남일로 29,52561,경남 사천시 동금동 70-2,128.0797609,34.93313964
김해시,소방서,김해동부소방서,김해시 김해대로 2507,50933,경남 김해시 삼정동 662,128.9013972,35.22859737
김해시,소방서,김해서부소방서,김해시 진례면 서부로 730,50874,경남 김해시 진례면 초전리 965-1,128.7551343,35.23795294
밀양시,소방서,밀양소방서,밀양시 밀양대공원로 66,50420,경남 밀양시 교동 산 26,128.7587191,35.49987961
거제시,소방서,거제소방서,거제시 진목로 1,53224,경남 거제시 옥포동 1297,128.6861691,34.89613984
양산시,소방서,양산소방서,양산시 물금읍 황산로 719,50595,경남 양산시 물금읍 범어리 687-1,129.0100282,35.33403773
의령군,소방서,의령소방서,의령군 의령읍 의병로 108-17,52151,경남 의령군 의령읍 서동리 843-2,128.2483322,35.31958417
함안군,소방서,함안소방서,함안군 가야읍 선왕길 59,52036,경남 함안군 가야읍 도항리 256-4,128.3999857,35.28620172
창녕군,소방서,창녕소방서,창녕군 대지면 우포2로 1097,50319,경남 창녕군 대지면 효정리 211-1,128.4791272,35.5504487
고성군,소방서,고성소방서,고성군 고성읍 남해안대로 2670,52939,경남 고성군 고성읍 송학리 80-1,128.3308486,34.98113023
남해군,소방서,남해소방서,남해군 남해읍 스포츠로 81,52428,경남 남해군 남해읍 평리 1092-1,127.8926877,34.82958896
하동군,소방서,하동소방서,하동군 금성면 금성로 15,52353,경남 하동군 금성면 궁항리 348-1,127.7955419,34.97788233
산청군,소방서,산청소방서,산청군 산청읍 중앙로 76-7,52225,경남 산청군 산청읍 지리 836,127.8834566,35.41524328
함양군,소방서,함양소방서,함양군 함양읍 고운로 161-41,50024,경남 함양군 함양읍 신관리 807-1,127.7420039,35.52385437
거창군,소방서,거창소방서,거창군 거창읍 거함대로 3324,50147,경남 거창군 거창읍 대평리 1359-1,127.9234535,35.67761185
합천군,소방서,합천소방서,합천군 합천읍 인덕로 2453,50229,경남 합천군 합천읍 서산리 860,128.1485375,35.5728083
