상호명,대표전화번호,도로명주소,위도,경도,데이터기준일자
단석가 찰보리빵,054-741-7520,경상북도 경주시 금성로 233(사정동),35.838547,129.206892,2020-09-24
대맥명가 찰보리빵,054-771-3577,경상북도 경주시 태종로727번길 3(노서동) ,35.839349,129.207723,2020-09-24
천년애,054-773-6051,경상북도 경주시 첨성로 67(황남동),35.833246,129.209723,2020-09-24
경주 찰보리빵,054-772-1322,경상북도 경주시 계림로 68(황오동),35.8402703,129.213869,2020-09-24
토종 찰보리빵,054-772-0665,경상북도 경주시 태종로 746(황남동),35.839294,129.209682,2020-09-24
오릉 경주빵 찰보리빵,054-742-0375,경상북도 경주시 첨성로23(사정동),35.833152,129.204741,2020-09-24
고도 찰보리빵,054-749-1501,경상북도 경주시 원화로 252-2(황오동) ,35.843053,129.217587,2020-09-24
팔우정찰보리경주빵,054-771-0083,경상북도 경주시 태종로 816(황오동),35.8406904,129.216887,2020-09-24
토속명가 찰보리빵,054-742-9655,경상북도 경주시 북정로 1(황오동),35.841212,129.215135,2020-09-24
황남빵,054-749-7000,경상북도 경주시 태종로 783(황오동),35.840867,129.2136908,2020-09-24
경주 대릉빵,000-000-0000,경상북도 경주시 태종로 791번길15(황오동),35.842282,129.214531,2020-09-24
신라미소빵,054-773-3900,경상북도 경주시 원화로 178-4(인왕동),35.837124,129.220142,2020-09-24
이상복 경주빵,054-748-8877,경상북도 경주시 첨성로 61(사정동),35.833156,129.2087808,2020-09-24
주령구빵,054-741-6090,경상북도 경주시 첨성로 163-4(인왕동),35.836244,129.218911,2020-09-24
교동법주,054-772-2051,경상북도 경주시 교촌안길 19-21(교동)  ,35.831057,129.215843,2020-09-24
경주법주,054-746-5111,경상북도 경주시 산업로 2944(시래동),35.771569,129.306275,2020-09-24
신라주,054-762-9988,경상북도 경주시 안강읍 사방검단길 265-4,35.930386,129.206958,2020-09-24
두산명주,054-777-3492,경상북도 경주시 양북면 명주길 154,35.766907,129.434477,2020-09-24
누비옷,054-775-2631,경상북도 경주시 식혜골길 33(탑동),35.819503,129.218433,2020-09-24
"이사금(쌀, 시금치, 사과, 딸기, 배, 토마토, 체리, 단감, 부추, 양송이, 느타리버섯)",054-742-0261,경상북도 경주시 고란길 27(효현동),35.824345,129.152549,2020-09-24
곤달비,054-751-5027,경상북도 경주시 산내면 의곡중앙길 14,35.756919,129.045191,2020-09-24
"건고추, 건고사리",054-773-1801,경상북도 경주시 진현로2길 61-7(진현동),35.7869003,129.326834,2020-09-24
경주버섯,054-751-0018,경상북도 경주시 건천읍 단석로 2015,35.849463,129.102754,2020-09-24
"모조 은잔(에밀레종, 금관)",054-746-7207,경상북도 경주시 하동공예촌길 40(하동),35.806288,129.311114,2020-09-24
신라염궁,054-743-3577,경상북도 경주시 원화로 339(성동동),35.851151,129.217157,2020-09-24
신라토기,054-746-7207,경상북도 경주시 하동공예촌길 40(하동),35.806288,129.311114,2020-09-24
