명칭,주소,위도,경도,데이터기준일자
동천우체국앞,경상북도 경주시 동천동 790,35.85652575,129.2231078,2021-08-19
흥무초등학교앞,경상북도 경주시 성건동 466-3,35.85020774,129.2052982,2021-08-19
시외버스터미널앞,경상북도 경주시 사정동 485-9,35.83818905,129.203965,2021-08-19
청우아파트앞,경상북도 경주시 황성동 273-1,35.86810438,129.2171738,2021-08-19
해동주유소앞,경상북도 경주시 성건동 697-5,35.85328552,129.2066512,2021-08-19
감포,경상북도 경주시 감포읍 감포리 384-12,35.80465738,129.5026226,2021-08-19
산대초교(안강),경상북도 경주시 안강읍 산대리 2387,36.00308431,129.1977407,2021-08-19
황성농협앞,경상북도 경주시 황성동 451,35.86468556,129.2139104,2021-08-19
동천농협사거리,경상북도 경주시 용강동 1338-2,35.85999001,129.224545,2021-08-19
용강초교앞,경상북도 경주시 용강동 1293,35.87603689,129.2294211,2021-08-19
경희학교앞,경상북도 경주시 동천동 902-6,35.84755917,129.2326893,2021-08-19
경주초교앞,경상북도 경주시 충효동 3012,35.8426479,129.1897531,2021-08-19
금강당사거리,경상북도 경주시 안강읍 양월리 1195-3,35.99230511,129.222741,2021-08-19
박외과의원앞,경상북도 경주시 안강읍 안강리 319-162,35.99168835,129.2257702,2021-08-19
외동파출소사거리(입실초등학교),경상북도 경주시 외동읍 입실리 1046-14,35.71580404,129.3238746,2021-08-19
푸르지오아파트삼거리,경상북도 경주시 황성동 401-18,35.85674776,129.2190038,2021-08-19
신한은행사거리,경상북도 경주시 동부동 113-6,35.84481501,129.2118693,2021-08-19
나원초등학교,경상북도 경주시 현곡면 금장리 441-7,35.86883581,129.2027348,2021-08-19
경주역,경상북도 경주시 황오동 169-2,35.84735712,129.2180518,2021-08-19
통일화랑아파트,경상북도 경주시 성건동 620-496,35.85563572,129.2050704,2021-08-19
제2공영주차장앞,경상북도 경주시 황오동 119-3,35.84209434,129.2170968,2021-08-19
월성초등학교앞,경상북도 경주시 노서동 35-1,35.84295989,129.2081439,2021-08-19
금장아파트앞,경상북도 경주시 현곡면 금장리 384-8,35.87262627,129.2031244,2021-08-19
보림칼라앞,경상북도 경주시 동천동 760,35.85577028,129.2211809,2021-08-19
불국사관광안내소,경상북도 경주시 진현동 64-6,35.78652047,129.3277687,2021-08-19
동천초등학교앞,경상북도 경주시 동천동 911-3,35.84791531,129.2287207,2021-08-19
경주세무서삼거리,경상북도 경주시 성동동 174-17,35.84968113,129.2172903,2021-08-19
주공1단지아파트앞,경상북도 경주시 황성동 299-2,35.86183686,129.216646,2021-08-19
안압지앞,경상북도 경주시 인왕동 502-4,35.8331225,129.2263562,2021-08-19
현대2차아파트앞,경상북도 경주시 황성동 533,35.86644489,129.2119442,2021-08-19
신경주역,경상북도 경주시 건천읍 화천리 1018-2,35.79889547,129.1419038,2021-08-19
동천초등학교후문,경상북도 경주시 동천동 586-10,35.8483832,129.2270342,2021-08-19
부호사우나 삼거리,경상북도 경주시 동천동 888,35.85017993,129.2293646,2021-08-19
제1공영주차장앞,경상북도 경주시 노동동 183,35.84403698,129.2103741,2021-08-19
서성로 현대자동차 앞(파크랜드앞),경상북도 경주시 노서동 121-3,35.84136955,129.2067582,2021-08-19
동대로사거리(동국약국 맞은편) 앞,경상북도 경주시 성건동 682-1,35.8551876,129.2066136,2021-08-19
KT삼거리 (KT경주지사 맞은편),경상북도 경주시 황오동 203-36,35.84429926,129.2138539,2021-08-19
봉황대(노서동 노서리 고분 앞),경상북도 경주시 노서동 101-7,35.84157276,129.2098496,2021-08-19
청기와사거리(청기와 커피 앞),경상북도 경주시 노서동 82,35.84222091,129.2099259,2021-08-19
봉황로 문화의거리 행운슈퍼사거리(학생당상가),경상북도 경주시 노서동 13-1,35.84344624,129.2099666,2021-08-19
시외버스터미널(GS25편의점 앞),경상북도 경주시 노서동 243-16,35.83905501,129.202993,2021-08-19
화랑로 사거리(중앙시장네거리),경상북도 경주시 서부동 237,35.84505588,129.2076444,2021-08-19
외동읍 입실한의원 앞,경주시 외동읍 입실리 1012-9,35.7139649,129.3247393,2021-08-19
경주시청 앞,경상북도 경주시 동천동 800,35.85620277,129.2247303,2021-08-19
현곡면 우남사우나 맞은편(서라벌공인중계사 맞은편),경상북도 경주시 현곡면 금장리 445-6,35.86760114,129.2027272,2021-08-19
황성동 파리바게트,경상북도 경주시 황성동 472-8,35.8657621,129.214403,2021-08-19
흥무초등학교,경상북도 경주시 성건동 460-4,35.84874878,129.2051875,2021-08-19
금장초등학교,경상북도 경주시 현곡면 금장리 328-1,35.87275978,129.2032925,2021-08-19
모아초등학교,경상북도 경주시 천북면 모아리 587-3,35.91959364,129.2461616,2021-08-19
건천읍 대한치과 앞,경상북도 경주시 건천읍 건천리 338-3,35.84862003,129.1042922,2021-08-19
건천읍사무소앞,경상북도 경주시 건천읍 건천리 244-1,35.84993059,129.1019303,2021-08-19
우리들온누리약국 앞,경상북도 경주시 성동동 73-2,35.84618685,129.2170265,2021-08-19
새천년병원 앞,경상북도 경주시 성동동 396-12,35.84474237,129.2154879,2021-08-19
유림초등학교 앞,경상북도 경주시 황성동 539-1,35.86872483,129.2128648,2021-08-19
용황유치원 앞,경상북도 경주시 황성동 325-1,35.8642745,129.2215551,2021-08-19
황성 현진에버빌,경상북도 경주시 용강동 1382,35.88499451,129.2242326,2021-08-19
황성 협성휴포레 앞,경상북도 경주시 황성동 1075,35.87678694,129.2186245,2021-08-19
용황초등학교,경상북도 경주시 황성동 324-7,35.86506919,129.2205154,2021-08-19
황남초등학교 정문,경상북도 경주시 용강동 1788,35.87271439,129.2282292,2021-08-19
황남초등학교 후문,경상북도 경주시 용강동 1675,35.88485689,129.229757,2021-08-19
레포유 카페 앞,경북 경주시 용강동 1649,35.88300393,129.2289438,2021-08-19
성건동 청과물시장 앞,경북 경주시 성건동 350-2,35.84396875,129.2051421,2021-08-19
노동동 아가방 앞,경북 경주시 노서동 140-20,35.844247,129.21348,2021-08-19
동천동 공영주차장 앞,경북 경주시 동천동 987-11,35.859165,129.22526,2021-08-19
맘스터치 앞(패션의거리),경북 경주시 동성로 111,35.843304,129.2128,2021-08-19
디스커버리 앞(패션의거리),경북 경주시 동성로 118-1,35.84313,129.2134,2021-08-19
황리단길,경북 경주시 황남동 273-6,35.83859,129.20969,2021-08-19
황리단길,경북 경주시 황남동 303-12,35.83635,129.20965,2021-08-19
황리단길,경북 경주시 황남동 311-6,35.83487,129.20951,2021-08-19
황리단길,경북 경주시 황남동 326-1 ,35.83312,129.20952,2021-08-19
황성 5일장,경북 경주시 황성동 73-17,35.86872,129.21923,2021-08-19
