구분,명칭,도로명주소,지번주소,위도,경도,전화번호
단체,군위인재양성원,경상북도 군위군 군위읍 동서1길 2,,36.236385,128.568284,054-383-6763
학교,군위초등학교,경상북도 군위군 군위읍 동서5길 28,,36.239004,128.568646,054-383-2686
학교,군위중학교,경상북도 군위군 군위읍 군청로 254-6,,36.245809,128.571246,054-383-2682
학교,군위고등학교,경상북도 군위군 군위읍 군청로 254-6,,36.245809,128.571246,054-383-2783
학교,우보초등학교,경상북도 군위군 우보면 이화길 95,,36.195307,128.660823,054-382-6091
학교,우보중학교,경상북도 군위군 우보면 솔밭길 74,,36.187661,128.666801,054-382-6081
학교,송원초등학교,경상북도 군위군 소보면 송백로 1394,,36.254129,128.476245,054-382-4064
학교,의흥초등학교,경상북도 군위군 의흥면 읍내길 67-17,,36.175377,128.718761,054-382-7077
학교,의흥중학교,경상북도 군위군 의흥면 읍내길 89-32,,36.174756,128.721974,054-382-7091
학교,고매초등학교,경상북도 군위군 효령면 용매로 970,,36.097078,128.58243,054-382-9411
학교,효령초등학교,경상북도 군위군 효령면 치산효령로 2386,,36.156711,128.586936,054-382-8007
학교,효령중고등학교,경상북도 군위군 효령면 중리길 6-25,,36.154684,128.578262,054-382-8081
학교,부계중학교,경상북도 군위군 부계면 춘산1길 16,,36.078788,128.65495,054-382-2847
학원,제일컴퓨터학원,,경상북도 군위군 군위읍 동부리 412,36.236228,128.56927,054-382-0843
학원,다빈치미술학원,,경상북도 군위군 군위읍 서부리 32-19,36.236893,128.567644,054-382-1420
학원,벧엘음악학원,,경상북도 군위군 군위읍 서부리 290-3,36.2337,128.566098,054-382-0594
학원,예꼬음악학원,,경상북도 군위군 군위읍 서부리 71-6,36.234652,128.566556,054-383-8833
학원,한맥학원,경상북도 군위군 군위읍 동서길 23-16,,36.236787,128.564995,054-383-7070
학원,뉴요커 잉글리쉬 팩토리 영어학원,경상북도 군위군 군위읍 중앙길 139,,36.240648,128.568179,054-383-0007
학원,눈높이 예스클래스 군위학원,경상북도 군위군 군위읍 동서1길 24-1,,36.237992,128.568202,054-382-2224
학원,올댓음악학원,경상북도 군위군 군위읍 중앙길 139,,36.240648,128.568179,054-382-0101
교습소,호산나피아노교습소,,경상북도 군위군 군위읍 동부리 610,36.235632,128.568237,054-383-2289
교습소,메릴랜드아카데미영어교습소,,경상북도 군위군 군위읍 서부리 71-6,36.234652,128.566556,054-382-9785
교습소,아트앤하트군위미술교습소,,경상북도 군위군 군위읍 서부리 27-6,36.238133,128.567964,054-383-3310
교습소,이레피아노교습소,,경상북도 군위군 군위읍 서부리 392-5,36.237423,128.566294,054-383-4243
교습소,해법영어교습소,경상북도 군위군 군위읍 중앙길 56,,36.233767,128.566393,054-382-1032
교습소,깉은생각영어교습소,경상북도 군위군 군위읍 도군로 2727,,36.253945,128.542828,054-382-0551
