위도,경도,ref,name,amenity,operator,phone,source:date
37.48,127,8,서리풀,근린공원,서울특별시 서초구청,02-2155-6883,2021-01-25
37.47,126.99,9,방배,근린공원,서울특별시 서초구청,02-2155-6881,2021-01-25
37.48,127.02,10,말죽거리,근린공원,서울특별시 서초구청,02-2155-6870,2021-01-25
37.44,127.05,11,청계산,근린공원,서울특별시 서초구청,02-2155-6870,2021-01-25
37.47,127.02,12,우면산,근린공원,서울특별시 서초구청,02-2155-6882,2021-01-25
37.66,126.88,13,인능산,근린공원,서울특별시 서초구청,02-2155-6869,2021-01-25
37.49,127.02,14,용허리 ,근린공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.49,127.02,15,명달 ,근린공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.51,127.01,16,사평리 ,근린공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.51,127.01,17,잠원 ,근린공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.51,127.01,18,신동 ,근린공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.51,127.01,19,명주 ,근린공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,126.99,20,세빛,근린공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.49,127,21,원촌,근린공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.49,126.99,22,반포,근린공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,127.01,23,신반포,근린공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,127,24,서래골 ,근린공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.47,126.98,25,도구머리(산지형),근린공원,서울특별시 서초구청,02-2155-6878,2021-01-25
37.47,126.98,26,방배동(산지형),근린공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.47,127.03,27,방아다리1 ,근린공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.03,28,방아다리2 ,근린공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.03,29,바우뫼(산지형),근린공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.01,30,태봉 ,근린공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.02,31,섬들 ,근린공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.01,32,망루 ,근린공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.01,33,송동 ,근린공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.04,34,양재천 ,근린공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.03,35,마방 ,근린공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.04,36,양재 ,근린공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.04,37,고인돌 ,근린공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.48,127.01,38,분토골 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,127.02,39,당골 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,127.03,40,사도감 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,127.02,41,마산말 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,127.01,42,예술 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,127.01,43,신중 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.49,127.01,44,장안 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,127,45,상명달 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,127.01,46,궁현 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,127,47,하명달 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.49,127.01,48,교대 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.49,127.01,49,새싹,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.49,127.01,50,누리숲,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.51,127.01,51,싸리재 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.51,127.01,52,주흥,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,126.98,53,나리 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,126.98,54,만남 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,126.98,55,푸른 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.49,126.98,56,초롱 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,126.98,57,한수 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,126.99,58,장미 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,127.01,59,고무래 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,127.02,60,언구비 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,126.99,61,파랑새 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.51,127.01,62,반원 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.51,127,63,코아 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,127,64,새터 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,127,65,늘푸른 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,127,66,아름 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.49,126.99,67,청룡 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.49,127,68,서래 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,127.01,69,미도 ,어린이공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.49,126.98,70,새말 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,126.99,71,너른골 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,126.99,72,효령,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,126.98,73,청두 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,126.99,74,까치 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,126.99,75,안산 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.46,126.98,76,남태령 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,126.98,77,햇님,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,126.99,78,정문 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.47,126.99,79,방현 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.47,126.99,80,동덕 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.49,126.98,81,뒷벌 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.48,126.98,82,가꿀 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.47,127.03,83,종열 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.02,84,암산 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.01,85,성형촌 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.45,127.01,86,식유촌 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.01,87,송동 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.48,127.03,88,양재 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.04,89,비석 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.03,90,횃불 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.02,91,바우뫼 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.02,92,동문 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.02,93,효자 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.01,94,섶다리 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.45,127.01,95,샛말 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.44,127.05,96,원터 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.04,97,동산 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.03,98,잔디 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.04,99,게리 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.04,100,구룡 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.04,101,개뜰 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.04,102,버들 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.47,127.04,103,샛별 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.04,104,두둑재 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.03,105,용말 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.66,126.88,106,세원 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.67,126.87,107,본마을 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.67,126.87,108,청계숲,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.43,127.06,109,새쟁이 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.05,110,염곡 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.45,127.06,111,안골 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.45,127.06,112,홍씨마을 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.07,113,아랫샘 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.45,127.07,114,윗샘 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.45,127.06,115,능안 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.45,127.06,116,아람,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.07,117,가온,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.49,127.02,118,으뜸,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.47,127,119,소라 ,어린이공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.44,127.05,120,원지 ,어린이공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.49,127,121,꽃마을1,소공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.49,127,122,꽃마을2,소공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.51,127.01,123,잠원,소공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.51,127.01,124,잠원성심,소공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.5,127.01,125,오솔길,소공원,서울특별시 서초구청,02-2155-6865,2021-01-25
37.48,126.98,126,달님,소공원,서울특별시 서초구청,02-2155-6864,2021-01-25
37.46,127.01,127,큰마을,소공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.01,128,솔말,소공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.05,129,느티나무 ,소공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.46,127.05,130,언남 ,소공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.45,127.06,131,햇살,소공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.44,127.05,132,산새,소공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.44,127.05,133,벌말,소공원,서울특별시 서초구청,02-2155-6896,2021-01-25
37.51,127,134,서릿개,소공원,서울특별시 서초구청,02-2155-6865,2021-01-25
