위도,경도,man_made,surveillance,surveillance:zone,surveillance:type,name,source,source:date
35.85652575,129.2231078,surveillance,outdoor,traffic,camera,동천우체국앞,공공데이터포털,2019-10-18
35.85020774,129.2052982,surveillance,outdoor,traffic,camera,흥무초등학교앞,공공데이터포털,2019-10-18
35.83818905,129.203965,surveillance,outdoor,traffic,camera,시외버스터미널앞,공공데이터포털,2019-10-18
35.86810438,129.2171738,surveillance,outdoor,traffic,camera,청우아파트앞,공공데이터포털,2019-10-18
35.85328552,129.2066512,surveillance,outdoor,traffic,camera,해동주유소앞,공공데이터포털,2019-10-18
35.80465738,129.5026226,surveillance,outdoor,traffic,camera,감포,공공데이터포털,2019-10-18
36.00308431,129.1977407,surveillance,outdoor,traffic,camera,산대초교(안강),공공데이터포털,2019-10-18
35.86468556,129.2139104,surveillance,outdoor,traffic,camera,황성농협앞,공공데이터포털,2019-10-18
35.85999001,129.224545,surveillance,outdoor,traffic,camera,동천농협사거리,공공데이터포털,2019-10-18
35.87603689,129.2294211,surveillance,outdoor,traffic,camera,용강초교앞,공공데이터포털,2019-10-18
35.84755917,129.2326893,surveillance,outdoor,traffic,camera,경희학교앞,공공데이터포털,2019-10-18
35.8426479,129.1897531,surveillance,outdoor,traffic,camera,경주초교앞,공공데이터포털,2019-10-18
35.99230511,129.222741,surveillance,outdoor,traffic,camera,금강당사거리,공공데이터포털,2019-10-18
35.99168835,129.2257702,surveillance,outdoor,traffic,camera,박외과의원앞,공공데이터포털,2019-10-18
35.71580404,129.3238746,surveillance,outdoor,traffic,camera,외동파출소사거리(입실초등학교),공공데이터포털,2019-10-18
35.85674776,129.2190038,surveillance,outdoor,traffic,camera,푸르지오아파트삼거리,공공데이터포털,2019-10-18
35.84481501,129.2118693,surveillance,outdoor,traffic,camera,신한은행사거리,공공데이터포털,2019-10-18
35.86883581,129.2027348,surveillance,outdoor,traffic,camera,나원초등학교,공공데이터포털,2019-10-18
35.84735712,129.2180518,surveillance,outdoor,traffic,camera,경주역,공공데이터포털,2019-10-18
35.85563572,129.2050704,surveillance,outdoor,traffic,camera,통일화랑아파트,공공데이터포털,2019-10-18
35.84209434,129.2170968,surveillance,outdoor,traffic,camera,제2공영주차장앞,공공데이터포털,2019-10-18
35.84295989,129.2081439,surveillance,outdoor,traffic,camera,월성초등학교앞,공공데이터포털,2019-10-18
35.87262627,129.2031244,surveillance,outdoor,traffic,camera,금장아파트앞,공공데이터포털,2019-10-18
35.85577028,129.2211809,surveillance,outdoor,traffic,camera,보림칼라앞,공공데이터포털,2019-10-18
35.78652047,129.3277687,surveillance,outdoor,traffic,camera,불국사관광안내소,공공데이터포털,2019-10-18
35.84791531,129.2287207,surveillance,outdoor,traffic,camera,동천초등학교앞,공공데이터포털,2019-10-18
35.84968113,129.2172903,surveillance,outdoor,traffic,camera,경주세무서삼거리,공공데이터포털,2019-10-18
35.86183686,129.216646,surveillance,outdoor,traffic,camera,주공1단지아파트앞,공공데이터포털,2019-10-18
35.8331225,129.2263562,surveillance,outdoor,traffic,camera,안압지앞,공공데이터포털,2019-10-18
35.86644489,129.2119442,surveillance,outdoor,traffic,camera,현대2차아파트앞,공공데이터포털,2019-10-18
35.79889547,129.1419038,surveillance,outdoor,traffic,camera,신경주역,공공데이터포털,2019-10-18
35.8483832,129.2270342,surveillance,outdoor,traffic,camera,동천초등학교후문,공공데이터포털,2019-10-18
35.85017993,129.2293646,surveillance,outdoor,traffic,camera,부호사우나 삼거리,공공데이터포털,2019-10-18
35.84403698,129.2103741,surveillance,outdoor,traffic,camera,제1공영주차장앞,공공데이터포털,2019-10-18
35.84136955,129.2067582,surveillance,outdoor,traffic,camera,서성로 현대자동차 앞(파크랜드앞),공공데이터포털,2019-10-18
35.8551876,129.2066136,surveillance,outdoor,traffic,camera,동대로사거리(동국약국 맞은편) 앞,공공데이터포털,2019-10-18
35.84429926,129.2138539,surveillance,outdoor,traffic,camera,KT삼거리 (KT경주지사 맞은편),공공데이터포털,2019-10-18
35.84157276,129.2098496,surveillance,outdoor,traffic,camera,봉황대(노서동 노서리 고분 앞),공공데이터포털,2019-10-18
35.84222091,129.2099259,surveillance,outdoor,traffic,camera,청기와사거리(청기와 커피 앞),공공데이터포털,2019-10-18
35.84344624,129.2099666,surveillance,outdoor,traffic,camera,봉황로 문화의거리 행운슈퍼사거리(학생당상가),공공데이터포털,2019-10-18
35.83905501,129.202993,surveillance,outdoor,traffic,camera,시외버스터미널(GS25편의점 앞),공공데이터포털,2019-10-18
35.84505588,129.2076444,surveillance,outdoor,traffic,camera,화랑로 사거리(중앙시장네거리),공공데이터포털,2019-10-18
35.7139649,129.3247393,surveillance,outdoor,traffic,camera,외동읍 입실한의원 앞,공공데이터포털,2019-10-18
35.85620277,129.2247303,surveillance,outdoor,traffic,camera,경주시청 앞,공공데이터포털,2019-10-18
35.86760114,129.2027272,surveillance,outdoor,traffic,camera,현곡면 우남사우나 맞은편(서라벌공인중계사 맞은편),공공데이터포털,2019-10-18
35.8657621,129.214403,surveillance,outdoor,traffic,camera,황성동 파리바게트,공공데이터포털,2019-10-18
35.84874878,129.2051875,surveillance,outdoor,traffic,camera,흥무초등학교,공공데이터포털,2019-10-18
35.87275978,129.2032925,surveillance,outdoor,traffic,camera,금장초등학교,공공데이터포털,2019-10-18
35.91959364,129.2461616,surveillance,outdoor,traffic,camera,모아초등학교,공공데이터포털,2019-10-18
35.84862003,129.1042922,surveillance,outdoor,traffic,camera,건천읍 대한치과 앞,공공데이터포털,2019-10-18
35.84993059,129.1019303,surveillance,outdoor,traffic,camera,건천읍사무소앞,공공데이터포털,2019-10-18
35.84618685,129.2170265,surveillance,outdoor,traffic,camera,우리들온누리약국 앞,공공데이터포털,2019-10-18
35.84474237,129.2154879,surveillance,outdoor,traffic,camera,새천년병원 앞,공공데이터포털,2019-10-18
35.86872483,129.2128648,surveillance,outdoor,traffic,camera,유림초등학교 앞,공공데이터포털,2019-10-18
35.8642745,129.2215551,surveillance,outdoor,traffic,camera,용황유치원 앞,공공데이터포털,2019-10-18
35.88499451,129.2242326,surveillance,outdoor,traffic,camera,황성 현진에버빌,공공데이터포털,2019-10-18
35.87678694,129.2186245,surveillance,outdoor,traffic,camera,황성 협성휴포레 앞,공공데이터포털,2019-10-18
35.86506919,129.2205154,surveillance,outdoor,traffic,camera,용황초등학교,공공데이터포털,2019-10-18
35.87271439,129.2282292,surveillance,outdoor,traffic,camera,황남초등학교 정문,공공데이터포털,2019-10-18
35.88485689,129.229757,surveillance,outdoor,traffic,camera,황남초등학교 후문,공공데이터포털,2019-10-18
