도로안전표지일련번호,도로종류,도로노선번호,도로노선명,도로노선방향,도로형태,차로수,도로폭,소재지도로명주소,소재지지번주소,위도,경도,도로안전표지구분,도로안전표지종별일련번호,주행제한속도,도로안전표지설명,지주형식,제2외국어표기여부,설치일자,관리기관명,관리기관전화번호,데이터기준일자
1,,,,,,,,,경상남도 통영시 북신동 667,34.8567077,128.4283274,3,325,,자전거횡단도,,N,,경상남도 통영시,055-650-5332,2021-01-21
2,,,,,,,,,경상남도 통영시 북신동 671,34.8565443,128.4285209,2,225,40,최고속도제한,,N,,경상남도 통영시,055-650-5332,2021-01-21
3,,,,,,,,,경상남도 통영시 북신동 671,34.8565443,128.4285209,4,427,50,해제,,N,,경상남도 통영시,055-650-5332,2021-01-21
4,,,,,,,,,경상남도 통영시 북신동 671,34.8559957,128.4285966,2,226,,서행,,N,,경상남도 통영시,055-650-5332,2021-01-21
5,,,,,,,,,경상남도 통영시 북신동 671,34.8555236,128.428667,2,214,,좌회전금지,,N,,경상남도 통영시,055-650-5332,2021-01-21
6,,,,,,,,,경상남도 통영시 북신동 671,34.855391,128.4286811,2,218,,"정차,주자금지",,N,,경상남도 통영시,055-650-5332,2021-01-21
7,,,,,,,,,경상남도 통영시 북신동 671,34.855391,128.4286811,4,428,,견인지역,,N,,경상남도 통영시,055-650-5332,2021-01-21
8,,,,,,,,,경상남도 통영시 북신동 671,34.8547989,128.4287509,2,218,,"정차,주자금지",,N,,경상남도 통영시,055-650-5332,2021-01-21
9,,,,,,,,,경상남도 통영시 북신동 671,34.8542849,128.4288099,3,329,,비보호좌회전,,N,,경상남도 통영시,055-650-5332,2021-01-21
10,,,,,,,,,경상남도 통영시 북신동 671,34.8542849,128.4288099,2,216,,유턴금지,,N,,경상남도 통영시,055-650-5332,2021-01-21
11,,,,,,,,,경상남도 통영시 북신동 333-3,34.8541254,128.4256888,2,218,,"정차,주자금지",,N,,경상남도 통영시,055-650-5332,2021-01-21
12,,,,,,,,,경상남도 통영시 북신동 333-3,34.8541254,128.4256888,4,428,,견인지역,,N,,경상남도 통영시,055-650-5332,2021-01-21
13,,,,,,,,,경상남도 통영시 북신동 333-3,34.8541254,128.4256888,1,103,,Y자형교차로,,N,,경상남도 통영시,055-650-5332,2021-01-21
14,,,,,,,,,경상남도 통영시 북신동 334-7,34.8543928,128.425607,2,226,,서행,,N,,경상남도 통영시,055-650-5332,2021-01-21
15,,,,,,,,,경상남도 통영시 북신동 334-7,34.8543928,128.425607,2,228,,양보,,N,,경상남도 통영시,055-650-5332,2021-01-21
16,,,,,,,,,경상남도 통영시 북신동 334-7,34.8543928,128.425607,1,140,,위험,,N,,경상남도 통영시,055-650-5332,2021-01-21
