위도,경도,ref,addr:subdistrict,seamark:type,operator,operator:type
34.80712976,128.2236767,34,사량면,berth,통영시,government
34.83672085,128.1805584,35,사량면,berth,통영시,government
34.85855346,128.1917744,36,사량면,berth,통영시,government
34.85599564,128.1805299,40,사량면,berth,통영시,government
34.83622188,128.2146288,41,사량면,berth,통영시,government
34.84138372,128.2030998,42,사량면,berth,통영시,government
34.85343567,128.209844,43,사량면,berth,통영시,government
34.85402562,128.2101069,44,사량면,berth,통영시,government
34.85756803,128.2058315,45,사량면,berth,통영시,government
34.85788602,128.2060368,46,사량면,berth,통영시,government
34.8600371,128.2000734,47,사량면,berth,통영시,government
34.83830825,128.2167601,48,사량면,berth,통영시,government
34.83844181,128.2171753,49,사량면,berth,통영시,government
34.83897067,128.2186518,50,사량면,berth,통영시,government
34.83906806,128.220653,51,사량면,berth,통영시,government
34.84191454,128.2190261,52,사량면,berth,통영시,government
34.84405199,128.2231227,53,사량면,berth,통영시,government
34.84318972,128.2215561,54,사량면,berth,통영시,government
34.84293432,128.2162589,55,사량면,berth,통영시,government
34.80041314,128.2354732,56,사량면,berth,통영시,government
34.80033488,128.2367477,57,사량면,berth,통영시,government
34.80875273,128.2433148,58,사량면,berth,통영시,government
34.80964591,128.2450855,59,사량면,berth,통영시,government
34.8121937,128.2450033,60,사량면,berth,통영시,government
34.85920383,128.190735,37,사량면,berth,통영시,government
34.82515648,128.2493283,61,사량면,berth,통영시,government
34.83338712,128.2402447,62,사량면,berth,통영시,government
34.79368887,128.3827485,63,산양읍,berth,통영시,government
34.80398578,128.4321617,64,산양읍,berth,통영시,government
34.82557089,128.4346812,65,봉평동,berth,통영시,government
34.8261592,128.4340745,66,봉평동,berth,통영시,government
34.8262184,128.4341675,67,봉평동,berth,통영시,government
34.82628543,128.4342762,68,봉평동,berth,통영시,government
34.82648201,128.4338656,69,봉평동,berth,통영시,government
34.82659891,128.4339984,70,봉평동,berth,통영시,government
34.83981253,128.4197691,71,명정동,berth,통영시,government
34.83891858,128.4200235,72,명정동,berth,통영시,government
34.83937226,128.420669,73,명정동,berth,통영시,government
34.83945602,128.4214315,74,명정동,berth,통영시,government
34.88972567,128.4193303,75,광도면,berth,통영시,government
34.84072751,128.4371645,76,정량동,berth,통영시,government
34.84019166,128.4359232,77,정량동,berth,통영시,government
34.84271149,128.4241116,78,명정동,berth,통영시,government
34.83973131,128.424435,79,중앙동,berth,통영시,government
34.83965532,128.4240535,80,중앙동,berth,통영시,government
34.85907348,128.45286,81,용남면,berth,통영시,government
34.85616469,128.182665,38,사량면,berth,통영시,government
34.85563923,128.1819077,39,사량면,berth,통영시,government
34.63499095,128.2356052,1,욕지면,berth,통영시,government
34.64160554,128.2347945,2,욕지면,berth,통영시,government
34.65091584,128.2363512,3,욕지면,berth,통영시,government
34.65127754,128.236231,4,욕지면,berth,통영시,government
34.70724413,128.1698923,5,욕지면,berth,통영시,government
34.91017052,128.4532131,82,용남면,berth,통영시,government
34.70834309,128.1948187,6,욕지면,berth,통영시,government
34.70971486,128.183419,7,욕지면,berth,통영시,government
34.70944097,128.1815585,8,욕지면,berth,통영시,government
34.70965151,128.1812599,9,욕지면,berth,통영시,government
34.67569515,128.2334004,10,욕지면,berth,통영시,government
34.67544418,128.2334121,11,욕지면,berth,통영시,government
34.67536656,128.2330376,12,욕지면,berth,통영시,government
34.67579927,128.2324421,13,욕지면,berth,통영시,government
34.69754602,128.2000385,14,욕지면,berth,통영시,government
34.69785085,128.200062,15,욕지면,berth,통영시,government
34.69780728,128.2003868,16,욕지면,berth,통영시,government
34.61911402,128.2414043,17,욕지면,berth,통영시,government
34.66574269,128.2489731,18,욕지면,berth,통영시,government
34.66581163,128.2480354,19,욕지면,berth,통영시,government
34.66676925,128.2470797,20,욕지면,berth,통영시,government
34.66905845,128.2462029,21,욕지면,berth,통영시,government
34.66888522,128.2457989,22,욕지면,berth,통영시,government
34.66912789,128.2457853,23,욕지면,berth,통영시,government
34.83349586,128.1375498,24,사량면,berth,통영시,government
34.82984225,128.1959544,25,사량면,berth,통영시,government
34.83027954,128.1957268,26,사량면,berth,통영시,government
34.8303761,128.1952942,27,사량면,berth,통영시,government
34.81258976,128.2148909,28,사량면,berth,통영시,government
34.81194713,128.2154445,29,사량면,berth,통영시,government
34.81200216,128.2150603,30,사량면,berth,통영시,government
34.81234989,128.2157559,31,사량면,berth,통영시,government
34.82399421,128.2116292,32,사량면,berth,통영시,government
34.8241988,128.210723,33,사량면,berth,통영시,government
