지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,도로구간번호,공사번호,보수종류,보수공종,연장,면적,폭원,차도포장재질,보도포장재질,이전차도포장재질,이전보도포장재질,대장초기화여부,구분ID,경도,위도
차도포장,1,산양읍,348021915D,통영시,777,,신설,미분류,0,0,0,미분류,미분류,미분류,미분류,1,0,128.4244139,34.84240952
차도포장,2,중앙동,348021915D,통영시,2,,신설,미분류,0,0,0,미분류,미분류,미분류,미분류,1,1,128.4237237,34.84217479
차도포장,13036,광도면,348021453D,통영시,13003,RD20130001,신설,미분류,966,6774.85,8.43,아스팔트콘크리트,미분류,,,1,2,128.4137408,34.87123958
차도포장,13002,광도면,348021443D,통영시,13005,RD20130001,신설,미분류,41.04,281.44,13.09,아스팔트콘크리트,미분류,,,1,3,128.4130455,34.87541345
차도포장,13003,광도면,348021443D,통영시,13006,RD20130001,신설,미분류,20.54,672.15,15.56,아스팔트콘크리트,미분류,,,1,4,128.4132042,34.87566905
차도포장,13004,광도면,348021443D,통영시,13007,RD20130001,신설,미분류,89.31,827.93,8.4,아스팔트콘크리트,미분류,,,1,5,128.4133087,34.87621494
보도포장,13005,광도면,348020903A,통영시,6620,RD20130001,신설,미분류,17.53,72.51,4.54,미분류,소형고압블럭,,,1,6,128.4111836,34.94896165
보도포장,13006,광도면,348020903A,통영시,6620,RD20130001,신설,미분류,24.61,66.04,2.94,미분류,소형고압블럭,,,1,7,128.4112156,34.94918459
보도포장,13007,광도면,348021453D,통영시,13003,RD20130001,신설,미분류,39.04,79,2.42,미분류,소형고압블럭,,,1,8,128.4139105,34.8703531
보도포장,13008,광도면,348021463B,통영시,13003,RD20130001,신설,미분류,177.44,642.19,4.17,미분류,소형고압블럭,,,1,9,128.4144584,34.86962896
보도포장,13037,광도면,348021453B,통영시,13003,RD20130001,신설,미분류,583.9,2064.05,3.56,미분류,소형고압블럭,,,1,10,128.4133176,34.87203861
