일련번호,시설물명,주소,경도,위도,센서종류,설치수량
1,봉산2교,경상북도 구미시 산동면 봉산리 1163,128.444974,36.137656,변형률센서,8
2,봉산2교,경상북도 구미시 산동면 봉산리 1163,128.444974,36.137656,신축변위센서,2
3,봉산2교,경상북도 구미시 산동면 봉산리 1163,128.444974,36.137656,온도(변형률),8
4,봉산2교,경상북도 구미시 산동면 봉산리 1163,128.444974,36.137656,온도센서,2
5,봉산1교,경상북도 구미시 금전동 802,128.444771,36.137098,변형률센서,8
6,봉산1교,경상북도 구미시 금전동 802,128.444771,36.137098,신축변위센서,2
7,봉산1교,경상북도 구미시 금전동 802,128.444771,36.137098,온도(변형률),8
8,봉산1교,경상북도 구미시 금전동 802,128.444771,36.137098,온도센서,2
9,양포교,경상북도 구미시 옥계동 982,128.426599,36.136155,변형률센서,8
10,양포교,경상북도 구미시 옥계동 982,128.426599,36.136155,신축변위센서,2
11,양포교,경상북도 구미시 옥계동 982,128.426599,36.136155,온도(변형률),8
12,양포교,경상북도 구미시 옥계동 982,128.426599,36.136155,온도센서,2
13,옥계교,경상북도 구미시 구포동 1075,128.426262,36.135354,변형률센서,6
14,옥계교,경상북도 구미시 구포동 1075,128.426262,36.135354,신축변위센서,2
15,옥계교,경상북도 구미시 구포동 1075,128.426262,36.135354,온도(변형률),6
16,옥계교,경상북도 구미시 구포동 1075,128.426262,36.135354,온도센서,2
17,거의교,경상북도 구미시 거의동 577-1,128.405764,36.133569,변형률센서,3
18,거의교,경상북도 구미시 거의동 577-1,128.405764,36.133569,신축변위센서,4
19,거의교,경상북도 구미시 거의동 577-1,128.405764,36.133569,1축경사계센서,4
20,거의교,경상북도 구미시 거의동 577-1,128.405764,36.133569,온도(변형률),3
21,거의교,경상북도 구미시 거의동 577-1,128.405764,36.133569,온도센서,1
22,지산교,경상북도 구미시 원평동 964-1,128.352551,36.125338,변형률센서,3
23,지산교,경상북도 구미시 원평동 964-1,128.352551,36.125338,균열센서,2
24,지산교,경상북도 구미시 원평동 964-1,128.352551,36.125338,신축변위센서,4
25,지산교,경상북도 구미시 원평동 964-1,128.352551,36.125338,1축경사계센서,1
26,지산교,경상북도 구미시 원평동 964-1,128.352551,36.125338,온도(변형률),3
27,지산교,경상북도 구미시 원평동 964-1,128.352551,36.125338,온도센서,1
28,산호대교,경상북도 구미시 비산동 584,128.380406,36.126037,3축가속도센서,1
29,산호대교,경상북도 구미시 비산동 584,128.380406,36.126037,1축가속도센서,1
30,산호대교,경상북도 구미시 비산동 584,128.380406,36.126037,변형률센서,16
31,산호대교,경상북도 구미시 비산동 584,128.380406,36.126037,신축변위센서,4
32,산호대교,경상북도 구미시 비산동 584,128.380406,36.126037,1축경사계센서,2
33,산호대교,경상북도 구미시 비산동 584,128.380406,36.126037,온도(변형률),16
34,산호대교,경상북도 구미시 비산동 584,128.380406,36.126037,온도센서,2
35,구미대교,경상북도 구미시 공단동 437,128.386853,36.083781,1축가속도센서,1
36,구미대교,경상북도 구미시 공단동 437,128.386853,36.083781,변형률센서,4
37,구미대교,경상북도 구미시 공단동 437,128.386853,36.083781,신축변위센서,2
38,구미대교,경상북도 구미시 공단동 437,128.386853,36.083781,1축경사계센서,1
39,구미대교,경상북도 구미시 공단동 437,128.386853,36.083781,온도(변형률),4
40,구미대교(확장),경상북도 구미시 공단동 437,128.386853,36.083781,변형률센서,4
41,구미대교(확장),경상북도 구미시 공단동 437,128.386853,36.083781,신축변위센서,2
42,구미대교(확장),경상북도 구미시 공단동 437,128.386853,36.083781,1축경사계센서,1
43,구미대교(확장),경상북도 구미시 공단동 437,128.386853,36.083781,온도(변형률),4
44,구미대교(확장),경상북도 구미시 공단동 437,128.386853,36.083781,온도센서,2
45,남구미대교,경상북도 칠곡군 석적읍 중리 884-1,128.396733,36.085614,1축가속도센서,1
46,남구미대교,경상북도 칠곡군 석적읍 중리 884-1,128.396733,36.085614,변형률센서,8
47,남구미대교,경상북도 칠곡군 석적읍 중리 884-1,128.396733,36.085614,신축변위센서,4
48,남구미대교,경상북도 칠곡군 석적읍 중리 884-1,128.396733,36.085614,온도(변형률),8
49,남구미대교,경상북도 칠곡군 석적읍 중리 884-1,128.396733,36.085614,온도센서,3
50,옥계지하차도,경상북도 구미시 옥계동 982,128.426599,36.136155,1축경사계센서,2
51,옥계지하차도,경상북도 구미시 옥계동 982,128.426599,36.136155,균열센서,2
52,옥계지하차도,경상북도 구미시 옥계동 982,128.426599,36.136155,변형률센서,3
53,해마루공원,경상북도 구미시 옥계동 941,128.438583,36.143277,경사계 XY,6
54,해마루공원,경상북도 구미시 옥계동 941,128.438583,36.143277,변형률센서,6
55,해마루초등학교,경상북도 구미시 옥계동 920,128.433279,36.140466,경사계 XY,10
56,중흥아파트,경상북도 구미시 옥계동 921,128.432885,36.139593,경사계 XY,10
