위도,경도,addr:full,start_date,operator,phone,size,advertising,animated,sides,support,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
36.0668083,129.3839502,경상북도 포항시 북구 두호동 산23-12,2014,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,1,pole,2020-08-31,,,,두호동,,,
36.060237,129.3513737,경상북도 포항시 북구 우현동 산65-7,2014,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,2,pole,2020-08-31,,,,우현동,,,
36.0452725,129.3411654,경상북도 포항시 북구 용흥동 산24-23 ,2014,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,3,pole,2020-08-31,,,,용흥동,,,
36.0351233,129.3303843,,2014,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,4,pole,2020-08-31,,,542-1,이동,,,
36.0096372,129.348527,,2014,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,5,pole,2020-08-31,,,350-11,상도동,,,
35.9866974,129.4733627,경상북도 포항시  남구 동해면 석리 산74-1,2014,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,6,pole,2020-08-31,,,,동해면,,,
36.0836179,129.3778868,,2014,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,7,pole,2020-08-31,,,1595-1,장성동,,,
36.0549873,129.3617998,,2014,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,8,pole,2020-08-31,,,46-3,우현동,,,
35.9900563,129.428277,경상북도 포항시 남구 동해면 도구리 923,2014,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,9,pole,2020-08-31,,,923,동해면,,,
36.1078988,129.3577574,경상북도 포항시 북구 흥해읍 망천리 409-1,2014,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,10,pole,2020-08-31,,,409-1,흥해읍,,,
36.0047775,129.3772967,,2013,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,11,pole,2020-08-31,,,392-12,송내동,,,
36.007025,129.3340063,,2013,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,12,pole,2020-08-31,,,571,효자동,,,
36.2021055,129.3497692,경상북도 포항시 북구 청하면 필화리 184-52,2008,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,13,pole,2020-08-31,,,184-52,청하면,,,
36.0602763,129.352047,,2007,포항시 교통지원과,+82 54 270 3651,9.4,billboard,digital_messages,14,pole,2020-08-31,,,290-1,우현동,,,
