위도,경도,amenity,addr:full,addr:subdistrict,capacity:disabled,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
36.356957,127.362994,parking,대전 서구 월평동 520,월평1동,yes,,,520,월평동,,,
36.353565,127.384848,parking,대전 서구 둔산동 1544,둔산1동,yes,,,1544,둔산동,,,
36.345956,127.384228,parking,대전 서구 문정로48번길 19,탄방동,yes,,문정로48번길,19,,,,
36.350408,127.375636,parking,대전 서구 둔산동 1123,둔산2동,yes,,,1123,둔산동,,,
36.339133,127.387757,parking,대전 서구 용문로40,용문동,yes,,,,,,,
36.32813,127.382653,parking,대전 서구 중반5길15 ,변동,yes,,,,,,,
36.319544,127.37801,parking,대전 서구도산로122,도마1동,yes,,,,,,,
36.319544,127.37801,parking,대전 서구도산로122,둔산2동,yes,,,,,,,
36.319544,127.37801,parking,대전 서구도산로122,정림동,yes,,,,,,,
36.329813,127.376903,parking,대전 서구 변동중로 71,변동,yes,,변동중로,71,,,,
36.345933,127.378067,parking,대전 서구 대덕대로168번길,갈마2동,yes,,대덕대로168번길,,,,,
36.350176,127.379482,parking,대전 서구 둔산남로9번길,둔산2동,yes,,둔산남로9번길,,,,,
36.300988,127.332952,parking,대전 서구 관저중로95번길,관저2동,yes,,관저중로95번길,,,,,
36.322499,127.377741,parking,대전 서구 도산로155,도마1동,yes,,,,,,,
36.333355,127.394642,parking,대전 서구 유등로497 ,용문동,yes,,,,,,,
36.328934,127.37436,parking,대전 서구 변동중로45번길8,변동,yes,,,,,,,
36.301165,127.334076,parking,대전 서구 관저중로95번길99,관저2동,yes,,,,,,,
36.308295,127.335808,parking,대전 서구 관저동 980,관저1동,yes,,,980,관저동,,,
36.340067,127.374828,parking,대전 서구 괴정로1 ,괴정동,yes,,,,,,,
36.31562,127.384344,parking,대전 서구 도마2길 120,도마1동,yes,,도마2길,120,,,,
36.3346,127.382491,parking,대전 서구 도솔로302번길 10,괴정동,yes,,도솔로302번길,10,,,,
36.315491,127.381973,parking,대전 서구 도마동 134-48,도마1동,yes,,,134-48,도마동,,,
36.355416,127.383697,parking,대전 서구 괴정 88-2,괴정동,yes,,,88-2,,,,
36.347356,127.372697,parking,대전 서구 갈마중로30번길 15-1,갈마2동,yes,,갈마중로30번길,15-1,,,,
36.34489,127.385562,parking,대전 서구 탄방동 666,탄방동,yes,,,666,탄방동,,,
36.331998,127.377788,parking,대전 서구 도솔로 248-3,내동,yes,,도솔로,248-3,,,,
36.328784,127.36809,parking,대전 서구 변동 252-75,변동,yes,,,252-75,변동,,,
36.329866,127.388944,parking,대전 서구 가장동 27-1,가장동,yes,,,27-1,가장동,,,
36.328585,127.378339,parking,대전 서구 변동 18-1번지,변동,yes,,,,변동,,,
36.33734,127.384296,parking,대전 서구 괴정동 80-42,괴정동,yes,,,80-42,괴정동,,,
36.351769,127.365253,parking,대전 서구 계룡로326번길 50,갈마1동,yes,,계룡로326번길,50,,,,
36.315557,127.382507,parking,대전 서구 도마시장1길 35,도마1동,yes,,도마시장1길,35,,,,
36.356189,127.362766,parking,대전 서구 월평로 53 3,월평1동,yes,,월평로,53,,,,
36.34937,127.399899,parking,대전 서구 문정로170번길 74,둔산3동,yes,,문정로170번길,74,,,,
36.330882,127.377975,parking,대전 서구 내동 15 13,내동,yes,,,15,내동,,,
36.336742,127.395941,parking,대전 서구 용문동 247 13,용문동,yes,,,247,용문동,,,
36.355185,127.356936,parking,대전 서구 월평1동 1185,월평1동,yes,,,1185,월평1동,,,
36.354403,127.355716,parking,대전 서구 월평1동 1275,월평1동,yes,,,1275,월평1동,,,
36.300524,127.378962,parking,대전 서구 복수동 613,복수동,yes,,,613,복수동,,,
36.299048,127.37942,parking,대전 서구 복수동 645,복수동,yes,,,645,복수동,,,
36.297872,127.380386,parking,대전 서구 복수동 690,복수동,yes,,,690,복수동,,,
36.297643,127.37795,parking,대전 서구 복수동 781,복수동,yes,,,781,복수동,,,
36.345566,127.399805,parking,대전 서구 탄방동 1379,탄방동,yes,,,1379,탄방동,,,
36.330518,127.384361,parking,대전 서구 가장동 40 4,가장동,yes,,,40,가장동,,,
36.324411,127.381613,parking,대전 서구 변동 47 32,변동,yes,,,47,변동,,,
36.318518,127.37304,parking,대전 서구 도마2동 109 2,도마2동,yes,,,109,도마2동,,,
36.305457,127.36084,parking,대전 서구 정림동 402 6,정림동,yes,,,402,정림동,,,
36.314198,127.374188,parking,대전 서구 도마2동 155 28,도마2동,yes,,,155,도마2동,,,
36.343355,127.364241,parking,대전 서구 갈마1동 427 20,갈마1동,yes,,,427,갈마1동,,,
36.305115,127.367702,parking,대전 서구 정림동 127 1,정림동,yes,,,127,정림동,,,
36.30001,127.378933,parking,대전 서구 복수동 614,복수동,yes,,,614,복수동,,,
36.283863,127.350742,parking,대전 서구 괴곡동 782 1,기성동,yes,,,782,괴곡동,,,
36.301682,127.339538,parking,대전 서구 관저동로105번길 20,관저2동,yes,,관저동로105번길,20,,,,
36.31371,127.37398,parking,대전 서구 도마동 155 6,도마2동,yes,,,155,도마동,,,
36.366343,127.3724,parking,대전 서구 만년동 66번지,만년동,yes,,,,만년동,,,
36.299294,127.337921,parking,대전 서구 관저동 1510,관저2동,yes,,,1510,관저동,,,
36.309884,127.369735,parking,대전 서구 도마동 566,도마2동,yes,,,566,도마동,,,
36.349512,127.369728,parking,대전 서구 갈마2동 343 28,갈마2동,yes,,,343,갈마2동,,,
36.347651,127.373909,parking,대전 서구 갈마동 984,갈마2동,yes,,,984,갈마동,,,
