위도,경도,addr:subdistrict,ref,operator,phone,source:date
35.169127,129.157048,우1동,우1동-1,해운대구(안전총괄과),051-749-6167,2021-01-01
35.169153,129.15702,우1동,우1동-2,해운대구(안전총괄과),051-749-6167,2021-01-01
35.17159686,129.1561777,우1동,우1동-3,해운대구(안전총괄과),051-749-6167,2021-01-01
35.170244,129.155352,우1동,우1동-4,해운대구(안전총괄과),051-749-6167,2021-01-01
35.170859,129.156752,우1동,우1동-5,해운대구(안전총괄과),051-749-6167,2021-01-01
35.170854,129.156543,우1동,우1동-6,해운대구(안전총괄과),051-749-6167,2021-01-01
35.171384,129.155811,우1동,우1동-7,해운대구(안전총괄과),051-749-6167,2021-01-01
35.169812,129.157307,우1동,우1동-8,해운대구(안전총괄과),051-749-6167,2021-01-01
35.164189,129.146198,우1동,우1동-9,해운대구(안전총괄과),051-749-6167,2021-01-01
35.162379,129.160366,우1동,우1동-10,해운대구(안전총괄과),051-749-6167,2021-01-01
35.168041,129.159387,우1동,우1동-11,해운대구(안전총괄과),051-749-6167,2021-01-01
35.174501,129.132468,우2동,우2동-1,해운대구(안전총괄과),051-749-6167,2021-01-01
35.175627,129.140858,우2동,우2동-2,해운대구(안전총괄과),051-749-6167,2021-01-01
35.174629,129.140637,우2동,우2동-3,해운대구(안전총괄과),051-749-6167,2021-01-01
35.167161,129.145177,우2동,우2동-4,해운대구(안전총괄과),051-749-6167,2021-01-01
35.167824,129.146629,우2동,우2동-5,해운대구(안전총괄과),051-749-6167,2021-01-01
35.167344,129.145718,우2동,우2동-6,해운대구(안전총괄과),051-749-6167,2021-01-01
35.166874,129.145833,우2동,우2동-7,해운대구(안전총괄과),051-749-6167,2021-01-01
35.167246,129.142441,우2동,우2동-8,해운대구(안전총괄과),051-749-6167,2021-01-01
35.166869,129.142368,우2동,우2동-9,해운대구(안전총괄과),051-749-6167,2021-01-01
35.169567,129.141629,우2동,우2동-10,해운대구(안전총괄과),051-749-6167,2021-01-01
35.169111,129.141509,우2동,우2동-11,해운대구(안전총괄과),051-749-6167,2021-01-01
35.169243,129.141286,우2동,우2동-12,해운대구(안전총괄과),051-749-6167,2021-01-01
35.168709,129.142578,우2동,우2동-13,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161885,129.179343,중2동,중2동-1,해운대구(안전총괄과),051-749-6167,2021-01-01
35.162397,129.163163,중2동,중2동-2,해운대구(안전총괄과),051-749-6167,2021-01-01
35.164526,129.183966,중2동,중2동-3,해운대구(안전총괄과),051-749-6167,2021-01-01
35.164439,129.184183,중2동,중2동-4,해운대구(안전총괄과),051-749-6167,2021-01-01
35.164362,129.184127,중2동,중2동-5,해운대구(안전총괄과),051-749-6167,2021-01-01
35.162107,129.181199,중2동,중2동-6,해운대구(안전총괄과),051-749-6167,2021-01-01
35.162093,129.181176,중2동,중2동-7,해운대구(안전총괄과),051-749-6167,2021-01-01
35.162185,129.181203,중2동,중2동-8,해운대구(안전총괄과),051-749-6167,2021-01-01
35.160402,129.175803,중2동,중2동-9,해운대구(안전총괄과),051-749-6167,2021-01-01
35.159184,129.176067,중2동,중2동-10,해운대구(안전총괄과),051-749-6167,2021-01-01
35.158705,129.176827,중2동,중2동-11,해운대구(안전총괄과),051-749-6167,2021-01-01
35.16545,129.190878,중2동,중2동-12,해운대구(안전총괄과),051-749-6167,2021-01-01
35.158324,129.177874,중2동,중2동-13,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161563,129.183327,중2동,중2동-14,해운대구(안전총괄과),051-749-6167,2021-01-01
37.402728,126.649371,중2동,중2동-15,해운대구(안전총괄과),051-749-6167,2021-01-01
35.160242,129.17558,중2동,중2동-16,해운대구(안전총괄과),051-749-6167,2021-01-01
35.160474,129.174112,중2동,중2동-17,해운대구(안전총괄과),051-749-6167,2021-01-01
35.160474,129.174112,중2동,중2동-18,해운대구(안전총괄과),051-749-6167,2021-01-01
35.160757,129.176297,중2동,중2동-19,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161886,129.175589,중2동,중2동-20,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161974,129.175922,중2동,중2동-21,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161899,129.175783,중2동,중2동-22,해운대구(안전총괄과),051-749-6167,2021-01-01
35.160656,129.192532,중2동,중2동-23,해운대구(안전총괄과),051-749-6167,2021-01-01
35.163415,129.187441,중2동,중2동-24,해운대구(안전총괄과),051-749-6167,2021-01-01
35.160113,129.170706,중2동,중2동-25,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161747,129.189688,중2동,중2동-26,해운대구(안전총괄과),051-749-6167,2021-01-01
35.162764,129.190281,중2동,중2동-27,해운대구(안전총괄과),051-749-6167,2021-01-01
35.162332,129.188447,중2동,중2동-28,해운대구(안전총괄과),051-749-6167,2021-01-01
35.162107,129.178002,중2동,중2동-29,해운대구(안전총괄과),051-749-6167,2021-01-01
35.162133,129.177882,중2동,중2동-30,해운대구(안전총괄과),051-749-6167,2021-01-01
35.156292,129.178306,중2동,중2동-31,해운대구(안전총괄과),051-749-6167,2021-01-01
35.156881,129.179677,중2동,중2동-32,해운대구(안전총괄과),051-749-6167,2021-01-01
35.157183,129.18111,중2동,중2동-33,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161082,129.184387,중2동,중2동-34,해운대구(안전총괄과),051-749-6167,2021-01-01
35.162811,129.185123,중2동,중2동-35,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161778,129.187226,중2동,중2동-36,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161751,129.187224,중2동,중2동-37,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161423,129.188583,중2동,중2동-38,해운대구(안전총괄과),051-749-6167,2021-01-01
35.160626,129.19277,중2동,중2동-39,해운대구(안전총괄과),051-749-6167,2021-01-01
35.164188,129.180926,중2동,중2동-40,해운대구(안전총괄과),051-749-6167,2021-01-01
35.164182,129.180804,중2동,중2동-41,해운대구(안전총괄과),051-749-6167,2021-01-01
35.164038,129.184593,중2동,중2동-42,해운대구(안전총괄과),051-749-6167,2021-01-01
35.160985,129.172087,중2동,중2동-43,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161031,129.172106,중2동,중2동-44,해운대구(안전총괄과),051-749-6167,2021-01-01
35.16035,129.172672,중2동,중2동-45,해운대구(안전총괄과),051-749-6167,2021-01-01
35.159691,129.17336,중2동,중2동-46,해운대구(안전총괄과),051-749-6167,2021-01-01
35.158964,129.174531,중2동,중2동-47,해운대구(안전총괄과),051-749-6167,2021-01-01
35.158112,129.174329,중2동,중2동-48,해운대구(안전총괄과),051-749-6167,2021-01-01
35.158223,129.175249,중2동,중2동-49,해운대구(안전총괄과),051-749-6167,2021-01-01
35.154233,129.146127,중2동,중2동-50,해운대구(안전총괄과),051-749-6167,2021-01-01
35.156798,129.181645,중2동,중2동-51,해운대구(안전총괄과),051-749-6167,2021-01-01
35.163778,129.185332,중2동,중2동-52,해운대구(안전총괄과),051-749-6167,2021-01-01
35.164044,129.185153,중2동,중2동-53,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161757,129.173725,중2동,중2동-54,해운대구(안전총괄과),051-749-6167,2021-01-01
35.844542,128.61192,중2동,중2동-55,해운대구(안전총괄과),051-749-6167,2021-01-01
35.165388,129.190295,중2동,중2동-56,해운대구(안전총괄과),051-749-6167,2021-01-01
35.161949,129.177747,중2동,중2동-57,해운대구(안전총괄과),051-749-6167,2021-01-01
35.167997,129.181869,좌2동,좌2동-1,해운대구(안전총괄과),051-749-6167,2021-01-01
35.167852,129.181924,좌2동,좌2동-2,해운대구(안전총괄과),051-749-6167,2021-01-01
35.166375,129.18358,좌2동,좌2동-3,해운대구(안전총괄과),051-749-6167,2021-01-01
35.168415,129.179365,좌2동,좌2동-4,해운대구(안전총괄과),051-749-6167,2021-01-01
