위도,경도,데이터기준일자,highway,support,light_method,light:lit,light:shape,light:tilt
37.472676,126.606904,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4730541,126.6068744,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4734305,126.6066979,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4738157,126.6065098,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4741743,126.6063562,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4722428,126.6068442,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4716413,126.607025,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4712465,126.6071679,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4708686,126.6072089,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4705347,126.6071698,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4702182,126.607074,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4698743,126.6069447,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4695482,126.6067925,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4692131,126.6066517,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4689052,126.6065218,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4686335,126.6064025,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4746402,126.6061328,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4748912,126.6060264,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4683437,126.6062722,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4679053,126.6057716,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4678023,126.604677,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4677926,126.6053894,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4510373,126.6041745,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.450915,126.6045045,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4507483,126.6048806,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.450635,126.6052104,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4504334,126.6056888,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4501444,126.6063949,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4516848,126.6040721,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4512312,126.6038092,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4525017,126.6045768,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4529101,126.6048292,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4532551,126.6050488,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4536364,126.6052904,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4697805,126.6282103,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.469921,126.6278913,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4700516,126.6275045,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4696579,126.6285178,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4695263,126.6288254,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4694474,126.6290077,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4692109,126.6295999,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4690884,126.6299074,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.468957,126.6302376,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4520479,126.6043027,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4730693,126.6352273,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4726872,126.6356864,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4723581,126.6360542,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4721268,126.6363184,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4718511,126.6366286,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
