위도,경도,public_transport,highway,name,operator,source,source:date
37.85635,127.7548,platform,bus_stop,성우오스타A,춘천시,공공데이터포털,2019-11-27
37.85686,127.75944,platform,bus_stop,거두리주공A,춘천시,공공데이터포털,2019-11-27
37.86255,127.75865,platform,bus_stop,강원지방경찰청,춘천시,공공데이터포털,2019-11-27
37.86249,127.75844,platform,bus_stop,강원지방경찰청,춘천시,공공데이터포털,2019-11-27
37.91627,127.78235,platform,bus_stop,지내1리(옥광산입구),춘천시,공공데이터포털,2019-11-27
37.77665,127.64391,platform,bus_stop,창촌3리입구,춘천시,공공데이터포털,2019-11-27
37.67885,127.61356,platform,bus_stop,한덕리,춘천시,공공데이터포털,2019-11-27
37.67707,127.61177,platform,bus_stop,한덕리입구,춘천시,공공데이터포털,2019-11-27
37.67723,127.61166,platform,bus_stop,한덕리입구,춘천시,공공데이터포털,2019-11-27
37.68338,127.64644,platform,bus_stop,산수리,춘천시,공공데이터포털,2019-11-27
37.68636,127.64436,platform,bus_stop,산수리,춘천시,공공데이터포털,2019-11-27
37.74002,127.83198,platform,bus_stop,부사원리,춘천시,공공데이터포털,2019-11-27
37.84081,127.55183,platform,bus_stop,서천리입구,춘천시,공공데이터포털,2019-11-27
37.89606,127.68087,platform,bus_stop,방동2리입구(보건소),춘천시,공공데이터포털,2019-11-27
37.93028,127.68736,platform,bus_stop,월송1리,춘천시,공공데이터포털,2019-11-27
37.92309,127.68958,platform,bus_stop,월송2리,춘천시,공공데이터포털,2019-11-27
37.93602,127.7026,platform,bus_stop,신매1리,춘천시,공공데이터포털,2019-11-27
37.83739,127.67424,platform,bus_stop,삼악산,춘천시,공공데이터포털,2019-11-27
37.9112,127.70402,platform,bus_stop,과수원마을입구,춘천시,공공데이터포털,2019-11-27
37.86915,127.69225,platform,bus_stop,(구)싸이클경기장,춘천시,공공데이터포털,2019-11-27
37.7703,127.7131,platform,bus_stop,덕만리(혈동1리입구),춘천시,공공데이터포털,2019-11-27
37.90445,127.78102,platform,bus_stop,동면치안센터,춘천시,공공데이터포털,2019-11-27
37.77401,127.6729,platform,bus_stop,수동1리,춘천시,공공데이터포털,2019-11-27
37.84123,127.60993,platform,bus_stop,당림삼거리,춘천시,공공데이터포털,2019-11-27
37.80294,127.62148,platform,bus_stop,강촌리,춘천시,공공데이터포털,2019-11-27
37.77328,127.81121,platform,bus_stop,봉명2리,춘천시,공공데이터포털,2019-11-27
37.7538,127.79596,platform,bus_stop,동산면사무소,춘천시,공공데이터포털,2019-11-27
37.7538,127.79571,platform,bus_stop,동산면행복센터,춘천시,공공데이터포털,2019-11-27
37.7677,127.76588,platform,bus_stop,모래재,춘천시,공공데이터포털,2019-11-27
37.75617,127.81156,platform,bus_stop,조양1리,춘천시,공공데이터포털,2019-11-27
37.75149,127.82278,platform,bus_stop,부사원고개,춘천시,공공데이터포털,2019-11-27
37.74303,127.82926,platform,bus_stop,조양3리,춘천시,공공데이터포털,2019-11-27
37.76066,127.7728,platform,bus_stop,조양4리,춘천시,공공데이터포털,2019-11-27
37.78604,127.75697,platform,bus_stop,새술막,춘천시,공공데이터포털,2019-11-27
38.05092,127.60286,platform,bus_stop,오탄리종점,춘천시,공공데이터포털,2019-11-27
37.96603,127.67464,platform,bus_stop,고탄입구,춘천시,공공데이터포털,2019-11-27
37.97506,127.59891,platform,bus_stop,눈썰매장입구,춘천시,공공데이터포털,2019-11-27
37.97769,127.60207,platform,bus_stop,지암리(물레방아민박),춘천시,공공데이터포털,2019-11-27
37.97951,127.60433,platform,bus_stop,지암리(4),춘천시,공공데이터포털,2019-11-27
37.98287,127.61625,platform,bus_stop,지암리(3),춘천시,공공데이터포털,2019-11-27
37.97694,127.62895,platform,bus_stop,가족쉼터,춘천시,공공데이터포털,2019-11-27
37.98383,127.64462,platform,bus_stop,오월교입구,춘천시,공공데이터포털,2019-11-27
37.99288,127.72482,platform,bus_stop,고성2리선돌입구,춘천시,공공데이터포털,2019-11-27
37.99948,127.73634,platform,bus_stop,고성2리,춘천시,공공데이터포털,2019-11-27
37.99464,127.73537,platform,bus_stop,고성2리용화산,춘천시,공공데이터포털,2019-11-27
37.99201,127.73377,platform,bus_stop,고성2리매산교앞,춘천시,공공데이터포털,2019-11-27
37.99224,127.73042,platform,bus_stop,고성2리,춘천시,공공데이터포털,2019-11-27
37.98888,127.71363,platform,bus_stop,고탄리,춘천시,공공데이터포털,2019-11-27
37.98842,127.70197,platform,bus_stop,송암리,춘천시,공공데이터포털,2019-11-27
37.99546,127.68628,platform,bus_stop,송암리마을회관,춘천시,공공데이터포털,2019-11-27
38.00121,127.68969,platform,bus_stop,송암리(인삼밭),춘천시,공공데이터포털,2019-11-27
37.99573,127.68322,platform,bus_stop,송암리(은재된장),춘천시,공공데이터포털,2019-11-27
37.99685,127.67723,platform,bus_stop,송암리(밤나무),춘천시,공공데이터포털,2019-11-27
37.99581,127.67165,platform,bus_stop,인람리(1),춘천시,공공데이터포털,2019-11-27
37.99536,127.66544,platform,bus_stop,인람리(2),춘천시,공공데이터포털,2019-11-27
37.99584,127.68342,platform,bus_stop,송암리(은재된장),춘천시,공공데이터포털,2019-11-27
37.99707,127.67716,platform,bus_stop,송암리(밤나무),춘천시,공공데이터포털,2019-11-27
37.99542,127.67031,platform,bus_stop,인람리(1),춘천시,공공데이터포털,2019-11-27
37.99559,127.66544,platform,bus_stop,인람리(2),춘천시,공공데이터포털,2019-11-27
37.99102,127.65942,platform,bus_stop,인람리(하우스),춘천시,공공데이터포털,2019-11-27
37.993,127.69088,platform,bus_stop,송암삼거리,춘천시,공공데이터포털,2019-11-27
37.98012,127.69209,platform,bus_stop,해피초원목장,춘천시,공공데이터포털,2019-11-27
37.92801,127.7369,platform,bus_stop,올미,춘천시,공공데이터포털,2019-11-27
37.92778,127.73673,platform,bus_stop,올미,춘천시,공공데이터포털,2019-11-27
37.9368,127.72776,platform,bus_stop,국군병원사거리,춘천시,공공데이터포털,2019-11-27
37.95765,127.7235,platform,bus_stop,지내2리,춘천시,공공데이터포털,2019-11-27
37.95809,127.73023,platform,bus_stop,지내보건소,춘천시,공공데이터포털,2019-11-27
37.8614,127.79021,platform,bus_stop,거두리사거리,춘천시,공공데이터포털,2019-11-27
37.86138,127.79037,platform,bus_stop,거두리사거리,춘천시,공공데이터포털,2019-11-27
37.85401,127.78014,platform,bus_stop,신촌리종점,춘천시,공공데이터포털,2019-11-27
37.84893,127.7745,platform,bus_stop,고은리입구,춘천시,공공데이터포털,2019-11-27
37.83104,127.76854,platform,bus_stop,사암1리,춘천시,공공데이터포털,2019-11-27
37.98372,127.89632,platform,bus_stop,천리터,춘천시,공공데이터포털,2019-11-27
38.01343,127.88076,platform,bus_stop,추곡1리,춘천시,공공데이터포털,2019-11-27
38.03338,127.87707,platform,bus_stop,추곡(낚시터),춘천시,공공데이터포털,2019-11-27
