위도,경도,highway,public_transport,bus,name,source,source:date,addr:subdistrict
37.47394,129.04435,bus_stop,platform,yes,쌍용자원개발(무릉방면),공공데이터포털,2020-11-24,삼화동
37.47335,129.04391,bus_stop,platform,yes,쌍용자원개발(대동.북평방면),공공데이터포털,2020-11-24,삼화동
37.47683,129.04788,bus_stop,platform,yes,쌍용후문종점(대동.북평방면),공공데이터포털,2020-11-24,삼화동
37.47685,129.04776,bus_stop,platform,yes,쌍용후문(무릉방면),공공데이터포털,2020-11-24,삼화동
37.55337,129.11958,bus_stop,platform,yes,갈매기횟집(발한.시청방면),공공데이터포털,2020-11-24,묵호진동
37.55337,129.1197,bus_stop,platform,yes,갈매기횟집(대진방면),공공데이터포털,2020-11-24,묵호진동
37.57088,129.0757,bus_stop,platform,yes,갈전교앞(발한.시청방면),공공데이터포털,2020-11-24,만우동
37.57087,129.07562,bus_stop,platform,yes,갈전교앞(만우방면),공공데이터포털,2020-11-24,만우동
37.51443,129.12441,bus_stop,platform,yes,평생교육센터(북평.대동방면),공공데이터포털,2020-11-24,용정동
37.51541,129.12438,bus_stop,platform,yes,감추사(시청.발한방면),공공데이터포털,2020-11-24,천곡동
37.57537,129.0799,bus_stop,platform,yes,동해직업전문학교(발한.시청방면),공공데이터포털,2020-11-24,초구동
37.57537,129.07991,bus_stop,platform,yes,동해직업전문학교(만우방면),공공데이터포털,2020-11-24,초구동
37.49232,129.10936,bus_stop,platform,yes,건강증진센터(시청방면),공공데이터포털,2020-11-24,효가동
37.51481,129.11862,bus_stop,platform,yes,행복드림.경포아파트(북평.대동방면),공공데이터포털,2020-11-24,천곡동
37.51518,129.11872,bus_stop,platform,yes,행복드림아파트(시청.발한방면),공공데이터포털,2020-11-24,천곡동
37.53637,129.10305,bus_stop,platform,yes,(구)고속버스터미널(시청.북평방면),공공데이터포털,2020-11-24,부곡동
37.53622,129.10357,bus_stop,platform,yes,(구)고속버스터미널(발한.옥계방면),공공데이터포털,2020-11-24,부곡동
37.51937,129.0477,bus_stop,platform,yes,비천종점(비천종점),공공데이터포털,2020-11-24,비천동
37.49283,129.1079,bus_stop,platform,yes,북삼농협뒤(대동.북평방면),공공데이터포털,2020-11-24,효가동
37.4929,129.1081,bus_stop,platform,yes,북삼농협뒤(한중대방면),공공데이터포털,2020-11-24,효가동
37.49017,129.10086,bus_stop,platform,yes,광희고등학교앞(무릉.신흥방면),공공데이터포털,2020-11-24,동회동
37.49006,129.10135,bus_stop,platform,yes,광희중.고등학교앞(대동.북평방면),공공데이터포털,2020-11-24,동회동
37.47897,129.0964,bus_stop,platform,yes,귀운(북평.시청방면),공공데이터포털,2020-11-24,귀운동
37.47901,129.09641,bus_stop,platform,yes,귀운(삼화방면),공공데이터포털,2020-11-24,귀운동
37.59584,129.08287,bus_stop,platform,yes,기곡(옥계방면),공공데이터포털,2020-11-24,망상동
37.59572,129.08286,bus_stop,platform,yes,기곡(발한.시청방면),공공데이터포털,2020-11-24,망상동
37.59574,129.0828,bus_stop,platform,yes,기곡(만우방면),공공데이터포털,2020-11-24,망상동
37.50635,129.12636,bus_stop,platform,yes,기상대(북평.대동방면),공공데이터포털,2020-11-24,용정동
37.50705,129.12606,bus_stop,platform,yes,용정삼거리(시청.발한방면),공공데이터포털,2020-11-24,용정동
37.55643,129.12111,bus_stop,platform,yes,삼양비치타워(발한.시청방면),공공데이터포털,2020-11-24,묵호진동
37.55662,129.12127,bus_stop,platform,yes,삼양회센터(대진방면),공공데이터포털,2020-11-24,묵호진동
37.48505,129.1121,bus_stop,platform,yes,나안마을(대동.무릉방면),공공데이터포털,2020-11-24,나안동
37.48486,129.11191,bus_stop,platform,yes,나안마을(북평.시청방면),공공데이터포털,2020-11-24,나안동
37.584,129.10029,bus_stop,platform,yes,노봉(발한.시청방면),공공데이터포털,2020-11-24,망상동
37.5844,129.10041,bus_stop,platform,yes,노봉(옥계방면),공공데이터포털,2020-11-24,망상동
37.51572,129.12268,bus_stop,platform,yes,노인종합복지관(북평.대동방면),공공데이터포털,2020-11-24,천곡동
37.54496,129.10309,bus_stop,platform,yes,농수산물시장(시청.북평방면),공공데이터포털,2020-11-24,발한동
37.54562,129.10397,bus_stop,platform,yes,농수산물시장(발한.옥계방면),공공데이터포털,2020-11-24,발한동
37.52061,129.11422,bus_stop,platform,yes,주공2차아파트(시청.발한방면),공공데이터포털,2020-11-24,천곡동
37.52075,129.11404,bus_stop,platform,yes,주공2차아파트(북평.대동방면),공공데이터포털,2020-11-24,천곡동
37.4752,129.12422,bus_stop,platform,yes,단봉동(추암방면),공공데이터포털,2020-11-24,단봉동
37.47537,129.1243,bus_stop,platform,yes,단봉연당(단봉방면),공공데이터포털,2020-11-24,단봉동
37.46867,129.11453,bus_stop,platform,yes,단봉종점(추암방면),공공데이터포털,2020-11-24,단봉동
37.50227,129.04456,bus_stop,platform,yes,달방댐(비천.신흥방면),공공데이터포털,2020-11-24,이로동
37.50224,129.04446,bus_stop,platform,yes,달방댐(대동.북평방면),공공데이터포털,2020-11-24,이로동
37.50621,129.02113,bus_stop,platform,yes,달방마을( ),공공데이터포털,2020-11-24,달방동
37.50788,129.03751,bus_stop,platform,yes,달방댐(신흥방면),공공데이터포털,2020-11-24,달방동
37.50779,129.03755,bus_stop,platform,yes,달방댐(대동.북평방면),공공데이터포털,2020-11-24,이로동
37.47071,129.14071,bus_stop,platform,yes,대구동(북평.시청방면),공공데이터포털,2020-11-24,대구동
37.47089,129.1402,bus_stop,platform,yes,대구동(북평.삼척방면),공공데이터포털,2020-11-24,대구동
37.46653,129.13521,bus_stop,platform,yes,대구마을( ),공공데이터포털,2020-11-24,대구동
37.46651,129.13525,bus_stop,platform,yes,대구마을( ),공공데이터포털,2020-11-24,대구동
37.48604,129.10543,bus_stop,platform,yes,대동.부영아파트단지(대동방면),공공데이터포털,2020-11-24,쇄운동
37.55215,129.11239,bus_stop,platform,yes,대동상회(발한.시청방면),공공데이터포털,2020-11-24,묵호진동
37.55196,129.11242,bus_stop,platform,yes,대동상회(대진방면),공공데이터포털,2020-11-24,발한동
37.47413,129.13013,bus_stop,platform,yes,대동석재(단봉방면),공공데이터포털,2020-11-24,대구동
37.47389,129.13037,bus_stop,platform,yes,대동석재(추암방면),공공데이터포털,2020-11-24,대구동
37.48621,129.10855,bus_stop,platform,yes,대동아파트(무릉.신흥방면),공공데이터포털,2020-11-24,쇄운동
37.48602,129.10859,bus_stop,platform,yes,대동아파트(북평.시청방면),공공데이터포털,2020-11-24,쇄운동
37.49341,129.12463,bus_stop,platform,yes,제일안전산업(동해역방면),공공데이터포털,2020-11-24,송정동
37.49326,129.12457,bus_stop,platform,yes,주유소앞(효가.시청방면),공공데이터포털,2020-11-24,송정동
37.50678,129.10313,bus_stop,platform,yes,지흥골숫골입구(북평.삼척방면),공공데이터포털,2020-11-24,지흥동
37.50753,129.10341,bus_stop,platform,yes,북삼동숫골입구(시청방면),공공데이터포털,2020-11-24,지흥동
37.5798,129.11264,bus_stop,platform,yes,대진(발한.시청방면),공공데이터포털,2020-11-24,대진동
37.57994,129.11264,bus_stop,platform,yes,대진(대진종점),공공데이터포털,2020-11-24,대진동
37.57538,129.1167,bus_stop,platform,yes,대진등대(발한.시청방면),공공데이터포털,2020-11-24,대진동
37.57539,129.1169,bus_stop,platform,yes,대진등대(대진방면),공공데이터포털,2020-11-24,대진동
37.5776,129.11551,bus_stop,platform,yes,대진삼거리(발한.시청방면),공공데이터포털,2020-11-24,대진동
37.5781,129.11515,bus_stop,platform,yes,대진동(대진방면),공공데이터포털,2020-11-24,대진동
37.47914,129.10615,bus_stop,platform,yes,동성교회(삼화.무릉방면),공공데이터포털,2020-11-24,이도동
37.4791,129.1062,bus_stop,platform,yes,동성교회(북평.시청방면),공공데이터포털,2020-11-24,이도동
37.47212,129.13836,bus_stop,platform,yes,만리사(북평.삼척방면),공공데이터포털,2020-11-24,대구동
37.47257,129.13723,bus_stop,platform,yes,북평공단(북평.시청방면),공공데이터포털,2020-11-24,대구동
37.55525,129.11644,bus_stop,platform,yes,논골길(등대방면),공공데이터포털,2020-11-24,묵호진동
37.55373,129.11624,bus_stop,platform,yes,논골담길(대진.시청방면),공공데이터포털,2020-11-24,묵호진동
37.48287,129.12645,bus_stop,platform,yes,북평농협(북평.삼척방면),공공데이터포털,2020-11-24,북평동
37.48385,129.12596,bus_stop,platform,yes,북평동주민센터(시청.발한방면),공공데이터포털,2020-11-24,북평동
37.56774,129.07529,bus_stop,platform,yes,만우골프장(발한.시청방면),공공데이터포털,2020-11-24,만우동
37.56778,129.07516,bus_stop,platform,yes,만우골프장(만우방면),공공데이터포털,2020-11-24,만우동
37.53063,129.10449,bus_stop,platform,yes,제1함대사령부(시청.북평방면),공공데이터포털,2020-11-24,평릉동
37.53043,129.10493,bus_stop,platform,yes,제1함대사령부(발한.옥계방면),공공데이터포털,2020-11-24,평릉동
37.55821,129.12124,bus_stop,platform,yes,횟집타운(발한.시청방면),공공데이터포털,2020-11-24,묵호진동
37.55833,129.12117,bus_stop,platform,yes,꿈의궁전동해비치호텔(대진방면),공공데이터포털,2020-11-24,묵호진동
37.5231,129.11642,bus_stop,platform,yes,동해시보건소(북평.대동방면),공공데이터포털,2020-11-24,천곡동
37.52257,129.11693,bus_stop,platform,yes,동해시보건소(시청.발한방면),공공데이터포털,2020-11-24,천곡동
37.51206,129.0272,bus_stop,platform,yes,동해시승화원(신흥방면),공공데이터포털,2020-11-24,신흥동
37.51196,129.0272,bus_stop,platform,yes,동해시승화원(대동.북평방면),공공데이터포털,2020-11-24,신흥동
37.49751,129.12508,bus_stop,platform,yes,동해역(북평.추암방면),공공데이터포털,2020-11-24,송정동
37.4977,129.12526,bus_stop,platform,yes,동해역(효가.시청방면),공공데이터포털,2020-11-24,송정동
37.49837,129.12622,bus_stop,platform,yes,송정동주민센터(북평.대동방면),공공데이터포털,2020-11-24,송정동
37.49803,129.1264,bus_stop,platform,yes,도용서실(시청.발한방면),공공데이터포털,2020-11-24,송정동
37.49255,129.12427,bus_stop,platform,yes,동해항(북평.대동방면),공공데이터포털,2020-11-24,송정동
37.49255,129.12482,bus_stop,platform,yes,동해항(시청.발한방면),공공데이터포털,2020-11-24,송정동
37.48879,129.12235,bus_stop,platform,yes,동해항.송정산업단지(북평.대동방면),공공데이터포털,2020-11-24,송정동
37.48923,129.12237,bus_stop,platform,yes,동해항정문(시청.발한방면),공공데이터포털,2020-11-24,송정동
37.54204,129.10168,bus_stop,platform,yes,동호육교(시청.북평방면),공공데이터포털,2020-11-24,발한동
37.54261,129.10211,bus_stop,platform,yes,동호육교(발한.옥계방면),공공데이터포털,2020-11-24,발한동
37.55417,129.11826,bus_stop,platform,yes,묵호등대(발한.시청방면),공공데이터포털,2020-11-24,묵호진동
37.55655,129.11718,bus_stop,platform,yes,등대경로당(발한.시청방면),공공데이터포털,2020-11-24,묵호진동
37.55646,129.11714,bus_stop,platform,yes,등대경로당(묵호등대방면),공공데이터포털,2020-11-24,묵호진동
37.54607,129.10723,bus_stop,platform,yes,묵호역(시청.삼척방면),공공데이터포털,2020-11-24,발한동
37.54613,129.10761,bus_stop,platform,yes,묵호역(발한.대진방면),공공데이터포털,2020-11-24,발한동
37.55821,129.07235,bus_stop,platform,yes,만우(발한.시청방면),공공데이터포털,2020-11-24,만우동
37.56028,129.0743,bus_stop,platform,yes,만우가든(발한.시청방면),공공데이터포털,2020-11-24,만우동
37.56032,129.07425,bus_stop,platform,yes,만우가든(만우방면),공공데이터포털,2020-11-24,만우동
37.59008,129.08921,bus_stop,platform,yes,하얀팬션앞(발한.시청방면),공공데이터포털,2020-11-24,망상동
37.59002,129.08917,bus_stop,platform,yes,하얀팬션앞(만우방면),공공데이터포털,2020-11-24,망상동
37.58612,129.09874,bus_stop,platform,yes,망상역(옥계방면),공공데이터포털,2020-11-24,망상동
37.58598,129.09858,bus_stop,platform,yes,망상역앞(발한.시청방면),공공데이터포털,2020-11-24,망상동
37.59151,129.08969,bus_stop,platform,yes,망상해변(발한.시청방면),공공데이터포털,2020-11-24,망상동
37.59166,129.08982,bus_stop,platform,yes,망상해변(옥계방면),공공데이터포털,2020-11-24,망상동
37.58477,129.0927,bus_stop,platform,yes,매밑(발한.시청방면),공공데이터포털,2020-11-24,망상동
37.58481,129.09262,bus_stop,platform,yes,매밑(만우방면),공공데이터포털,2020-11-24,망상동
37.46375,129.02249,bus_stop,platform,yes,무릉계곡(무릉종점),공공데이터포털,2020-11-24,삼화동
37.46361,129.02233,bus_stop,platform,yes,무릉계곡(대동.북평방면),공공데이터포털,2020-11-24,삼화동
37.5523,129.11511,bus_stop,platform,yes,묵호동어판장앞(발한.시청방면),공공데이터포털,2020-11-24,묵호진동
37.55217,129.11635,bus_stop,platform,yes,논골입구(대진방면),공공데이터포털,2020-11-24,묵호진동
37.55905,129.10381,bus_stop,platform,yes,묵호여중(발한.시청방면),공공데이터포털,2020-11-24,발한동
37.55976,129.10363,bus_stop,platform,yes,묵호여중(옥계방면),공공데이터포털,2020-11-24,발한동
37.54714,129.10613,bus_stop,platform,yes,동해프라자(시청.북평방면),공공데이터포털,2020-11-24,발한동
37.54696,129.10638,bus_stop,platform,yes,동해프라자(발한.옥계방면),공공데이터포털,2020-11-24,발한동
37.55903,129.11317,bus_stop,platform,yes,묵호LH아파트(발한.시청방면),공공데이터포털,2020-11-24,묵호진동
37.55887,129.11272,bus_stop,platform,yes,묵호LH아파트(묵호등대방면),공공데이터포털,2020-11-24,묵호진동
37.55051,129.10972,bus_stop,platform,yes,조은내과앞(발한.시청방면),공공데이터포털,2020-11-24,발한동
37.55064,129.11012,bus_stop,platform,yes,항만입구(대진방면),공공데이터포털,2020-11-24,발한동
