위도,경도,name,name:en,name:ko,highway,public_transport
37.804582,127.994069,2리입구,2Riipgu,2리입구,bus_stop,platform
37.804727,127.994213,2리입구,2Riipgu,2리입구,bus_stop,platform
37.804754,127.99428,2리입구,2Riipgu,2리입구,bus_stop,platform
37.730718,128.165173,가곡,Gagok,가곡,bus_stop,platform
37.730783,128.165262,가곡,Gagok,가곡,bus_stop,platform
37.587274,127.864697,가두둑,Gaduduk,가두둑,bus_stop,platform
37.587156,127.86477,가두둑,Gaduduk,가두둑,bus_stop,platform
37.780901,128.176994,가루개,Garugae,가루개,bus_stop,platform
37.780988,128.177029,가루개,Garugae,가루개,bus_stop,platform
37.861881,127.986917,가리산종점,Garisanjongjeom,가리산종점,bus_stop,platform
37.861871,127.987031,가리산종점,Garisanjongjeom,가리산종점,bus_stop,platform
37.766047,128.294014,가진포,Gajinpo,가진포,bus_stop,platform
37.546101,127.70201,가현리,Gahyeon-ri,가현리,bus_stop,platform
37.546124,127.701861,가현리,Gahyeon-ri,가현리,bus_stop,platform
37.645545,127.846523,갈골(상),Galgol(Sang),갈골(상),bus_stop,platform
37.645668,127.846517,갈골(상),Galgol(Sang),갈골(상),bus_stop,platform
37.647617,127.841627,갈골(하),Galgol(Ha),갈골(하),bus_stop,platform
37.647543,127.841569,갈골(하),Galgol(Ha),갈골(하),bus_stop,platform
37.732052,127.871988,갈공승강장,Galgongseunggangjang,갈공승강장,bus_stop,platform
37.731935,127.87203,갈공승강장,Galgongseunggangjang,갈공승강장,bus_stop,platform
37.692774,127.905462,갈마곡2리,Galmagok2Ri,갈마곡2리,bus_stop,platform
37.692602,127.905504,갈마곡2리,Galmagok2Ri,갈마곡2리,bus_stop,platform
37.698425,127.89654,갈마곡리,Galmagok-ri,갈마곡리,bus_stop,platform
37.705298,128.190227,감두동,Gamdudong,감두동,bus_stop,platform
37.705343,128.190353,감두동,Gamdudong,감두동,bus_stop,platform
37.607469,127.767769,강원생활과학고앞,Gangwonsaenghwalgwahakgoap,강원생활과학고앞,bus_stop,platform
37.608026,127.767755,강원생활과학고앞,Gangwonsaenghwalgwahakgoap,강원생활과학고앞,bus_stop,platform
37.727906,127.868952,강재구공원,Gangjaegugongwon,강재구공원,bus_stop,platform
37.727894,127.868846,강재구공원,Gangjaegugongwon,강재구공원,bus_stop,platform
37.65945,127.930789,개운리,Gaeun-ri,개운리,bus_stop,platform
37.659378,127.930557,개운리,Gaeun-ri,개운리,bus_stop,platform
37.762344,127.976299,건검리(상),Geongeomni(Sang),건검리(상),bus_stop,platform
37.762183,127.976148,건검리(상),Geongeomni(Sang),건검리(상),bus_stop,platform
37.76499,127.973548,건검리(하),Geongeomni(Ha),건검리(하),bus_stop,platform
37.765171,127.973477,건검리(하),Geongeomni(Ha),건검리(하),bus_stop,platform
37.680933,127.867525,검문소,Geommunso,검문소,bus_stop,platform
37.681016,127.867223,검문소,Geommunso,검문소,bus_stop,platform
37.706377,128.206682,검산1리,Geomsan1Ri,검산1리,bus_stop,platform
37.706481,128.206642,검산1리,Geomsan1Ri,검산1리,bus_stop,platform
37.713259,128.234288,검산2리종점,Geomsan2Rijongjeom,검산2리종점,bus_stop,platform
37.713254,128.234216,검산2리종점,Geomsan2Rijongjeom,검산2리종점,bus_stop,platform
37.721319,128.236114,검산리,Geomsan-ri,검산리,bus_stop,platform
37.704834,128.220115,검산보건진료소,Geomsanbogeonjillyoso,검산보건진료소,bus_stop,platform
37.70473,128.220075,검산보건진료소,Geomsanbogeonjillyoso,검산보건진료소,bus_stop,platform
37.69672,127.918617,검율리,Geomyul-ri,검율리,bus_stop,platform
37.696705,127.918843,검율리,Geomyul-ri,검율리,bus_stop,platform
37.695363,127.91429,검율승강장,Geomyulseunggangjang,검율승강장,bus_stop,platform
37.695258,127.914324,검율승강장,Geomyulseunggangjang,검율승강장,bus_stop,platform
37.717143,127.920791,결운1리,Gyeorun1Ri,결운1리,bus_stop,platform
37.716309,127.919592,결운1리,Gyeorun1Ri,결운1리,bus_stop,platform
37.71703,127.92088,결운1리,Gyeorun1Ri,결운1리,bus_stop,platform
37.722363,127.926483,결운2리,Gyeorun2Ri,결운2리,bus_stop,platform
37.722447,127.926393,결운2리,Gyeorun2Ri,결운2리,bus_stop,platform
37.729253,127.931535,결운승강장,Gyeorunseunggangjang,결운승강장,bus_stop,platform
37.729149,127.9316,결운승강장,Gyeorunseunggangjang,결운승강장,bus_stop,platform
37.719453,127.923321,결운승강장,Gyeorunseunggangjang,결운승강장,bus_stop,platform
37.71938,127.923421,결운승강장,Gyeorunseunggangjang,결운승강장,bus_stop,platform
37.888504,128.096202,고개,Gogae,고개,bus_stop,platform
37.888379,128.096292,고개,Gogae,고개,bus_stop,platform
37.695196,128.100224,고개,Gogae,고개,bus_stop,platform
37.695158,128.100399,고개,Gogae,고개,bus_stop,platform
37.75983,127.97688,고개,Gogae,고개,bus_stop,platform
37.760256,127.976927,고개,Gogae,고개,bus_stop,platform
37.687017,127.970277,고개밑,Gogaemit,고개밑,bus_stop,platform
37.687016,127.970179,고개밑,Gogaemit,고개밑,bus_stop,platform
37.858528,128.101272,고개밑,Gogaemit,고개밑,bus_stop,platform
37.858553,128.101093,고개밑,Gogaemit,고개밑,bus_stop,platform
37.684762,127.969323,고개정상,Gogaejeongsang,고개정상,bus_stop,platform
37.684645,127.969301,고개정상,Gogaejeongsang,고개정상,bus_stop,platform
37.676609,127.763139,고드래미,Godeuraemi,고드래미,bus_stop,platform
37.676691,127.763197,고드래미,Godeuraemi,고드래미,bus_stop,platform
37.595832,127.815244,고음실,Goeumsil,고음실,bus_stop,platform
37.595777,127.815384,고음실,Goeumsil,고음실,bus_stop,platform
37.698004,127.853977,공병대앞정류장,Gongbyeongdaeapjeongnyujang,공병대앞정류장,bus_stop,platform
