위도,경도,name,name:ko,ref,highway,public_transport,passenger_information_display
37.3133203,127.3979173,수광2리나뭇가지마을,수광2리나뭇가지마을,32048,bus_stop,platform,yes
37.3070585,127.4029483,수광1리,수광1리,32051,bus_stop,platform,yes
37.307324,127.4024252,수광1리,수광1리,32050,bus_stop,platform,yes
37.3401333,127.4924086,현방리,현방리,32721,bus_stop,platform,yes
37.3239585,127.4749574,백사중학교,백사중학교,32725,bus_stop,platform,yes
37.3071656,127.4637866,모전1리,모전1리,32589,bus_stop,platform,yes
37.3038524,127.4699547,모전리현대아파트,모전리현대아파트,32136,bus_stop,platform,yes
37.3037846,127.4701407,모전리현대아파트,모전리현대아파트,32135,bus_stop,platform,yes
37.3078761,127.4835079,도지초등학교,도지초등학교,32152,bus_stop,platform,yes
37.2987683,127.4085817,사음2동.동일냉장,사음2동.동일냉장,32056,bus_stop,platform,yes
37.2984045,127.4090418,사음2동.동일냉장,사음2동.동일냉장,32057,bus_stop,platform,yes
37.2960892,127.4117632,사음2동도예촌,사음2동도예촌,32058,bus_stop,platform,yes
37.2959718,127.4123501,사음2동도예촌,사음2동도예촌,32059,bus_stop,platform,yes
37.2942041,127.4189642,사음1통,사음1통,32491,bus_stop,platform,yes
37.294011,127.4192657,사음1통,사음1통,32065,bus_stop,platform,yes
37.290338,127.426458,다산고등학교,다산고등학교,32069,bus_stop,platform,yes
37.2820162,127.4322002,소방서이천의료원,소방서이천의료원,32070,bus_stop,platform,yes
37.2796824,127.4376831,설봉산입구,설봉산입구,32076,bus_stop,platform,yes
37.2816846,127.4399242,관고동,관고동,32081,bus_stop,platform,yes
37.2818053,127.4399126,관고동,관고동,32082,bus_stop,platform,yes
37.2818053,127.4399126,관고동,관고동,32082,bus_stop,platform,yes
37.281726,127.4404961,관고동,관고동,51194,bus_stop,platform,yes
37.2962778,127.4360357,수림아파트,수림아파트,32260,bus_stop,platform,yes
37.2954753,127.4407608,풍산아파트입구,풍산아파트입구,32410,bus_stop,platform,yes
37.2880382,127.4460337,이천고등학교,이천고등학교,32750,bus_stop,platform,yes
37.2958915,127.4570301,대우1차아파트,대우1차아파트,32112,bus_stop,platform,yes
37.2956165,127.457021,대우1차아파트,대우1차아파트,32113,bus_stop,platform,yes
37.294748,127.4593916,이마트,이마트,32116,bus_stop,platform,yes
37.2932316,127.4555713,대우2차아파트,대우2차아파트,32111,bus_stop,platform,yes
37.2918002,127.4548894,선경아파트,선경아파트,32106,bus_stop,platform,yes
37.2915171,127.4549031,선경아파트,선경아파트,32104,bus_stop,platform,yes
37.2892778,127.4575481,신한아파트,신한아파트,32114,bus_stop,platform,yes
37.2891675,127.4577627,신한아파트,신한아파트,32115,bus_stop,platform,yes
37.2891553,127.4628357,우성아파트.한내초교,우성아파트.한내초교,32124,bus_stop,platform,yes
37.2890241,127.4631615,우성아파트.한내초교,우성아파트.한내초교,32126,bus_stop,platform,yes
37.2863715,127.4672032,갈산동큰산아파트입구,갈산동큰산아파트입구,32133,bus_stop,platform,yes
37.2844882,127.457636,현대홈스위트,현대홈스위트,51086,bus_stop,platform,yes
37.2778586,127.4549836,이천중학교,이천중학교,32105,bus_stop,platform,yes
37.2776927,127.4553357,이천중학교,이천중학교,32110,bus_stop,platform,yes
37.2777163,127.461295,주공아파트,주공아파트,32122,bus_stop,platform,yes
37.2779259,127.4614266,주공아파트,주공아파트,32120,bus_stop,platform,yes
37.2798144,127.4647312,이천등기소,이천등기소,32130,bus_stop,platform,yes
37.2851274,127.4479495,이천고교입구,이천고교입구,32696,bus_stop,platform,yes
