위도,경도,highway,bus,public_transport,name,ref,source,source:date
35.66442918,129.4500489,bus_stop,yes,platform,관성입구,2013,공공데이터포털,2020-07-27
35.66434246,129.4502486,bus_stop,yes,platform,관성입구,2014,공공데이터포털,2020-07-27
35.6637178,129.4502907,bus_stop,yes,platform,관성,2015,공공데이터포털,2020-07-27
35.66363999,129.4504301,bus_stop,yes,platform,관성,2016,공공데이터포털,2020-07-27
35.70029801,129.4704413,bus_stop,yes,platform,나아리,2026,공공데이터포털,2020-07-27
35.70028623,129.4705621,bus_stop,yes,platform,나아리,2027,공공데이터포털,2020-07-27
35.70292969,129.4706865,bus_stop,yes,platform,월성원자력홍보관,2028,공공데이터포털,2020-07-27
35.70290734,129.4705685,bus_stop,yes,platform,월성원자력홍보관,2029,공공데이터포털,2020-07-27
35.71820127,129.0547106,bus_stop,yes,platform,범곡,2059,공공데이터포털,2020-07-27
35.6664064,129.462586,bus_stop,yes,platform,수렴마을,2081,공공데이터포털,2020-07-27
35.66651152,129.4626224,bus_stop,yes,platform,수렴마을,2082,공공데이터포털,2020-07-27
35.67083839,129.4633503,bus_stop,yes,platform,수렴리,2095,공공데이터포털,2020-07-27
35.67114289,129.4629455,bus_stop,yes,platform,수렴리,2096,공공데이터포털,2020-07-27
35.67577293,129.4619022,bus_stop,yes,platform,하서,2100,공공데이터포털,2020-07-27
35.69683232,129.4729715,bus_stop,yes,platform,월성원자력사택,2126,공공데이터포털,2020-07-27
35.6966576,129.473198,bus_stop,yes,platform,월성원자력사택,2128,공공데이터포털,2020-07-27
35.69269554,129.4731916,bus_stop,yes,platform,읍천,2132,공공데이터포털,2020-07-27
35.6911448,129.4729183,bus_stop,yes,platform,"읍천,읍천항",2133,공공데이터포털,2020-07-27
35.65157809,129.4479533,bus_stop,yes,platform,지경마을,2149,공공데이터포털,2020-07-27
35.65138024,129.4485609,bus_stop,yes,platform,지경마을,2150,공공데이터포털,2020-07-27
35.68127656,129.4678612,bus_stop,yes,platform,진리,2151,공공데이터포털,2020-07-27
35.68134686,129.4675638,bus_stop,yes,platform,진리,2152,공공데이터포털,2020-07-27
35.67597205,129.4619821,bus_stop,yes,platform,하서,2163,공공데이터포털,2020-07-27
35.67403452,129.4619302,bus_stop,yes,platform,양남중학교,2183,공공데이터포털,2020-07-27
35.67405081,129.4620149,bus_stop,yes,platform,양남중학교,2184,공공데이터포털,2020-07-27
35.68016698,129.4641896,bus_stop,yes,platform,하서2리,2185,공공데이터포털,2020-07-27
35.68948944,129.4739955,bus_stop,yes,platform,읍천항,2186,공공데이터포털,2020-07-27
35.68021634,129.464089,bus_stop,yes,platform,하서2리,2187,공공데이터포털,2020-07-27
35.38359534,129.0504219,bus_stop,yes,platform,고려제강양산공장,2668,공공데이터포털,2020-07-27
35.34291126,129.0339437,bus_stop,yes,platform,양산종합운동장,2811,공공데이터포털,2020-07-27
35.70472134,129.058484,bus_stop,yes,platform,고강리,3018,공공데이터포털,2020-07-27
35.71833665,129.0547827,bus_stop,yes,platform,범곡,3018,공공데이터포털,2020-07-27
35.70376149,129.0587716,bus_stop,yes,platform,고강리,3019,공공데이터포털,2020-07-27
35.74124069,129.0611585,bus_stop,yes,platform,국민청소년수련관,3028,공공데이터포털,2020-07-27
35.74123115,129.0612647,bus_stop,yes,platform,국민청소년수련관,3029,공공데이터포털,2020-07-27
35.76235937,129.0689278,bus_stop,yes,platform,내일2리 소태,3032,공공데이터포털,2020-07-27
35.76251571,129.0690771,bus_stop,yes,platform,내일2리 소태,3033,공공데이터포털,2020-07-27
35.65432884,129.0646002,bus_stop,yes,platform,대현3리A지구 외항,3048,공공데이터포털,2020-07-27
35.65436272,129.0646977,bus_stop,yes,platform,대현3리A지구 외항,3049,공공데이터포털,2020-07-27
35.6640933,129.0589135,bus_stop,yes,platform,대현3리B지구,3050,공공데이터포털,2020-07-27
35.66376015,129.0591702,bus_stop,yes,platform,대현3리B지구,3051,공공데이터포털,2020-07-27
35.66942269,129.0553909,bus_stop,yes,platform,대현3리A지구,3052,공공데이터포털,2020-07-27
35.66935404,129.0553215,bus_stop,yes,platform,대현3리C지구,3053,공공데이터포털,2020-07-27
35.68788555,129.0523472,bus_stop,yes,platform,동골,3061,공공데이터포털,2020-07-27
35.68786894,129.0524627,bus_stop,yes,platform,동골,3062,공공데이터포털,2020-07-27
35.73541936,129.0592064,bus_stop,yes,platform,동편,3065,공공데이터포털,2020-07-27
35.73535981,129.0590446,bus_stop,yes,platform,동편,3066,공공데이터포털,2020-07-27
35.7573136,129.045425,bus_stop,yes,platform,산내정류소,3098,공공데이터포털,2020-07-27
35.75765549,129.0453626,bus_stop,yes,platform,산내정류소,3099,공공데이터포털,2020-07-27
35.75399459,129.0465179,bus_stop,yes,platform,산내초등학교,3100,공공데이터포털,2020-07-27
35.7539335,129.0464607,bus_stop,yes,platform,산내초등학교,3101,공공데이터포털,2020-07-27
35.68084197,129.0506101,bus_stop,yes,platform,삼창농원,3106,공공데이터포털,2020-07-27
35.68082959,129.0507145,bus_stop,yes,platform,삼창농원,3107,공공데이터포털,2020-07-27
35.72837215,129.0582565,bus_stop,yes,platform,서편,3123,공공데이터포털,2020-07-27
35.72838386,129.0580007,bus_stop,yes,platform,서편,3124,공공데이터포털,2020-07-27
35.69243327,129.0571451,bus_stop,yes,platform,윗동골,3194,공공데이터포털,2020-07-27
35.69231154,129.0573012,bus_stop,yes,platform,윗동골,3195,공공데이터포털,2020-07-27
35.67500624,129.051798,bus_stop,yes,platform,윗중리,3198,공공데이터포털,2020-07-27
35.67501566,129.0519059,bus_stop,yes,platform,윗중리,3199,공공데이터포털,2020-07-27
35.73728865,129.0600534,bus_stop,yes,platform,점태골,3208,공공데이터포털,2020-07-27
35.73724901,129.0601492,bus_stop,yes,platform,점태골,3209,공공데이터포털,2020-07-27
35.67336452,129.0525046,bus_stop,yes,platform,정원숯불 중리,3210,공공데이터포털,2020-07-27
35.6733493,129.0524062,bus_stop,yes,platform,정원숯불 중리,3211,공공데이터포털,2020-07-27
35.38374614,129.0499975,bus_stop,yes,platform,고려제강양산공장,3442,공공데이터포털,2020-07-27
35.49963292,129.0886132,bus_stop,yes,platform,세광병원,3666,공공데이터포털,2020-07-27
35.46185791,129.0809252,bus_stop,yes,platform,해운대청소년수련원,4354,공공데이터포털,2020-07-27
35.46199131,129.0807058,bus_stop,yes,platform,해운대청소년수련원,4355,공공데이터포털,2020-07-27
35.48009087,129.0888829,bus_stop,yes,platform,성천마을,4361,공공데이터포털,2020-07-27
35.483317,129.0901613,bus_stop,yes,platform,통도사자비도량,4362,공공데이터포털,2020-07-27
35.33851548,129.0265001,bus_stop,yes,platform,양산역,4414,공공데이터포털,2020-07-27
35.33836479,129.0267405,bus_stop,yes,platform,양산역,4415,공공데이터포털,2020-07-27
35.34390744,129.0352629,bus_stop,yes,platform,구터미널,4420,공공데이터포털,2020-07-27
35.34369303,129.0354113,bus_stop,yes,platform,구터미널,4421,공공데이터포털,2020-07-27
35.34212924,129.0333919,bus_stop,yes,platform,양산종합운동장,4422,공공데이터포털,2020-07-27
35.33954566,129.0316267,bus_stop,yes,platform,서이동,4424,공공데이터포털,2020-07-27
35.33919808,129.0314286,bus_stop,yes,platform,서이동,4425,공공데이터포털,2020-07-27
35.33739745,129.025616,bus_stop,yes,platform,양산역환승센터,4518,공공데이터포털,2020-07-27
35.33726994,129.0258422,bus_stop,yes,platform,양산역환승센터,4519,공공데이터포털,2020-07-27
35.33437148,129.0330496,bus_stop,yes,platform,신도시현대.청어람,4525,공공데이터포털,2020-07-27
