위도,경도,name,name:ko,highway,public_transport
37.106137,128.084908,공전3리입구,공전3리입구,bus_stop,platform
37.092249,128.085387,구곡3리경로당앞,구곡3리경로당앞,bus_stop,platform
37.094171,128.082656,구곡3리 굴탄대교앞,구곡3리 굴탄대교앞,bus_stop,platform
37.100523,128.106413,구곡리,구곡리,bus_stop,platform
37.100523,128.106413,구곡리,구곡리,bus_stop,platform
37.088514,128.102751,구곡리,구곡리,bus_stop,platform
37.088595,128.102549,구곡리,구곡리,bus_stop,platform
37.089999,128.105115,구곡리(구곡1리 마을회관 앞),구곡리(구곡1리 마을회관 앞),bus_stop,platform
37.089999,128.105115,구곡리(구곡1리 마을회관 앞),구곡리(구곡1리 마을회관 앞),bus_stop,platform
37.086732,128.100251,구곡리 ,구곡리 ,bus_stop,platform
37.082281,128.099267,구곡리,구곡리,bus_stop,platform
37.084395,128.102712,구곡리,구곡리,bus_stop,platform
37.084395,128.102712,구곡리 ,구곡리 ,bus_stop,platform
37.15252,128.139371,명도리,명도리,bus_stop,platform
37.152794,128.144021,명도리.작은말입구,명도리.작은말입구,bus_stop,platform
37.157931,128.164094,미당리.대미론입구,미당리.대미론입구,bus_stop,platform
37.154227,128.151128,명도리.화신산업전,명도리.화신산업전,bus_stop,platform
37.153621,128.145982,명도리.미실입구,명도리.미실입구,bus_stop,platform
37.132238,128.120785,행정복지센터(미소치과 앞),행정복지센터(미소치과 앞),bus_stop,platform
37.132156,128.122068,봉양중학교입구,봉양중학교입구,bus_stop,platform
37.132379,128.124151,우체국앞,우체국앞,bus_stop,platform
37.132244,128.123745,하나로마트 건너편,하나로마트 건너편,bus_stop,platform
37.158577,128.112924,구학역,구학역,bus_stop,platform
37.160482,128.109346,베론입구앞,베론입구앞,bus_stop,platform
37.15953,128.083877,베론성지,베론성지,bus_stop,platform
37.173407,128.106944,옥전리,옥전리,bus_stop,platform
37.146768,128.117915,팔송입구,팔송입구,bus_stop,platform
37.13509,128.116468,대산연립입구,대산연립입구,bus_stop,platform
37.135063,128.116591,대산연립입구,대산연립입구,bus_stop,platform
37.163548,128.107797,탁사정유원지,탁사정유원지,bus_stop,platform
37.16335,128.107538,탁사장휴게소,탁사장휴게소,bus_stop,platform
