경도,위도,ref,name,name:en,name:ko,phone,highway,public_transport
35.22125141,126.8283206,2513,동원촌,Dongwonchon,동원촌,+82 62 613 5700,bus_stop,platform
35.218626,126.84211,2534,첨단1동행정복지센터,Cheomdan 1(il)-dong Administration Welfare Center,첨단1동행정복지센터,+82 62 613 5700,bus_stop,platform
35.26986667,126.8294056,196,남계(장성),Namgye (Jangseong),남계(장성),+82 62 613 5700,bus_stop,platform
35.175739,126.7466901,3355,노동,Nodong,노동,+82 62 613 5700,bus_stop,platform
35.27655833,126.8872778,1866,대치,Daechi,대치,+82 62 613 5700,bus_stop,platform
35.17156944,126.9356333,409,두암라인동산아파트,Duam Line Dongsan Apt.,두암라인동산아파트,+82 62 613 5700,bus_stop,platform
35.24446111,126.8637222,2072,월정,Woljeong ,월정,+82 62 613 5700,bus_stop,platform
35.019726,126.828486,1951,매화동(나주),Maehwadong(Naju),매화동(나주),+82 62 613 5700,bus_stop,platform
35.149933,126.933181,579,법원,District Court,법원,+82 62 613 5700,bus_stop,platform
35.18729722,126.7372389,1308,산음,Saneum,산음,+82 62 613 5700,bus_stop,platform
35.17567603,126.8706791,2887,서영대,Seoyeong university,서영대,+82 62 613 5700,bus_stop,platform
35.13603333,126.9085361,2756,석산고,Seoksan High School,석산고,+82 62 613 5700,bus_stop,platform
35.05800556,126.7865167,1787,승촌주택단지,Seungchon Housing Area,승촌주택단지,+82 62 613 5700,bus_stop,platform
35.23963533,126.8936793,3936,대진운수,Daejin Transportation Company,대진운수,+82 62 613 5700,bus_stop,platform
35.24057876,126.895318,3940,용전입구,Yongjeon Entrance,용전입구,+82 62 613 5700,bus_stop,platform
35.14707778,126.89755,1113,월산초교,Wolsan Elementary School,월산초교,+82 62 613 5700,bus_stop,platform
35.06996674,126.8351375,3142,하칠석/고싸움전수관,Hachilseok / Gossaum Training Center,하칠석/고싸움전수관,+82 62 613 5700,bus_stop,platform
35.158585,126.894939,2776,발산교(남),Balsangyo Bridge (South),발산교(남),+82 62 613 5700,bus_stop,platform
35.226362,126.652144,3372,송곡,Songgok,송곡,+82 62 613 5700,bus_stop,platform
35.24619167,126.7784778,3166,선평선창마을입구,Seonpyeong Seonchangmaeul Entrance,선평선창마을입구,+82 62 613 5700,bus_stop,platform
35.13159444,126.9287611,3195,학2마을아파트,Hak 2(i) Village Apt.,학2마을아파트,+82 62 613 5700,bus_stop,platform
35.18860278,126.9052417,766,서산초교,Seosan Elementary School,서산초교,+82 62 613 5700,bus_stop,platform
35.184491,126.675138,828,수성,Suseong,수성,+82 62 613 5700,bus_stop,platform
35.00851389,126.9571806,1081,원지리,Wonji-li,원지리,+82 62 613 5700,bus_stop,platform
35.16195833,126.9802306,2304,충장사(북),Chungjangsa Shrine (North),충장사(북),+82 62 613 5700,bus_stop,platform
35.273815,126.830357,2345,중앙교회,Jungang Church,중앙교회,+82 62 613 5700,bus_stop,platform
35.190757,126.7648001,2051,신봉정,Sinbongjeong,신봉정,+82 62 613 5700,bus_stop,platform
35.244187,126.914817,1878,북초교,Buk Elemetary School,북초교,+82 62 613 5700,bus_stop,platform
35.19659444,126.8021667,222,호남샤니,Honam Shany,호남샤니,+82 62 613 5700,bus_stop,platform
35.18105076,126.9043055,1003,용봉한화꿈에그린,Yongbong Hanwha Dream & Green Apt.,용봉한화꿈에그린,+82 62 613 5700,bus_stop,platform
35.21681111,126.8055611,2910,안청,Ancheong,안청,+82 62 613 5700,bus_stop,platform
35.18274707,126.930973,2958,동광주진입로,East Gwangju IC Access Road,동광주진입로,+82 62 613 5700,bus_stop,platform
35.14920278,126.9433222,2978,지산유원지입구,Jisan Recreation Area Entrance,지산유원지입구,+82 62 613 5700,bus_stop,platform
35.18003056,126.8309972,899,신가사거리,Singa Sageori,신가사거리,+82 62 613 5700,bus_stop,platform
35.13504444,126.91065,2758,수피아여고,Speer Girls' High School,수피아여고,+82 62 613 5700,bus_stop,platform
35.15818377,126.920686,73,광주고/419역사관,GwangJu High School/419 History Hall,광주고/419역사관,+82 62 613 5700,bus_stop,platform
35.12147207,126.8845544,880,신암마을,Sinam Village,신암마을,+82 62 613 5700,bus_stop,platform
35.051625,126.9586444,16,계소리1구,Gyesori District 1,계소리1구,+82 62 613 5700,bus_stop,platform
35.16055833,126.9239306,3029,계림초교후문,Gyerim Elementary School Back Gate,계림초교후문,+82 62 613 5700,bus_stop,platform
35.05436111,126.9764194,2107,화순제일중,Hwasun Jeil Middle School,화순제일중,+82 62 613 5700,bus_stop,platform
35.23895,126.9545583,1901,담양월곡,Damyang Wolgok,담양월곡,+82 62 613 5700,bus_stop,platform
35.19215845,126.937066,3938,보광사,Bogwangsa Temple,보광사,+82 62 613 5700,bus_stop,platform
35.03476389,126.9609194,2060,연화공장,Yeonhwa Factory,연화공장,+82 62 613 5700,bus_stop,platform
35.15638361,126.9109269,2953,대인광장(서),Daein Plaza (West),대인광장(서),+82 62 613 5700,bus_stop,platform
35.22469831,126.840987,2574,과기원,Gwangju Institute of Science and Technology,과기원,+82 62 613 5700,bus_stop,platform
35.122842,126.911688,615,조봉초교,Jobong Elementary School,조봉초교,+82 62 613 5700,bus_stop,platform
35.14840116,126.848689,2876,농협운천지점,Nonghyup Uncheon Branch,농협운천지점,+82 62 613 5700,bus_stop,platform
35.151455,126.840556,948,일가정양립지원본부,work-family Balance Assisttance Center,일가정양립지원본부,+82 62 613 5700,bus_stop,platform
35.15053815,126.7729182,2729,선암,Seonam,선암,+82 62 613 5700,bus_stop,platform
