위도,경도,name,operator,source:date
37.85635,127.7548,성우오스타A,춘천시,2019-11-27
37.85686,127.75944,거두리주공A,춘천시,2019-11-27
37.86255,127.75865,강원지방경찰청,춘천시,2019-11-27
37.86249,127.75844,강원지방경찰청,춘천시,2019-11-27
37.91627,127.78235,지내1리(옥광산입구),춘천시,2019-11-27
37.77665,127.64391,창촌3리입구,춘천시,2019-11-27
37.67885,127.61356,한덕리,춘천시,2019-11-27
37.67707,127.61177,한덕리입구,춘천시,2019-11-27
37.67723,127.61166,한덕리입구,춘천시,2019-11-27
37.68338,127.64644,산수리,춘천시,2019-11-27
37.68636,127.64436,산수리,춘천시,2019-11-27
37.74002,127.83198,부사원리,춘천시,2019-11-27
37.84081,127.55183,서천리입구,춘천시,2019-11-27
37.89606,127.68087,방동2리입구(보건소),춘천시,2019-11-27
37.93028,127.68736,월송1리,춘천시,2019-11-27
37.92309,127.68958,월송2리,춘천시,2019-11-27
37.93602,127.7026,신매1리,춘천시,2019-11-27
37.83739,127.67424,삼악산,춘천시,2019-11-27
37.9112,127.70402,과수원마을입구,춘천시,2019-11-27
37.86915,127.69225,(구)싸이클경기장,춘천시,2019-11-27
37.7703,127.7131,덕만리(혈동1리입구),춘천시,2019-11-27
37.90445,127.78102,동면치안센터,춘천시,2019-11-27
37.77401,127.6729,수동1리,춘천시,2019-11-27
37.84123,127.60993,당림삼거리,춘천시,2019-11-27
37.80294,127.62148,강촌리,춘천시,2019-11-27
37.77328,127.81121,봉명2리,춘천시,2019-11-27
37.7538,127.79596,동산면사무소,춘천시,2019-11-27
37.7538,127.79571,동산면행복센터,춘천시,2019-11-27
37.7677,127.76588,모래재,춘천시,2019-11-27
37.75617,127.81156,조양1리,춘천시,2019-11-27
37.75149,127.82278,부사원고개,춘천시,2019-11-27
37.74303,127.82926,조양3리,춘천시,2019-11-27
37.76066,127.7728,조양4리,춘천시,2019-11-27
37.78604,127.75697,새술막,춘천시,2019-11-27
38.05092,127.60286,오탄리종점,춘천시,2019-11-27
37.96603,127.67464,고탄입구,춘천시,2019-11-27
37.97506,127.59891,눈썰매장입구,춘천시,2019-11-27
37.97769,127.60207,지암리(물레방아민박),춘천시,2019-11-27
37.97951,127.60433,지암리(4),춘천시,2019-11-27
37.98287,127.61625,지암리(3),춘천시,2019-11-27
37.97694,127.62895,가족쉼터,춘천시,2019-11-27
37.98383,127.64462,오월교입구,춘천시,2019-11-27
37.99288,127.72482,고성2리선돌입구,춘천시,2019-11-27
37.99948,127.73634,고성2리,춘천시,2019-11-27
37.99464,127.73537,고성2리용화산,춘천시,2019-11-27
37.99201,127.73377,고성2리매산교앞,춘천시,2019-11-27
