위도,경도,public_transport,bus,name,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.47394,129.04435,platform,yes,쌍용자원개발(무릉방면),,2020-11-24,,,552-3,삼화동,,,
37.47335,129.04391,platform,yes,쌍용자원개발(대동.북평방면),,2020-11-24,,,528,삼화동,,,
37.47683,129.04788,platform,yes,쌍용후문종점(대동.북평방면),,2020-11-24,,,403-5,삼화동,,,
37.47685,129.04776,platform,yes,쌍용후문(무릉방면),,2020-11-24,,,403-6,삼화동,,,
37.55337,129.11958,platform,yes,갈매기횟집(발한.시청방면),,2020-11-24,,,2-260,묵호진동,,,
37.55337,129.1197,platform,yes,갈매기횟집(대진방면),,2020-11-24,,,13-5,묵호진동,,,
37.57088,129.0757,platform,yes,갈전교앞(발한.시청방면),,2020-11-24,,,380-15,만우동,,,
37.57087,129.07562,platform,yes,갈전교앞(만우방면),,2020-11-24,,,380-15,만우동,,,
37.51443,129.12441,platform,yes,평생교육센터(북평.대동방면),,2020-11-24,,,503,용정동,,,
37.51541,129.12438,platform,yes,감추사(시청.발한방면),강원도 동해시 천곡동 산3-3,2020-11-24,,,,천곡동,,,
37.57537,129.0799,platform,yes,동해직업전문학교(발한.시청방면),,2020-11-24,,,291-1,초구동,,,
37.57537,129.07991,platform,yes,동해직업전문학교(만우방면),,2020-11-24,,,291-1,초구동,,,
37.49232,129.10936,platform,yes,건강증진센터(시청방면),,2020-11-24,,,162-58,효가동,,,
37.51481,129.11862,platform,yes,행복드림.경포아파트(북평.대동방면),,2020-11-24,,,981,천곡동,,,
37.51518,129.11872,platform,yes,행복드림아파트(시청.발한방면),,2020-11-24,,,979-7,천곡동,,,
37.53637,129.10305,platform,yes,(구)고속버스터미널(시청.북평방면),,2020-11-24,,,74-14,부곡동,,,
37.53622,129.10357,platform,yes,(구)고속버스터미널(발한.옥계방면),,2020-11-24,,,75-7,부곡동,,,
37.51937,129.0477,platform,yes,비천종점(비천종점),,2020-11-24,,,266,비천동,,,
37.49283,129.1079,platform,yes,북삼농협뒤(대동.북평방면),,2020-11-24,,,467-2,효가동,,,
37.4929,129.1081,platform,yes,북삼농협뒤(한중대방면),,2020-11-24,,,162-53,효가동,,,
37.49017,129.10086,platform,yes,광희고등학교앞(무릉.신흥방면),,2020-11-24,,,354-5,동회동,,,
