위도,경도,public_transport,bus,passenger_information_display,name,ref
34.841966,128.419228,platform,yes,yes,서호시장,1107
34.844978,128.423532,platform,yes,yes,중앙시장,1208
34.855875,128.428549,platform,yes,yes,북신시장,1406
34.855318,128.428779,platform,yes,yes,북신시장,1407
34.845586,128.423601,platform,yes,yes,중앙시장,1207
34.842462,128.422227,platform,yes,yes,문화마당,1210
34.884797,128.417455,platform,yes,yes,시외버스터미널,5056
34.829549,128.423561,platform,yes,yes,도봉새마을금고,1917
34.842857,128.42252,platform,yes,yes,문화마당,1209
34.831621,128.413488,platform,yes,yes,봉평오거리,1816
34.825565,128.402131,platform,yes,yes,경남아파트,1706
34.852537,128.428661,platform,yes,yes,공설운동장,1409
34.860155,128.426784,platform,yes,yes,디지털프라자,1524
34.845276,128.430615,platform,yes,yes,삼성타워,1306
34.840721,128.397219,platform,yes,yes,충무중학교,1619
34.853317,128.429044,platform,yes,yes,북신오거리,1408
34.844672,128.429843,platform,yes,yes,뉴킹할인마트,1305
34.829897,128.420924,platform,yes,yes,동양유전입구,1814
34.844694,128.425117,platform,yes,yes,중앙시장,1201
34.823464,128.415176,platform,yes,yes,봉평주공아파트,1804
34.857412,128.429573,platform,yes,yes,통영축협,1511
34.857522,128.429649,platform,yes,yes,무전새마을금고,1512
34.83023,128.406236,platform,yes,yes,미수동주민센터,1703
34.841489,128.4195,platform,yes,yes,서호시장,1109
34.898641,128.407613,platform,yes,yes,광도농협,5046
34.8776,128.414565,platform,yes,yes,죽림주공아파트,5051
34.864463,128.440989,platform,yes,yes,청구아파트,3077
34.8877,128.465888,platform,yes,yes,충렬여중고,3017
34.801187,128.38796,platform,yes,yes,산양농협,2067
34.902914,128.36086,platform,yes,yes,도산면사무소,4050
34.827703,128.432737,platform,yes,yes,유람선터미널,1907
34.877701,128.417581,platform,yes,yes,한선3차아파트,5063
34.957516,128.41166,platform,yes,yes,임외마을,5021
34.857522,128.429649,platform,yes,yes,외환은행,1525
34.859024,128.43087,platform,yes,yes,수아지오,1521
34.794566,128.383735,platform,yes,yes,삼덕항,2073
34.94798,128.411464,platform,yes,yes,안정마을,5019
34.839481,128.415674,platform,yes,yes,만복아파트,1010
34.83919,128.415146,platform,yes,yes,만복아파트,1011
34.838375,128.412501,platform,yes,yes,윤이상기념관,1012
34.837944,128.410542,platform,yes,yes,두룡초등학교후문,1024
34.849104,128.425785,platform,yes,yes,토성고개,1203
34.8491,128.431518,platform,yes,yes,대우협동빌라,1310
34.869119,128.41639,platform,yes,yes,원문고개,1501
34.859033,128.430764,platform,yes,yes,줌아울렛,1520
34.860301,128.422892,platform,yes,yes,한진로즈힐,1522
34.860512,128.422909,platform,yes,yes,한진로즈힐,1523
34.854939,128.385254,platform,yes,yes,우포마을,1601
34.836799,128.401647,platform,yes,yes,해양과학대학,1612
34.840101,128.399166,platform,yes,yes,한실아파트,1617
34.824012,128.400366,platform,yes,yes,대우상가아파트,1707
34.82217,128.396394,platform,yes,yes,미수휴먼시아,1711
34.828739,128.406282,platform,yes,yes,현대아파트,1718
34.825168,128.415551,platform,yes,yes,천우아파트,1802
34.830985,128.417429,platform,yes,yes,통영고등학교,1812
34.829296,128.425075,platform,yes,yes,통영리승타트플랫폼,1919
34.765272,128.421668,platform,yes,yes,척포,2084
34.802274,128.430904,platform,yes,yes,일운마을,2099
34.893845,128.460821,platform,yes,yes,죽촌마을,3062
34.867298,128.442341,platform,yes,yes,용남면사무소,3075
34.902965,128.36293,platform,yes,yes,도산농협,4052
34.877227,128.413172,platform,yes,yes,농업기술센터입구,5050
34.882985,128.415512,platform,yes,yes,주영팰리스,5054
34.885417,128.41717,platform,yes,yes,시외버스터미널,5057
34.879372,128.41793,platform,yes,yes,한선2차아파트,5060
34.879349,128.412449,platform,yes,yes,향교마을,5065
34.945658,128.413154,platform,yes,yes,성우오스타,5093
34.768384,128.407024,platform,yes,yes,달아마을,2082
34.837165,128.412736,platform,yes,yes,두룡초등학교,1019
34.870353,128.416427,platform,yes,yes,원문마을,5048
34.869437,128.444753,platform,yes,yes,미진이지비아2차,3072
34.848291,128.431858,platform,yes,yes,대우협동빌라,1309
34.790014,128.38943,platform,yes,yes,중화마을,2077
34.826353,128.421081,platform,yes,yes,도남주공아파트,1914
34.779147,128.397375,platform,yes,yes,연명마을,2079
34.831462,128.413551,platform,yes,yes,봉평오거리,1817
34.84656,128.432415,platform,yes,yes,청마문학관입구,1308
34.833399,128.409437,platform,yes,yes,진남초등학교,1716
34.822875,128.398155,platform,yes,yes,미수교회,1709
34.957726,128.417348,platform,yes,yes,임내마을,5023
34.844794,128.425124,platform,yes,yes,중앙시장,1202
34.828412,128.429958,platform,yes,yes,발개삼거리,1923
34.882197,128.413267,platform,yes,yes,죽림마을,5067
34.829609,128.414899,platform,yes,yes,통영중학교,1808
34.851186,128.431592,platform,yes,yes,만복제일맨션,1312
34.845911,128.431087,platform,yes,yes,정량새마을금고,1307
34.801922,128.392861,platform,yes,yes,산양중학교,2058
34.937902,128.423494,platform,yes,yes,예포마을,5013
34.902017,128.395373,platform,yes,yes,상노산,5078
34.839878,128.41764,platform,yes,yes,통영농협,1009
34.851035,128.427306,platform,yes,yes,유영초등학교,1411
34.89428,128.456847,platform,yes,yes,적촌마을,3065
34.82909,128.406183,platform,yes,yes,현대아파트,1719
34.863665,128.420888,platform,yes,yes,새통영병원,1503
34.802133,128.40392,platform,yes,yes,박경리기념관,2063
34.887623,128.416814,platform,yes,yes,조암마을,5073
34.837531,128.40981,platform,yes,yes,충무교입구,1025
