GPSLATI,GPSLONG,ROUTENO,public_transport,bus,ref,name
36.4708162,127.2731717,900,platform,yes,51121,세종고속시외버스터미널(지하)
36.48034,127.26243,900,platform,yes,51048,한솔동
36.48685,127.25785,900,platform,yes,51007,새롬동.나성동
36.4939251,127.2563976,900,platform,yes,51015,다정동
36.5008869,127.2596196,900,platform,yes,52029,정부세종청사남측
36.504176,127.2611617,900,platform,yes,52033,정부세종청사북측
36.5140662,127.259188,900,platform,yes,52008,도담동
36.528653,127.2638902,900,platform,yes,31056,해밀리
36.53377,127.27527,900,platform,yes,31054,한별리
36.533978,127.29214,900,platform,yes,31073,누리리
36.501718,127.328826,900,platform,yes,57027,산학연클러스터
36.498135,127.322785,900,platform,yes,57029,집현리
36.497739,127.312279,900,platform,yes,57023,반곡동(수루배마을)
36.492195,127.304331,900,platform,yes,57025,국책연구단지
36.486842,127.301429,900,platform,yes,57020,법원.검찰청
36.4824576,127.2972683,900,platform,yes,51115,소담동
36.478674,127.288769,900,platform,yes,51112,세종시청.교육청.시의회
36.4756055,127.2816359,900,platform,yes,51110,보람동.대평동
36.472267,127.276406,900,platform,yes,57017,대평동
36.4706404,127.273189,900,platform,yes,51122,세종고속시외버스터미널(지하)
36.472148,127.276445,900,platform,yes,57018,대평동
36.4749413,127.2807336,900,platform,yes,51107,보람동.대평동
36.478356,127.288188,900,platform,yes,51111,세종시청.교육청.시의회
36.4826387,127.2977367,900,platform,yes,51117,소담동
36.487095,127.301744,900,platform,yes,57019,법원.검찰청
36.4913263,127.304,900,platform,yes,57021,국책연구단지
36.497535,127.310959,900,platform,yes,57024,반곡동(수루배마을)
36.497917,127.321985,900,platform,yes,57030,집현리
36.500789,127.328331,900,platform,yes,57028,산학연클러스터
36.5341,127.292158,900,platform,yes,31057,누리리
36.5341,127.27661,900,platform,yes,31053,한별리
36.52963,127.26478,900,platform,yes,31055,해밀리
36.51483,127.25896,900,platform,yes,52009,도담동
36.5050692,127.2615051,900,platform,yes,52036,정부세종청사북측
36.50173,127.25991,900,platform,yes,52030,정부세종청사남측
36.49491,127.25649,900,platform,yes,52018,다정동
36.48771,127.25729,900,platform,yes,51009,새롬동.나성동
36.4810822,127.2617829,900,platform,yes,51049,한솔동
36.4693014,127.2740033,900,platform,yes,51012,세종고속시외버스터미널(지상)
36.4708162,127.2731717,900,platform,yes,51121,세종고속시외버스터미널(지하)
36.48034,127.26243,900,platform,yes,51048,한솔동
36.48685,127.25785,900,platform,yes,51007,새롬동.나성동
36.4939251,127.2563976,900,platform,yes,51015,다정동
36.5008869,127.2596196,900,platform,yes,52029,정부세종청사남측
36.504176,127.2611617,900,platform,yes,52033,정부세종청사북측
36.5140662,127.259188,900,platform,yes,52008,도담동
36.528653,127.2638902,900,platform,yes,31056,해밀리
36.53377,127.27527,900,platform,yes,31054,한별리
36.533978,127.29214,900,platform,yes,31073,누리리
36.501718,127.328826,900,platform,yes,57027,산학연클러스터
36.498135,127.322785,900,platform,yes,57029,집현리
36.497739,127.312279,900,platform,yes,57023,반곡동(수루배마을)
36.492195,127.304331,900,platform,yes,57025,국책연구단지
36.486842,127.301429,900,platform,yes,57020,법원.검찰청
36.4824576,127.2972683,900,platform,yes,51115,소담동
36.478674,127.288769,900,platform,yes,51112,세종시청.교육청.시의회
36.4756055,127.2816359,900,platform,yes,51110,보람동.대평동
36.472267,127.276406,900,platform,yes,57017,대평동
36.469265,127.2738136,900,platform,yes,51011,세종고속시외버스터미널(지상)
36.4693014,127.2740033,900,platform,yes,51012,세종고속시외버스터미널(지상)
36.472148,127.276445,900,platform,yes,57018,대평동
36.4749413,127.2807336,900,platform,yes,51107,보람동.대평동
36.478356,127.288188,900,platform,yes,51111,세종시청.교육청.시의회
36.4826387,127.2977367,900,platform,yes,51117,소담동
36.487095,127.301744,900,platform,yes,57019,법원.검찰청
36.4913263,127.304,900,platform,yes,57021,국책연구단지
36.497535,127.310959,900,platform,yes,57024,반곡동(수루배마을)
36.497917,127.321985,900,platform,yes,57030,집현리
36.500789,127.328331,900,platform,yes,57028,산학연클러스터
36.5341,127.292158,900,platform,yes,31057,누리리
36.5341,127.27661,900,platform,yes,31053,한별리
36.52963,127.26478,900,platform,yes,31055,해밀리
36.51483,127.25896,900,platform,yes,52009,도담동
36.5050692,127.2615051,900,platform,yes,52036,정부세종청사북측
36.50173,127.25991,900,platform,yes,52030,정부세종청사남측
36.49491,127.25649,900,platform,yes,52018,다정동
36.48771,127.25729,900,platform,yes,51009,새롬동.나성동
36.4810822,127.2617829,900,platform,yes,51049,한솔동
36.4706404,127.273189,900,platform,yes,51122,세종고속시외버스터미널(지하)
36.469265,127.2738136,900,platform,yes,51011,세종고속시외버스터미널(지상)
36.39142,127.31514,990,platform,yes,60005,반석역
36.4693014,127.2740033,990,platform,yes,51012,세종고속시외버스터미널(지상)
36.4708162,127.2731717,990,platform,yes,51121,세종고속시외버스터미널(지하)
36.48034,127.26243,990,platform,yes,51048,한솔동
36.48685,127.25785,990,platform,yes,51007,새롬동.나성동
36.4939251,127.2563976,990,platform,yes,51015,다정동
36.5008869,127.2596196,990,platform,yes,52029,정부세종청사남측
36.504176,127.2611617,990,platform,yes,52033,정부세종청사북측
36.5140662,127.259188,990,platform,yes,52008,도담동
36.528653,127.2638902,990,platform,yes,31056,해밀리
36.53377,127.27527,990,platform,yes,31054,한별리
36.533978,127.29214,990,platform,yes,31073,누리리
36.61931,127.3286,990,platform,yes,13012,오송역
36.61931,127.3286,990,platform,yes,13012,오송역
36.5341,127.292158,990,platform,yes,31057,누리리
36.5341,127.27661,990,platform,yes,31053,한별리
36.52963,127.26478,990,platform,yes,31055,해밀리
36.51483,127.25896,990,platform,yes,52009,도담동
36.5050692,127.2615051,990,platform,yes,52036,정부세종청사북측
36.50173,127.25991,990,platform,yes,52030,정부세종청사남측
36.49491,127.25649,990,platform,yes,52018,다정동
36.48771,127.25729,990,platform,yes,51009,새롬동.나성동
36.4810822,127.2617829,990,platform,yes,51049,한솔동
36.4706404,127.273189,990,platform,yes,51122,세종고속시외버스터미널(지하)
36.469265,127.2738136,990,platform,yes,51011,세종고속시외버스터미널(지상)
36.39155,127.31487,990,platform,yes,60006,반석역
36.39142,127.31514,1004,platform,yes,60005,반석역
36.4689905,127.2735878,1004,platform,yes,51052,세종고속시외버스터미널
36.47821,127.26117,1004,platform,yes,51038,첫마을3단지
36.47538,127.25558,1004,platform,yes,51046,한솔중학교(첫마을7단지)
36.47542,127.25308,1004,platform,yes,51044,첫마을6단지
36.4777,127.25004,1004,platform,yes,51043,첫마을5단지
36.47998,127.25203,1004,platform,yes,51041,첫마을4단지
36.4825015,127.2535174,1004,platform,yes,51129,"새뜸마을5,8단지"
36.4858496,127.2508553,1004,platform,yes,51127,새롬동커뮤니티센터
36.48844,127.250695,1004,platform,yes,51136,"새뜸마을7,10단지"
36.4912295,127.2498109,1004,platform,yes,51125,"가온마을4,7단지"
36.495506,127.249035,1004,platform,yes,61022,다정동커뮤니티센터
36.4986116,127.2491786,1004,platform,yes,61028,"가온마을6,9단지"
36.5004747,127.2498627,1004,platform,yes,53034,"가재마을5,8단지"
36.5043789,127.2501706,1004,platform,yes,53043,가재마을11단지
36.5083875,127.2499679,1004,platform,yes,52043,범지기마을4단지
36.5125038,127.2504125,1004,platform,yes,51074,"범지기마을8,12단지"
36.5153587,127.2511516,1004,platform,yes,51075,아름초등학교
36.5185438,127.2524761,1004,platform,yes,51076,범지기마을10단지
36.5190968,127.2483697,1004,platform,yes,53014,범지기마을10단지북측
36.5190031,127.2445558,1004,platform,yes,53012,"범지기마을3,9단지"
36.5201811,127.2411119,1004,platform,yes,53010,가락마을22단지
36.5202479,127.2366049,1004,platform,yes,53037,고운동커뮤니티센터북측
36.5198521,127.2349532,1004,platform,yes,53021,"가락마을17,18단지"
36.5173734,127.2311308,1004,platform,yes,53023,두루고등학교
36.5134794,127.2293797,1004,platform,yes,53025,"가락마을10,13단지"
36.5105636,127.2296299,1004,platform,yes,53028,"가락마을9,11단지"
36.5070383,127.231468,1004,platform,yes,53030,으뜸초등학교
36.5043276,127.2347772,1004,platform,yes,53032,고운동커뮤니티센터남측
36.500435,127.235985,1004,platform,yes,53053,고운동(만남로)
36.4992393,127.2290775,1004,platform,yes,35072,봉안리(다름고개)
36.49892,127.22398,1004,platform,yes,35015,봉안리
36.50061,127.21556,1004,platform,yes,35018,봉안리(부일가든)
36.50109,127.21121,1004,platform,yes,35012,대교리
36.4991636,127.2080709,1004,platform,yes,35082,장군면복지회관
36.49714,127.20531,1004,platform,yes,35046,장군면사무소
36.495592,127.203518,1004,platform,yes,35102,장기중학교후문
36.495617,127.203627,1004,platform,yes,35103,장기중학교후문
36.49684,127.20511,1004,platform,yes,35047,장군면사무소
36.4990494,127.2081953,1004,platform,yes,35083,장군면복지회관
36.50069,127.21053,1004,platform,yes,35011,대교리
36.50016,127.21592,1004,platform,yes,35017,봉안리(부일가든)
36.4990546,127.2213088,1004,platform,yes,35064,봉안리
36.4990185,127.2291006,1004,platform,yes,35016,봉안리(다름고개)
36.501134,127.236316,1004,platform,yes,53052,고운동(만남로)
36.5042791,127.2352687,1004,platform,yes,53031,고운동커뮤니티센터남측
36.5071605,127.2317021,1004,platform,yes,53029,으뜸초등학교
36.5106813,127.229892,1004,platform,yes,53027,"가락마을9,11단지"
36.513498,127.2296588,1004,platform,yes,53026,"가락마을10,13단지"
36.5172342,127.2313602,1004,platform,yes,53024,두루고등학교
36.5195996,127.2349373,1004,platform,yes,53022,"가락마을17,18단지"
36.5200092,127.2366895,1004,platform,yes,53036,고운동커뮤니티센터북측
36.5200447,127.2405762,1004,platform,yes,53009,가락마을22단지
36.518782,127.2444672,1004,platform,yes,53011,"범지기마을3,9단지"
36.5189898,127.2489006,1004,platform,yes,53013,범지기마을10단지북측
36.51879,127.25226,1004,platform,yes,52020,범지기마을10단지
36.5147,127.25062,1004,platform,yes,52025,아름초등학교
36.51045,127.2498,1004,platform,yes,52047,"범지기마을6,11단지"
36.50648333,127.2496233,1004,platform,yes,51057,"가재마을7,12단지"
36.5009207,127.2497831,1004,platform,yes,53035,"가재마을5,8단지"
36.498607,127.24896,1004,platform,yes,61021,"가온마을6,9단지"
36.494341,127.248799,1004,platform,yes,61023,다정동커뮤니티센터
36.4915533,127.2494805,1004,platform,yes,61046,"가온마을4,7단지"
36.4898819,127.2499045,1004,platform,yes,51126,"새뜸마을7,10단지"
36.4851331,127.2509413,1004,platform,yes,51128,새롬동커뮤니티센터
36.4823928,127.2532777,1004,platform,yes,51130,"새뜸마을5,8단지"
36.48019,127.2516,1004,platform,yes,51040,첫마을4단지
36.47762,127.24973,1004,platform,yes,51042,첫마을5단지
36.47503,127.25326,1004,platform,yes,51045,첫마을6단지
36.47491,127.2557,1004,platform,yes,51047,한솔중학교(첫마을7단지)
36.478,127.26135,1004,platform,yes,51039,첫마을3단지
36.46881,127.2735046,1004,platform,yes,51053,세종고속시외버스터미널
36.39155,127.31487,1004,platform,yes,60006,반석역
36.39142,127.31514,1005,platform,yes,60005,반석역
36.4689905,127.2735878,1005,platform,yes,51052,세종고속시외버스터미널
36.4812897,127.2618716,1005,platform,yes,51037,한솔동(첫마을)
36.48385,127.2592,1005,platform,yes,51034,첫마을1단지
36.4804553,127.249332,1005,platform,yes,61039,새롬중학교(새뜸마을1단지)
36.4828783,127.2461704,1005,platform,yes,61054,"새뜸마을1,2단지"
36.4854282,127.2455481,1005,platform,yes,61033,"가득초등학교(새뜸마을3,4단지)"
