위도,경도,public_transport,bus,operator,name,passenger_information_display
37.7346833,127.0480333,platform,yes,경기도 의정부시,의정부3동우체국,yes
37.70765,127.0483333,platform,yes,경기도 의정부시,장수원.신한대학교,yes
37.7279,127.05945,platform,yes,경기도 의정부시,장암주공5단지앞,yes
37.7279,127.05945,platform,yes,경기도 의정부시,장암주공5단지앞,yes
37.7297333,127.0564167,platform,yes,경기도 의정부시,동신현대.한일삼익아파트,yes
37.73135,127.0572167,platform,yes,경기도 의정부시,신곡1동행정복지센터.신곡1동우체국,yes
37.7303333,127.0593333,platform,yes,경기도 의정부시,서해아파트,yes
37.7306,127.0588833,platform,yes,경기도 의정부시,서해.한일.삼익아파트,yes
37.7274,127.0599833,platform,yes,경기도 의정부시,장암주공5단지.한국.풍림아파트,yes
37.7264833,127.05885,platform,yes,경기도 의정부시,장암주공2.5단지,yes
37.7265167,127.0556,platform,yes,경기도 의정부시,장암동주민센터.발곡중학교,yes
37.7260167,127.0497833,platform,yes,경기도 의정부시,호원중앙감리교회,yes
37.7312167,127.0478667,platform,yes,경기도 의정부시,의정부3동주민센터입구,yes
37.7353167,127.0497167,platform,yes,경기도 의정부시,가구거리.경의초등학교,yes
37.7476333,127.0452833,platform,yes,경기도 의정부시,가능역.성베드로병원,yes
37.7514,127.0441,platform,yes,경기도 의정부시,가재울교차로.일신건영휴먼빌아파트,yes
37.7532,127.0435167,platform,yes,경기도 의정부시,대원여객,yes
37.7644167,127.04365,platform,yes,경기도 의정부시,비석거리,yes
37.7601833,127.0431167,platform,yes,경기도 의정부시,녹양역,yes
37.75565,127.0433167,platform,yes,경기도 의정부시,대원여객차고.양지마을입구,yes
37.7516,127.0443,platform,yes,경기도 의정부시,가재울교차로.일신건영휴먼빌아파트,yes
37.7481333,127.0454667,platform,yes,경기도 의정부시,가능역.성베드로병원,yes
37.74385,127.0503,platform,yes,경기도 의정부시,의정부부대찌개거리.중앙역,yes
37.7424167,127.0466667,platform,yes,경기도 의정부시,의정부경찰서앞,yes
37.74545,127.0458667,platform,yes,경기도 의정부시,경기북부보훈지청,yes
37.7448667,127.0347333,platform,yes,경기도 의정부시,흥선광장,yes
37.74105,127.0517,platform,yes,경기도 의정부시,구터미널,yes
37.7371833,127.05645,platform,yes,경기도 의정부시,신곡교,yes
37.7359,127.0622833,platform,yes,경기도 의정부시,의정부초교.신곡동신일아파트,yes
37.7371167,127.0706167,platform,yes,경기도 의정부시,신곡현대아파트,yes
37.7356833,127.0744833,platform,yes,경기도 의정부시,동국대사범부속영석고등학교,yes
37.73365,127.0801667,platform,yes,경기도 의정부시,용현주공아파트.306보충대,yes
37.7308167,127.0846833,platform,yes,경기도 의정부시,만가대.솔뫼중학교,yes
37.7201333,127.1019833,platform,yes,경기도 의정부시,고산동.빼뻘,yes
37.71465,127.10435,platform,yes,경기도 의정부시,검은돌,yes
37.71585,127.1037167,platform,yes,경기도 의정부시,검은돌,yes
37.7199667,127.1017167,platform,yes,경기도 의정부시,고산동.빼뻘,yes
37.7352667,127.0750667,platform,yes,경기도 의정부시,동국대사범부속영석고등학교,yes
37.7235833,127.0482667,platform,yes,경기도 의정부시,회룡역,yes
37.7186,127.0474333,platform,yes,경기도 의정부시,자동차검사소.한주아파트,yes
37.7166667,127.0473833,platform,yes,경기도 의정부시,회룡중학교,yes
37.7138333,127.0473667,platform,yes,경기도 의정부시,안말.병무청.호원예비군훈련장앞,yes
37.70545,127.0482333,platform,yes,경기도 의정부시,호원고교.호암초교,yes
37.7029,127.0477833,platform,yes,경기도 의정부시,롯데.신도아파트,yes
37.6947833,127.0451667,platform,yes,경기도 의정부시,다락원.서울도솔학교앞,yes
37.6947,127.0447667,platform,yes,경기도 의정부시,다락원.서울도솔학교앞,yes
37.7024667,127.04745,platform,yes,경기도 의정부시,롯데.신도아파트,yes
37.7052333,127.0479167,platform,yes,경기도 의정부시,호원고교.호암초교,yes
37.70785,127.0480167,platform,yes,경기도 의정부시,장수원.신한대학교,yes
37.7127833,127.04725,platform,yes,경기도 의정부시,안말.병무청.호원예비군훈련장,yes
37.7165,127.0471,platform,yes,경기도 의정부시,회룡중학교,yes
37.7186333,127.04715,platform,yes,경기도 의정부시,자동차검사소.한주아파트,yes
37.72095,127.0474167,platform,yes,경기도 의정부시,호원동.한주3.4차아파트,yes
37.72365,127.0479833,platform,yes,경기도 의정부시,회룡역,yes
37.7393667,127.0347,platform,yes,경기도 의정부시,의정부시청.세무서,yes
37.7416333,127.03455,platform,yes,경기도 의정부시,흥선청소년문화의집.흥선교앞,yes
37.7545333,127.03215,platform,yes,경기도 의정부시,의정부고등학교.법원.검찰청,yes
37.7570167,127.0332333,platform,yes,경기도 의정부시,녹양힐스테이트아파트앞,yes
37.7584833,127.0341667,platform,yes,경기도 의정부시,녹양현대아파트,yes
37.7619833,127.0343667,platform,yes,경기도 의정부시,본동입구,yes
37.7503333,127.042,platform,yes,경기도 의정부시,의정부여자고등학교후문,yes
37.7501833,127.03805,platform,yes,경기도 의정부시,가능1동주민센터.sk뷰아파트,yes
37.7430333,127.0591,platform,yes,경기도 의정부시,신곡중학교,yes
37.7415667,127.05935,platform,yes,경기도 의정부시,신곡초교,yes
37.7399833,127.0572833,platform,yes,경기도 의정부시,추동아파트,yes
37.73285,127.0588,platform,yes,경기도 의정부시,의암교회,yes
37.7321167,127.05855,platform,yes,경기도 의정부시,의암교회앞,yes
37.7400167,127.0568333,platform,yes,경기도 의정부시,신동초.신동아파밀리에아파트앞,yes
37.7411667,127.0583,platform,yes,경기도 의정부시,은하수아파트,yes
37.7427,127.0591667,platform,yes,경기도 의정부시,신곡중학교,yes
37.7346167,127.0494167,platform,yes,경기도 의정부시,가구거리.경의초등학교,yes
37.7435,127.049,platform,yes,경기도 의정부시,의정부부대찌개거리.중앙역,yes
37.7505333,127.0642167,platform,yes,경기도 의정부시,천보중학교.금오주공그린빌아파트,yes
37.7501667,127.06525,platform,yes,경기도 의정부시,천보중학교,yes
37.7521333,127.0729833,platform,yes,경기도 의정부시,금오주공3단지,yes
37.7518333,127.0771,platform,yes,경기도 의정부시,효자중.고등학교.상록아파트,yes
37.7518167,127.07675,platform,yes,경기도 의정부시,효자중.고등학교.상록아파트,yes
37.7519833,127.07305,platform,yes,경기도 의정부시,금오주공3단지,yes
37.7513833,127.07125,platform,yes,경기도 의정부시,홈플러스,yes
37.7504333,127.0673333,platform,yes,경기도 의정부시,금오현대아이파크아파트,yes
37.7502167,127.064,platform,yes,경기도 의정부시,천보중학교.금오주공그린빌아파트,yes
37.7383833,127.0390667,platform,yes,경기도 의정부시,의정부2동우체국,yes
37.7384833,127.04215,platform,yes,경기도 의정부시,의정부역.서부광장,yes
37.73305,127.09035,platform,yes,경기도 의정부시,송산주공4단지,yes
37.7402,127.0958333,platform,yes,경기도 의정부시,민락중학교,yes
37.7412167,127.0898167,platform,yes,경기도 의정부시,충의중학교,yes
37.7409833,127.0868333,platform,yes,경기도 의정부시,송산주공7단지,yes
37.7433333,127.0918167,platform,yes,경기도 의정부시,송현고등학교.장애인종합복지관,yes
37.7422667,127.0972167,platform,yes,경기도 의정부시,산들마을4단지,yes
37.7392333,127.0960833,platform,yes,경기도 의정부시,민락주공2단지,yes
37.7395667,127.0433167,platform,yes,경기도 의정부시,의정부2동주민센터,yes
37.7381667,127.0422667,platform,yes,경기도 의정부시,의정부역.서부광장,yes
37.7380167,127.0376333,platform,yes,경기도 의정부시,신도아크라티움.농협,yes
37.7416667,127.09675,platform,yes,경기도 의정부시,산들마을4단지,yes
37.7427667,127.0944833,platform,yes,경기도 의정부시,민락초등학교,yes
37.7411,127.0939333,platform,yes,경기도 의정부시,산들마을1단지동문,yes
37.74075,127.0922167,platform,yes,경기도 의정부시,산들마을1단지남문,yes
37.7424333,127.0912833,platform,yes,경기도 의정부시,송현고등학교,yes
37.7443833,127.0844333,platform,yes,경기도 의정부시,의정부고용노동지청.동부보건지소,yes
37.7476,127.0814,platform,yes,경기도 의정부시,송산주공1.9단지,yes
37.7489333,127.0719667,platform,yes,경기도 의정부시,경기도청북부청사,yes
37.74865,127.0707833,platform,yes,경기도 의정부시,경기도청북부청사,yes
37.7471833,127.06395,platform,yes,경기도 의정부시,의정부우체국,yes
37.7508833,127.0774833,platform,yes,경기도 의정부시,효자중.고등학교,yes
37.7482833,127.08105,platform,yes,경기도 의정부시,송산주공1.9단지,yes
37.7438833,127.0849,platform,yes,경기도 의정부시,의정부고용노동지청.동부보건지소,yes
37.7443,127.0881667,platform,yes,경기도 의정부시,송산주공2.5단지,yes
37.7408667,127.0925167,platform,yes,경기도 의정부시,산들마을1단지남문,yes
37.7414833,127.0471833,platform,yes,경기도 의정부시,의정부역.농협앞,yes
37.7344333,127.04775,platform,yes,경기도 의정부시,의정부3동우체국,yes
37.7588833,127.0346167,platform,yes,경기도 의정부시,녹양현대아파트,yes
37.7565167,127.0329167,platform,yes,경기도 의정부시,녹양힐스테이트아파트앞,yes
37.7367833,127.0705167,platform,yes,경기도 의정부시,신곡현대아파트,yes
37.7356667,127.0623833,platform,yes,경기도 의정부시,한일유앤아이아파트,yes
37.7356833,127.0608667,platform,yes,경기도 의정부시,의정부초등학교,yes
37.73725,127.0555667,platform,yes,경기도 의정부시,신곡교,yes
37.7391833,127.05155,platform,yes,경기도 의정부시,시장앞,yes
37.74305,127.0576,platform,yes,경기도 의정부시,은하수아파트.신곡2동주민센터,yes
37.7452,127.0600167,platform,yes,경기도 의정부시,극동.동성아파트,yes
37.7424667,127.0514333,platform,yes,경기도 의정부시,구터미널,yes
37.7474833,127.0571,platform,yes,경기도 의정부시,신도.아남아파트,yes
37.7508167,127.0614333,platform,yes,경기도 의정부시,꽃동네입구,yes
37.7537833,127.0678333,platform,yes,경기도 의정부시,금오초등학교,yes
37.7559167,127.0741833,platform,yes,경기도 의정부시,세아아파트.거성아파트.벽산아파트,yes
37.7566167,127.0765667,platform,yes,경기도 의정부시,의정부면허시험장,yes
37.7573333,127.07895,platform,yes,경기도 의정부시,의정부성모병원,yes
37.7622,127.0885,platform,yes,경기도 의정부시,금곡교,yes
37.7655,127.0942,platform,yes,경기도 의정부시,자일동마을회관.환경자원센터,yes
37.7673833,127.09745,platform,yes,경기도 의정부시,본자일입구,yes
37.767,127.0973,platform,yes,경기도 의정부시,본자일입구,yes
37.76495,127.0937833,platform,yes,경기도 의정부시,자일동마을회관.환경자원센터,yes
37.7572333,127.0790167,platform,yes,경기도 의정부시,의정부성모병원,yes
37.75655,127.0767167,platform,yes,경기도 의정부시,의정부면허시험장,yes
37.7557,127.0738167,platform,yes,경기도 의정부시,세아아파트.거성아파트.벽산아파트,yes
37.7536833,127.068,platform,yes,경기도 의정부시,금오초등학교,yes
37.7503,127.0613667,platform,yes,경기도 의정부시,꽃동네입구,yes
37.7467333,127.0568667,platform,yes,경기도 의정부시,의정부시외버스터미널,yes
37.7386,127.0518,platform,yes,경기도 의정부시,시장앞,yes
37.7381,127.0493833,platform,yes,경기도 의정부시,한화생명입구,yes
37.7448,127.0547167,platform,yes,경기도 의정부시,의정부시외버스터미널,yes
37.72655,127.0943667,platform,yes,경기도 의정부시,의정부교도소,yes
37.7439667,127.03455,platform,yes,경기도 의정부시,흥선광장,yes
37.7487167,127.0562333,platform,yes,경기도 의정부시,금오중학교,yes
37.7468,127.0424333,platform,yes,경기도 의정부시,의정부여고.가능역,yes
37.7466,127.0361,platform,yes,경기도 의정부시,가능초등학교,yes
37.74615,127.0552667,platform,yes,경기도 의정부시,버스터미널.신도브래뉴아파트,yes
37.7552833,127.0749667,platform,yes,경기도 의정부시,세아.거성.벽산아파트,yes
37.7521667,127.0702333,platform,yes,경기도 의정부시,홈플러스,yes
37.7497833,127.0710167,platform,yes,경기도 의정부시,경기도청북부청사.경전철역,yes
