위도,경도,public_transport,bus,passenger_information_display,name,주소,addr:full
35.979494,126.719953,platform,yes,yes,해동가축병원,전라북도 군산시 장재동 200-5 도로,전라북도 군산시중앙로 61 
35.966039,126.715878,platform,yes,yes,롯데마트 앞,전라북도 군산시 수송동 831-7,전라북도 군산시월명로 248 
35.965389,126.710593,platform,yes,yes,시립도서관 앞,전라북도 군산시 나운동 1536-6,전라북도 군산시서수송안1길 12 
35.969421,126.684896,platform,yes,yes,동아아파트 앞,전라북도 군산시 소룡동 1513-2,전라북도 군산시동아로 160 
35.976304,126.723379,platform,yes,yes,팔마광장 앞,전라북도 군산시 대명동 388-11,전라북도 군산시중앙로 14 
35.987098,126.711642,platform,yes,yes,중앙사거리 앞,전라북도 군산시 중앙로1가 12-4,전라북도 군산시대학로 34
35.94865,126.685391,platform,yes,yes,군산대 후문,전라북도 군산시 미룡동 455-5 전,전라북도 군산시대학로 525
35.96057,126.699384,platform,yes,yes,한울아파트,전라북도 군산시 나운동 158 도로,전라북도 군산시하나운로 18 
35.963406,126.693499,platform,yes,yes,나운지구대,전라북도 군산시 나운동 874 도로,전라북도 군산시대학로 342 
35.984366,126.709657,platform,yes,yes,명산사거리(아름다운가게),전라북도 군산시 명산동 23-7 도로,전라북도 군산시대학로 65
35.986015,126.713836,platform,yes,yes,중앙로(우리문고앞),전라북도 군산시 중앙로 1가 25-17 도로,전라북도 군산시중앙로 149 
35.968368,126.705832,platform,yes,yes,신흥초등학교,전라북도 군산시 나운동 45-6 도로,전라북도 군산시백토로 119 
35.945584,126.811575,platform,yes,yes,대야현대슈퍼,전라북도 군산시 대야면 지경리 726-20,전라북도 군산시백마길 5
35.976352,126.724259,platform,yes,yes,팔마광장터미널(관광호텔앞),전라북도 군산시 경장동 462-2,전라북도 군산시해망로 14 
35.981566,126.734778,platform,yes,yes,E-마트,전라북도 군산시 경암동 579-20,전라북도 군산시구암3.1로 137 
35.976884,126.724141,platform,yes,yes,시외버스터미널건너편,전라북도 군산시 대명동 388-29,전라북도 군산시해망로 13-1 
35.983072,126.708616,platform,yes,yes,명산사거리2,전라북도 군산시 금광동 164-18,전라북도 군산시동국사길 9
35.969263,126.697249,platform,yes,yes,KT앞(전북은행)임시요금제상향,전라북도 군산시 나운동 766-11,전라북도 군산시대학로 268 
35.95899,126.698783,platform,yes,yes,신일아파트,전라북도 군산시 나운동 159,전라북도 군산시의료원로 163 
35.961274,126.70558,platform,yes,yes,예술회관사거리,전라북도 군산시 지곡동 286-4,전라북도 군산시백토로 203 
35.970626,126.715702,platform,yes,yes,수송현대아파트,전라북도 군산시 수송동 430-32,전라북도 군산시월명로 298 
35.979868,126.718165,platform,yes,yes,미원동사거리,전라북도 군산시 중앙로 3가 156-25,전라북도 군산시미원로 124-1
35.974255,126.725439,platform,yes,yes,구장미장여관,전라북도 군산시 경장동 469-2,전라북도 군산시번영로 20
