철도운영기관명,선명,역명,경도,위도
의정부경전철,의정부,발곡,127.052803,37.727048
의정부경전철,의정부,범골,127.04353,37.728755
의정부경전철,의정부,경전철의정부,127.043257,37.737202
의정부경전철,의정부,의정부시청,127.034781,37.739256
의정부경전철,의정부,흥선,127.037023,37.743302
의정부경전철,의정부,의정부중앙,127.049565,37.743676
의정부경전철,의정부,동오,127.056947,37.745271
의정부경전철,의정부,새말,127.06362,37.748885
의정부경전철,의정부,경기도청북부청사,127.071495,37.75059
의정부경전철,의정부,효자,127.076902,37.754025
의정부경전철,의정부,곤제,127.083715,37.750471
의정부경전철,의정부,어룡(용현산업단지),127.085035,37.742802
의정부경전철,의정부,송산,127.087159,37.737279
의정부경전철,의정부,탑석,127.088704,37.733579
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
