철도운영기관명,선명,역명,경도,위도
부산교통공사,4호선,미남,129.06868,35.20643
부산교통공사,4호선,동래,129.07861,35.20556
부산교통공사,4호선,수안,129.08378,35.20183
부산교통공사,4호선,낙민,129.09078,35.20025
부산교통공사,4호선,충렬사(안락),129.09764,35.19986
부산교통공사,4호선,명장,129.10161,35.20503
부산교통공사,4호선,서동,129.10769,35.21331
부산교통공사,4호선,금사,129.11517,35.21583
부산교통공사,4호선,반여농산물시장,129.12397,35.21778
부산교통공사,4호선,석대,129.13717,35.21825
부산교통공사,4호선,영산대(아랫반송),129.14617,35.22578
부산교통공사,4호선,동부산대학(윗반송),129.15403,35.2325
부산교통공사,4호선,고촌,129.1605,35.23603
부산교통공사,4호선,안평(고촌주택단지),129.17183,35.23733
