철도운영기관명,선명,역명,경도,위도
서울교통공사,8호선,암사,127.127562,37.55021
서울교통공사,8호선,천호,127.123572,37.538397
서울교통공사,8호선,강동구청,127.120508,37.530341
서울교통공사,8호선,몽촌토성(평화의문),127.112359,37.517409
서울교통공사,2호선,잠실,127.102234,37.51395
서울교통공사,8호선,석촌,127.106979,37.505431
서울교통공사,8호선,송파,127.112183,37.499703
서울교통공사,8호선,가락시장,127.118234,37.492522
서울교통공사,8호선,문정,127.1225,37.485855
서울교통공사,8호선,장지,127.126191,37.478703
서울교통공사,8호선,복정,127.126662,37.470047
서울교통공사,8호선,산성,127.149908,37.457122
서울교통공사,8호선,남한산성입구(성남법원·검찰청),127.159816,37.451535
서울교통공사,8호선,단대오거리,127.156866,37.44521
서울교통공사,8호선,신흥,127.147564,37.440918
서울교통공사,8호선,수진,127.140722,37.437428
서울교통공사,8호선,모란,127.129087,37.43213
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
