철도운영기관명,선명,역명,경도,위도
코레일,수인,달월,126.745177,37.379681
코레일,수인,월곶,126.742699,37.391769
코레일,수인,소래포구,126.733522,37.40095
코레일,수인,인천논현,126.722478,37.400614
코레일,수인,호구포,126.708627,37.401637
코레일,수인,남동인더스파크,126.695216,37.407722
코레일,수인,원인재,126.687389,37.412603
코레일,수인,연수,126.67894,37.417804
코레일,수인,송도,126.657772,37.428514
코레일,수인,신포,126.623853,37.46874
코레일,수인,인하대,126.649619,37.448493
코레일,수인,숭의(인하대병원),126.638297,37.460789
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
