위도,경도,ref,name,name:ko,highway,public_transport
38.14476,127.2637,4320110,와수리차고지,와수리차고지,bus_stop,platform
38.14575,127.25949,4320109,김화여중고,김화여중고,bus_stop,platform
38.1484,127.2524,4320250,학사리,학사리,bus_stop,platform
38.14955,127.25158,4320107,김화읍사무소,김화읍사무소,bus_stop,platform
38.15124,127.24851,4320094,김화초등학교,김화초등학교,bus_stop,platform
38.15144,127.24264,4320096,학사4리,학사4리,bus_stop,platform
38.15153,127.23594,4320293,연대앞,연대앞,bus_stop,platform
38.15124,127.23225,4320283,청양아파트,청양아파트,bus_stop,platform
38.15017,127.22539,4320099,청양6리,청양6리,bus_stop,platform
38.1499,127.21246,4320294,동송레미콘,동송레미콘,bus_stop,platform
38.16032,127.2127,4320298,도창초등학교,도창초등학교,bus_stop,platform
38.16182,127.21242,4320101,도창리,도창리,bus_stop,platform
38.16414,127.2134,4320301,3초소,3초소,bus_stop,platform
38.17002,127.21922,4320302,물꾸미소대,물꾸미소대,bus_stop,platform
38.17863,127.22535,4320304,수색중대,수색중대,bus_stop,platform
38.18228,127.23827,4320103,유곡리,유곡리,bus_stop,platform
38.17865,127.22521,4320305,수색중대,수색중대,bus_stop,platform
38.17015,127.21928,4320303,물꾸미소대,물꾸미소대,bus_stop,platform
38.16419,127.21326,4320300,3초소,3초소,bus_stop,platform
38.16179,127.21227,4320102,도창리,도창리,bus_stop,platform
38.16031,127.2126,4320299,도창초등학교,도창초등학교,bus_stop,platform
38.14979,127.2124,4320295,동송레미콘,동송레미콘,bus_stop,platform
38.1501,127.22542,4320100,청양6리,청양6리,bus_stop,platform
38.1511,127.23229,4320098,청양아파트,청양아파트,bus_stop,platform
38.15135,127.23594,4320292,연대앞,연대앞,bus_stop,platform
38.15136,127.24264,4320097,학사4리,학사4리,bus_stop,platform
38.15119,127.24845,4320095,김화초등학교,김화초등학교,bus_stop,platform
38.14953,127.25148,4320106,김화읍사무소,김화읍사무소,bus_stop,platform
38.14834,127.2523,4320282,학사리,학사리,bus_stop,platform
38.14566,127.25945,4320108,김화여중고,김화여중고,bus_stop,platform
38.14476,127.2637,4320110,와수리차고지,와수리차고지,bus_stop,platform
38.14476,127.2637,4320110,와수리차고지,와수리차고지,bus_stop,platform
38.14575,127.25949,4320109,김화여중고,김화여중고,bus_stop,platform
38.1484,127.2524,4320250,학사리,학사리,bus_stop,platform
38.16867,127.27103,4320104,생창리마을회관,생창리마을회관,bus_stop,platform
38.17223,127.27247,4320241,생창리,생창리,bus_stop,platform
38.16869,127.27094,4320105,생창리마을회관,생창리마을회관,bus_stop,platform
38.14834,127.2523,4320282,학사리,학사리,bus_stop,platform
38.14566,127.25945,4320108,김화여중고,김화여중고,bus_stop,platform
38.14476,127.2637,4320110,와수리차고지,와수리차고지,bus_stop,platform
38.14476,127.2637,4320110,와수리차고지,와수리차고지,bus_stop,platform
38.14347,127.26306,4320393,와수리,와수리,bus_stop,platform
38.13878,127.25964,4320153,와수4리(구변동),와수4리(구변동),bus_stop,platform
38.13748,127.25818,4320247,와수4리,와수4리,bus_stop,platform
38.12846,127.25488,4320291,자등1리(하송동),자등1리(하송동),bus_stop,platform
38.12294,127.25198,4320150,중송동,중송동,bus_stop,platform
38.11901,127.25465,4320147,자등1리,자등1리,bus_stop,platform
38.11406,127.25383,4320145,자등2리,자등2리,bus_stop,platform
38.11142,127.25137,4320143,석현동,석현동,bus_stop,platform
38.10914,127.25055,4320245,자등2리(전자빔센터),자등2리(전자빔센터),bus_stop,platform
38.0999,127.24829,4320244,자등3리(자등치안센터),자등3리(자등치안센터),bus_stop,platform
38.0988,127.24712,4320141,신술리.자등4리,신술리.자등4리,bus_stop,platform
38.09448,127.24515,4320154,양지말,양지말,bus_stop,platform
38.08765,127.24366,4320156,음지말,음지말,bus_stop,platform
38.08385,127.24213,4320309,병참부,병참부,bus_stop,platform
38.08008,127.24305,4320158,도계(장명동),도계(장명동),bus_stop,platform
38.08388,127.24237,4320308,병참부,병참부,bus_stop,platform
38.08763,127.24377,4320157,음지말,음지말,bus_stop,platform
38.09445,127.24526,4320155,양지말,양지말,bus_stop,platform
38.09876,127.24727,4320140,신술리.자등4리,신술리.자등4리,bus_stop,platform
38.09979,127.24852,4320243,자등3리(자등치안센터),자등3리(자등치안센터),bus_stop,platform
