위도,경도,shop,service,name,addr:full,phone,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2935476654,126.5815068076,car_repair,repair,천지자동차공업사,,064-732-0070,2020-06-22,,토평공단로139번길,6,토평동,,,
33.2944496905,126.5809834042,car_repair,,흥화자동차공업사,,064-762-4531,2020-06-22,,토평공단로,151,토평동,,,
33.2938726979,126.5813184466,car_repair,,우성자동차공업사,,064-733-5086,2020-06-22,,토평공단로,145,토평동,,,
33.2928165166,126.5816879796,car_repair,,도원자동차공업사,,064-732-1792,2020-06-22,,토평공단로139번길,11-1,토평동,,,
33.2901511311,126.5792568227,car_repair,,1급상용종합자동차,,064-733-5574,2020-06-22,,토평공단로127번길,47,토평동,,,
33.2282752897,126.2606406459,car_repair,,㈜삼원자동차공업사,제주특별자치도 서귀포시 대정읍 상모대서로 68(상모리),064-794-0500,2020-06-22,,상모대서로,68,대정읍,,,
33.2784410438,126.3036359489,car_repair,,㈜산방자동차공업사,제주특별자치도 서귀포시 안덕면 서광남로 50(서광리),064-794-1161,2020-06-22,,서광남로,50,안덕면,,,
33.2897144299,126.3208465994,car_repair,,챔피언모터스,제주특별자치도 서귀포시 안덕면 중산간서로 1894 (서광리),064-792-6363,2020-06-22,,중산간서로,1894,안덕면,,,
33.2759933606,126.3611564209,car_repair,,(주)신화자동차공업사,제주특별자치도 서귀포시 안덕면 한창로 157(상창리),064-794-5888,2020-06-22,,한창로,157,안덕면,,,
33.253434615,126.5093356709,car_repair,,신서귀자동차공업사,,064-739-0982,2020-06-22,,신서로48번길,39,법환동,,,
33.3188573027,126.8310950289,car_repair,,표선자동차정비공업사,제주특별자치도 서귀포시 표선면 표선백사로28번길 8(표선리),064-787-2327,2020-06-22,,표선백사로28번길,8,표선면,,,
33.2840028629,126.7235923341,car_repair,,남원자동차공업사,제주특별자치도 서귀포시 남원읍 태위로723번길 30-24(남원리),064-764-1177,2020-06-22,,태위로723번길,30-24,남원읍,,,
33.2752829332,126.6576939124,car_repair,,(주)흥진자동차공업사,제주특별자치도 서귀포시 남원읍 태위로 95-1(위미리),064-764-6700,2020-06-22,,태위로,95-1,남원읍,,,
33.4720440179,126.9024954914,car_repair,,성산자동차공업사,제주특별자치도 서귀포시 성산읍 일주동로 3965(시흥리),064-784-2580,2020-06-22,,일주동로,3965,성산읍,,,
33.4386216184,126.8765186056,car_repair,,부강자동차공업사,제주특별자치도 서귀포시 성산읍 서성일로 904(수산리),064-782-0404,2020-06-22,,서성일로,904,성산읍,,,
