노선명,기점,기점 위도,기점 경도,종점,종점 위도,종점 경도,연장(km),관리기관명,데이터기준일자
상모로,제주특별자치도 서귀포시 대정읍 상모리 811-1,33.2264212,126.2865372,제주특별자치도 서귀포시 대정읍 하모리 824-1,33.2220084011,126.2543493466,3.3,서귀포시 건설과,2016-08-31
평화로,제주특별자치도 서귀포시 대정읍 안성리 1452-1,33.2502229,126.2815989,제주특별자치도 서귀포시 안덕면 광평리 산124,33.3402089,126.3556838,12.8,서귀포시 건설과,2016-08-31
전세비로,제주특별자치도 서귀포시 대정읍 영락리 1567 ,33.2438728387,126.2119957507,제주특별자치도 서귀포시 대정읍 영락리 815-3,33.254029,126.212968,1.2,서귀포시 건설과,2016-08-31
서삼중로,제주특별자치도 서귀포시 대정읍 영락리 1960-1,33.281355,126.188339,제주특별자치도 서귀포시 대정읍 신도리 1830-7,33.2820574,126.1860435,2.8,서귀포시 건설과,2016-08-31
동일하모로,제주특별자치도 서귀포시 대정읍 일과리 1187-1,33.2349095,126.2341423,제주특별자치도 서귀포시 대정읍 상모리 3732-9,33.2281831,126.2579641,2.4,서귀포시 건설과,2016-08-31
최남단해안로,제주특별자치도 서귀포시 대정읍 하모리 938-1,33.2203142,126.2497212,제주특별자치도 서귀포시 대정읍 상모리 138,33.2082658,126.2876081,5.9,서귀포시 건설과,2016-08-31
신영로,제주특별자치도 서귀포시 대정읍 동일리 2998-1,33.2252385743,126.2475593159,제주특별자치도 서귀포시 대정읍 하모리 818-3,33.2236007894,126.2552755496,1.3,서귀포시 건설과,2016-08-31
에듀시티로,제주특별자치도 서귀포시 대정읍 구억리 산1-6,33.296463,126.285242,제주특별자치도 서귀포시 대정읍 보성리 194-3,33.2781342,126.2728064,2.5,서귀포시 건설과,2016-08-31
상모대서로,제주특별자치도 서귀포시 대정읍 상모리 3938,33.2237713628,126.2554543235,제주특별자치도 서귀포시 대정읍 상모리 3732-2,33.2281665910,126.2601158944,0.7,서귀포시 건설과,2016-08-31
하모상가로,제주특별자치도 서귀포시 대정읍 하모리 1081-1,33.2215362030,126.2489941124,제주특별자치도 서귀포시 대정읍 하모리 849-14,33.2221071390,126.2539752047,0.5,서귀포시 건설과,2016-08-31
하모이삼로,제주특별자치도 서귀포시 대정읍 하모리 1171-7,33.2235271547,126.2478314239,제주특별자치도 서귀포시 대정읍 상모리 3984-4,33.2233083876,126.2582473394,0.7,서귀포시 건설과,2016-08-31
하모중앙로,제주특별자치도 서귀포시 대정읍 하모리 1389-4,33.227954,126.2503673,제주특별자치도 서귀포시 대정읍 하모리 937-9,33.2205974,126.2499248,0.9,서귀포시 건설과,2016-08-31
송악관광로,제주특별자치도 서귀포시 대정읍 상모리 3396-1,33.2325771,126.2627861,제주특별자치도 서귀포시 대정읍 상모리 133-3,33.2073973178,126.2905190384,4.3,서귀포시 건설과,2016-08-31
형제해안로,제주특별자치도 서귀포시 안덕면 사계리 2147-18,33.228511,126.3043875,제주특별자치도 서귀포시 대정읍 상모리 163-3,33.2064342,126.2869831,3.3,서귀포시 건설과,2016-08-31
녹차분재로,제주특별자치도 서귀포시 안덕면 서광리 1903-2,33.2861910624,126.3019740255,제주특별자치도 서귀포시 안덕면 서광리 산50-14,33.3055205,126.2859019,2.9,서귀포시 건설과,2016-08-31
신화역사로,제주특별자치도 서귀포시 안덕면 서광리 산50-11,33.3033114,126.2883683,제주특별자치도 서귀포시 안덕면 상천리 480-37,33.308203,126.3790771,9.1,서귀포시 건설과,2016-08-31
화순로,제주특별자치도 서귀포시 안덕면 사계리 147-1,33.2351367,126.3072411,제주특별자치도 서귀포시 안덕면 화순리 1358,33.2503653,126.3370372,2.7,서귀포시 건설과,2016-08-31
화순임중로,제주특별자치도 서귀포시 안덕면 화순리 1026-3,33.2445467,126.3281592,제주특별자치도 서귀포시 안덕면 화순리 429-5,33.2440661,126.3365641,0.8,서귀포시 건설과,2016-08-31
글로벌에듀로,제주특별자치도 서귀포시 안덕면 서광리 산50-11,33.3033114,126.2883683,제주특별자치도 서귀포시 대정읍 보성리 194-3,33.2781342,126.2728064,4.2,서귀포시 건설과,2016-08-31
한창로,제주특별자치도 서귀포시 안덕면 창천리 155-12,33.2652248883,126.3712322671,제주특별자치도 서귀포시 안덕면 동광리 산78,33.3312367,126.3260346,8.7,서귀포시 건설과,2016-08-31
대평감산로,제주특별자치도 서귀포시 안덕면 창천리 777-6,33.2348571,126.3648591,제주특별자치도 서귀포시 안덕면 감산리 345-1,33.2578616,126.3508392,3.5,서귀포시 건설과,2016-08-31
화순해안로,제주특별자치도 서귀포시 안덕면 화순리 1045-4,33.2461836551,126.3313107965,제주특별자치도 서귀포시 안덕면 화순리 231-8,33.2490738,126.337612,2.3,서귀포시 건설과,2016-08-31
일주서로,제주특별자치도 서귀포시 강정동 231-1,33.2493822794,126.5073585,제주특별자치도 서귀포시 대정읍 신도리 1993-2,33.2917432,126.1814517,36.2,서귀포시 건설과,2016-08-31
신중로,제주특별자치도 서귀포시 강정동 146,33.255966,126.505702,제주특별자치도 서귀포시 서호동 1462-3,33.2543716405,126.5132499279,0.8,서귀포시 건설과,2016-08-31
김정문화로,제주특별자치도 서귀포시 강정동 196,33.252504,126.504982,제주특별자치도 서귀포시 서호동 1486-2,33.2506436,126.5106624,0.8,서귀포시 건설과,2016-08-31
신서로,제주특별자치도 서귀포시 강정동 226-4,33.250095,126.504183,제주특별자치도 서귀포시 강정동 1528-3,33.2610657851,126.5060523460,1.3,서귀포시 건설과,2016-08-31
월드컵로,제주특별자치도 서귀포시 강정동 231-1,33.2493822794,126.5073585495,제주특별자치도 서귀포시 법환동 1541,33.2315029853,126.5059954565,2.1,서귀포시 건설과,2016-08-31
동홍중앙로,제주특별자치도 서귀포시 동홍동 175-1,33.2510188288,126.5724558361,제주특별자치도 서귀포시 동홍동 1097-2,33.265288,126.571487,1.7,서귀포시 건설과,2016-08-31
동홍서로,제주특별자치도 서귀포시 동홍동 385-5,33.259128,126.569674,제주특별자치도 서귀포시 동홍동 60-6,33.2590336348,126.5696436784,1.2,서귀포시 건설과,2016-08-31
문부로,제주특별자치도 서귀포시 동홍동 450-70,33.252046,126.567848,제주특별자치도 서귀포시 동홍동 170-16,33.25214,126.571923,0.4,서귀포시 건설과,2016-08-31
동홍동로,제주특별자치도 서귀포시 동홍동 497-5,33.2550381147,126.5750332612,제주특별자치도 서귀포시 동홍동 64-1,33.2587515646,126.5746632776,0.5,서귀포시 건설과,2016-08-31
동홍남로,제주특별자치도 서귀포시 동홍동 511-11,33.2569163542,126.5685293845,제주특별자치도 서귀포시 동홍동 417-9,33.2563550576,126.5773148555,0.9,서귀포시 건설과,2016-08-31
장수로,제주특별자치도 서귀포시 동홍동 512-11,33.2565716692,126.5679344024,제주특별자치도 서귀포시 서홍동 353,33.256399,126.568051,1.2,서귀포시 건설과,2016-08-31
동홍북로,제주특별자치도 서귀포시 동홍동 592-1,33.259208,126.568355,제주특별자치도 서귀포시 토평동 3265-6,33.258466,126.579472,1.1,서귀포시 건설과,2016-08-31
신동로,제주특별자치도 서귀포시 법환동 828-4,33.2483953,126.5102348,제주특별자치도 서귀포시 서호동 1238-5,33.2603102,126.5128252,1.4,서귀포시 건설과,2016-08-31
신중남로,제주특별자치도 서귀포시 법환동 747-3,33.2517086,126.5066182,제주특별자치도 서귀포시 법환동 731,33.2555799486,126.5105260292,0.4,서귀포시 건설과,2016-08-31
신서귀로,제주특별자치도 서귀포시 법환동 752,33.2495004,126.5068993,제주특별자치도 서귀포시 서호동 1133,33.2601219,126.5104224,1.6,서귀포시 건설과,2016-08-31
마소물로,제주특별자치도 서귀포시 보목동 668-4,33.2429112487,126.5995089764,제주특별자치도 서귀포시 토평동 242-4,33.259005,126.593586,1.9,서귀포시 건설과,2016-08-31
하례광장로,제주특별자치도 서귀포시 상효동 1126-6,33.300366,126.600725,제주특별자치도 서귀포시 남원읍 하례리 1321-2,33.301509,126.613963,1.3,서귀포시 건설과,2016-08-31
돈내코로,제주특별자치도 서귀포시 상효동 1262-3,33.295444,126.594984,제주특별자치도 서귀포시 상효동 1927-1,33.307639,126.570248,3,서귀포시 건설과,2016-08-31
예래로,제주특별자치도 서귀포시 색달동 2105-7,33.234935,126.369452,제주특별자치도 서귀포시 하예동 1829-4,33.2353631682,126.3683647584,4.7,서귀포시 건설과,2016-08-31
천제연로,제주특별자치도 서귀포시 색달동 2158-2,33.257799,126.406124,제주특별자치도 서귀포시 회수동 595-1,33.2522051,126.4421317,3.7,서귀포시 건설과,2016-08-31
중문관광로,제주특별자치도 서귀포시 색달동 2310-1,33.257762,126.415276,제주특별자치도 서귀포시 중문동 1923-1,33.250878,126.431458,3.5,서귀포시 건설과,2016-08-31
정방로,제주특별자치도 서귀포시 서귀동 216-21 ,33.248524,126.5659024,제주특별자치도 서귀포시 서귀동 962-71,33.2449639,126.5668725,0.4,서귀포시 건설과,2016-08-31
동홍로,제주특별자치도 서귀포시 서귀동 255-11,33.2490003103,126.5675681904,제주특별자치도 서귀포시 동홍동 2146,33.291554,126.556432,5.2,서귀포시 건설과,2016-08-31
