위도,경도,name,phone,addr:full,source:date,amenity
33.2903783,126.3538589,안덕하나주유소,064-792-3088,제주특별자치도 서귀포시 안덕면 한창로 182,2020-06-15,fuel
33.2752402,126.1958118,대정농협무릉주유소,064-794-8505,제주특별자치도 서귀포시 대정읍 서삼중로 66,2020-06-15,fuel
33.2529872,126.5509089,선반내주유소,064-739-5008,제주특별자치도 서귀포시 일주동로 8780 (서홍동),2020-06-15,fuel
33.3594056,126.8225667,유진주유소,064-787-5189,제주특별자치도 서귀포시 표선면 번영로 3239,2020-06-15,fuel
33.2892584,126.3522567,상창주유소,064-794-5188,제주특별자치도 서귀포시 안덕면 한창로 334,2020-06-15,fuel
33.2219824,126.2519335,대정농협주유소,064-792-8249,제주특별자치도 서귀포시 대정읍 하모중앙로 70,2020-06-15,fuel
33.2465809,126.333321,안덕농협주유소,064-792-5149,제주특별자치도 서귀포시 안덕면 화순로 122,2020-06-15,fuel
33.2402708,126.2507128,행복주유소,064-792-5145,제주특별자치도 서귀포시 대정읍 일주서로 2294,2020-06-15,fuel
33.2592175,126.417448,중문농협주유소,064-738-4170,제주특별자치도 서귀포시 일주서로 872 (색달동),2020-06-15,fuel
33.2890185,126.3240716,서광주유소,064-794-8822,제주특별자치도 서귀포시 안덕면 중산간서로 1866,2020-06-15,fuel
33.2576847,126.5794393,서귀포농협주유소,064-733-5109,제주특별자치도 서귀포시 516로 38 (토평동),2020-06-15,fuel
33.26602,126.5767511,스카이주유소,064-733-8951,제주특별자치도 서귀포시 중산간동로 7859 (동홍동),2020-06-15,fuel
33.2339136,126.4838833,강정천주유소,064-739-3303,제주특별자치도 서귀포시 이어도로 634 (강정동),2020-06-15,fuel
33.2269336,126.287568,최남단현대주유소,064-794-2541,제주특별자치도 서귀포시 대정읍 상모로 14,2020-06-15,fuel
33.2584109,126.4066004,신세기주유소,064-738-2270,제주특별자치도 서귀포시 일주서로 976 (색달동),2020-06-15,fuel
33.2845781,126.3535287,정석주유소,064-797-5144,제주특별자치도 서귀포시 안덕면 한창로 275,2020-06-15,fuel
33.2535837,126.4578595,하원주유소,064-738-5144,제주특별자치도 서귀포시 일주서로 479 (하원동),2020-06-15,fuel
33.4268965,126.8647243,수산주유소,064-784-0050,제주특별자치도 서귀포시 성산읍 서성일로 898,2020-06-15,fuel
33.271703,126.5859378,월드컵주유소,064-762-6520,제주특별자치도 서귀포시 516로 206-3 (토평동),2020-06-15,fuel
33.2770574,126.7120916,제주남원동부새마을금고주유소,064-764-8006,제주특별자치도 서귀포시 남원읍 태위로 610,2020-06-15,fuel
33.2483926,126.5692091,서귀주유소,064-762-3715,제주특별자치도 서귀포시 중정로 122 (서귀동),2020-06-15,fuel
33.2531402,126.4696882,도순주유소,064-739-4750,제주특별자치도 서귀포시 일주서로 366 (도순동),2020-06-15,fuel
33.3992006,126.7852521,우수주유소,064-787-1844,제주특별자치도 서귀포시 표선면 번영로 3497,2020-06-15,fuel
33.3190481,126.7087521,남원농협주유소,064-764-5982,제주특별자치도 서귀포시 남원읍 남조로 58,2020-06-15,fuel
33.2901311,126.5946938,돈내코주유소,064-732-0421,제주특별자치도 서귀포시 516로 438 (상효동),2020-06-15,fuel
33.3104382,126.3413657,동광주유소,064-794-8886,제주특별자치도 서귀포시 안덕면 동광로 164,2020-06-15,fuel
33.2619001,126.5374821,희망주유소,064-739-5145,제주특별자치도 서귀포시 중산간동로 8231 (호근동),2020-06-15,fuel
