위도,경도,name,phone,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,amenity
33.2903783,126.3538589,안덕하나주유소,+82 64 792 3088,,2020-06-15,,한창로,182,안덕면,,,,fuel
33.2752402,126.1958118,대정농협무릉주유소,+82 64 794 8505,,2020-06-15,,서삼중로,66,대정읍,,,,fuel
33.2529872,126.5509089,선반내주유소,+82 64 739 5008,,2020-06-15,,일주동로,8780,서홍동,,,,fuel
33.3594056,126.8225667,유진주유소,+82 64 787 5189,,2020-06-15,,번영로,3239,표선면,,,,fuel
33.2892584,126.3522567,상창주유소,+82 64 794 5188,,2020-06-15,,한창로,334,안덕면,,,,fuel
33.2219824,126.2519335,대정농협주유소,+82 64 792 8249,,2020-06-15,,하모중앙로,70,대정읍,,,,fuel
33.2465809,126.333321,안덕농협주유소,+82 64 792 5149,,2020-06-15,,화순로,122,안덕면,,,,fuel
33.2402708,126.2507128,행복주유소,+82 64 792 5145,,2020-06-15,,일주서로,2294,대정읍,,,,fuel
33.2592175,126.417448,중문농협주유소,+82 64 738 4170,,2020-06-15,,일주서로,872,색달동,,,,fuel
33.2890185,126.3240716,서광주유소,+82 64 794 8822,,2020-06-15,,중산간서로,1866,안덕면,,,,fuel
33.2576847,126.5794393,서귀포농협주유소,+82 64 733 5109,,2020-06-15,,516로,38,토평동,,,,fuel
33.26602,126.5767511,스카이주유소,+82 64 733 8951,,2020-06-15,,중산간동로,7859,동홍동,,,,fuel
33.2339136,126.4838833,강정천주유소,+82 64 739 3303,,2020-06-15,,이어도로,634,강정동,,,,fuel
33.2269336,126.287568,최남단현대주유소,+82 64 794 2541,,2020-06-15,,상모로,14,대정읍,,,,fuel
33.2584109,126.4066004,신세기주유소,+82 64 738 2270,,2020-06-15,,일주서로,976,색달동,,,,fuel
33.2845781,126.3535287,정석주유소,+82 64 797 5144,,2020-06-15,,한창로,275,안덕면,,,,fuel
33.2535837,126.4578595,하원주유소,+82 64 738 5144,,2020-06-15,,일주서로,479,하원동,,,,fuel
33.4268965,126.8647243,수산주유소,+82 64 784 0050,,2020-06-15,,서성일로,898,성산읍,,,,fuel
33.271703,126.5859378,월드컵주유소,+82 64 762 6520,,2020-06-15,,516로,206-3,토평동,,,,fuel
33.2770574,126.7120916,제주남원동부새마을금고주유소,+82 64 764 8006,,2020-06-15,,태위로,610,남원읍,,,,fuel
33.2483926,126.5692091,서귀주유소,+82 64 762 3715,,2020-06-15,,중정로,122,서귀동,,,,fuel
33.2531402,126.4696882,도순주유소,+82 64 739 4750,,2020-06-15,,일주서로,366,도순동,,,,fuel
33.3992006,126.7852521,우수주유소,+82 64 787 1844,,2020-06-15,,번영로,3497,표선면,,,,fuel
33.3190481,126.7087521,남원농협주유소,+82 64 764 5982,,2020-06-15,,남조로,58,남원읍,,,,fuel
33.2901311,126.5946938,돈내코주유소,+82 64 732 0421,,2020-06-15,,516로,438,상효동,,,,fuel
33.3104382,126.3413657,동광주유소,+82 64 794 8886,,2020-06-15,,동광로,164,안덕면,,,,fuel
33.2619001,126.5374821,희망주유소,+82 64 739 5145,,2020-06-15,,중산간동로,8231,호근동,,,,fuel
33.2610387,126.5824425,㈜한라석유 탐라주유소,+82 64 732 0576,,2020-06-15,,516로,86,토평동,,,,fuel
33.2621035,126.3998422,상예주유소,+82 64 739 2055,,2020-06-15,,일주서로,1057,상예동,,,,fuel
33.2496168,126.5050438,초원주유소,+82 64 739 5551,,2020-06-15,,일주서로,27,강정동,,,,fuel
33.3147596,126.826971,그림주유소,+82 64 787 4488,,2020-06-15,,표선동서로,111,표선면,,,,fuel
33.2550776,126.5711316,동홍주유소,+82 64 732 5149,,2020-06-15,,일주동로,8586,동홍동,,,,fuel
33.2888494,126.7502959,(주)태흥주유소,+82 64 764 5151,,2020-06-15,,태위로,990,남원읍,,,,fuel
33.2597235,126.3565203,감산주유소,+82 64 794 1116,,2020-06-15,,일주서로,1487,안덕면,,,,fuel
33.2835671,126.7051642,위미농협주유소,+82 64 767 3107,,2020-06-15,,일주동로,7830,남원읍,,,,fuel
