위도,경도,start_date,name,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,amenity
33.4501400132,126.9149456044,1992-07-14,동남노래연습장,,2020-02-06,,고성오조로,72,성산읍,,,,karaoke_box
33.221263635,126.2528410082,1992-11-02,딩동댕노래연습장,,2020-02-06,,하모상가로,38-1,대정읍,,,,karaoke_box
33.2471440274,126.5627185917,1993-04-08,명랑 노래연습장,,2020-02-06,,명동로,7,,,,,karaoke_box
33.2480315181,126.5628000163,1993-01-06,녹원 노래연습장,,2020-02-06,,중정로61번길,1,,,,,karaoke_box
33.2521917626,126.4242420213,1993-05-14,중문팡팡노래연습장,,2020-02-06,,천제연로185번길,3-1,,,,,karaoke_box
33.249247692,126.5619955975,1993-06-22,팔도 노래연습장,,2020-02-06,,중앙로48번길,3-3,,,,,karaoke_box
33.251746198,126.56074263,1993-09-21,광장 노래연습장,,2020-02-06,,중앙로79번길,4,,,,,karaoke_box
33.2461574317,126.3331437048,1993-07-28,옵데강노래연습장,,2020-02-06,,화순로,123,안덕면,,,,karaoke_box
33.3262429333,126.8331182017,1993-10-02,한솔노래연습장,,2020-02-06,,표선동서로,252,표선면,,,,karaoke_box
33.2793739235,126.7196239064,1993-10-22,제2앵콜노래연습장,,2020-02-06,,태위로,685,남원읍,,,,karaoke_box
33.3263623343,126.8334058126,1993-08-25,앵콜노래연습장,,2020-02-06,,표선동서로,254-5,표선면,,,,karaoke_box
33.2514978257,126.5660149226,1994-06-08,시민 노래연습장,,2020-02-06,,중동로32번길,2,,,,,karaoke_box
33.2379985609,126.5133750095,1994-03-02,동원 노래연습장,,2020-02-06,,이어도로,925,,,,,karaoke_box
33.2508727335,126.5729716304,1994-02-08,소림 노래연습장,,2020-02-06,,태평로,520,,,,,karaoke_box
33.250931454,126.561858427,1994-03-28,전국 노래연습장,,2020-02-06,,중앙로72번길,8-2,,,,,karaoke_box
33.2488115122,126.5610320161,1994-03-26,동아리 노래연습장,,2020-02-06,,중앙로47번길,6,,,,,karaoke_box
33.2468841324,126.5636813298,1994-05-28,테크노SF 노래연습장,,2020-02-06,,명동로,14,,,,,karaoke_box
33.2471698096,126.2774331748,1994-04-18,한남노래연습장,,2020-02-06,,상모인성로,276,대정읍,,,,karaoke_box
33.2229683202,126.2574649753,1995-01-03,코러스노래연습장,,2020-02-06,,상모로,297,대정읍,,,,karaoke_box
33.24736799,126.5628204888,1998-12-31,황금알노래연습장,,2020-02-06,,중정로62번길,4,,,,,karaoke_box
33.2336777527,126.4890403912,1998-05-02,켄싱턴 노래연습장,,2020-02-06,,이어도로,684,,,,,karaoke_box
33.2476056994,126.5627291692,1998-11-24,노래동네 노래연습장,,2020-02-06,,중정로,60,,,,,karaoke_box
33.4472670812,126.9117950045,1998-10-02,버팔로노래연습장,,2020-02-06,,서성일로,1247,성산읍,,,,karaoke_box
33.2536162013,126.5109833962,1999-05-27,2002 노래연습장,,2020-02-06,,신서귀로51번길,3,,,,,karaoke_box
33.2531970883,126.4201704955,1999-10-30,제일 노래연습장,,2020-02-06,,천제연로,142,,,,,karaoke_box
33.2482836382,126.562704332,1999-11-26,데몰리션 노래연습장,,2020-02-06,,중앙로42번길,8,,,,,karaoke_box
33.2643616878,126.5617355738,1999-12-27,가족오락관 노래연습장,,2020-02-06,,중산간동로,8003,,,,,karaoke_box
33.3256243966,126.8344511592,1999-04-17,데이트노래연습장,,2020-02-06,,표선중앙로,100,표선면,,,,karaoke_box
33.2221523479,126.2536959153,1999-12-30,드림노래연습장,,2020-02-06,,하모이삼로52번길,18-2,대정읍,,,,karaoke_box
33.4498654614,126.9142747323,1999-06-28,일번가노래연습장,,2020-02-06,,고성동서로56번길,12-1,성산읍,,,,karaoke_box
33.2474446758,126.5630905148,2000-02-01,하나로노래연습장,,2020-02-06,,중정로62번길,5,,,,,karaoke_box
33.2578035487,126.5278303154,2000-04-14,엔젤DDR 노래연습장,,2020-02-06,,호근북로,3,,,,,karaoke_box
33.2501624014,126.5616133102,2000-10-13,24시메아리 노래연습장,,2020-02-06,,중앙로62번길,1,,,,,karaoke_box
33.2537861538,126.5717340968,2000-12-15,칠십리 노래연습장,,2020-02-06,,동홍중앙로,35,,,,,karaoke_box
33.4465822746,126.9123850741,2000-02-03,빵빵노래연습장,,2020-02-06,,일주동로,4278,성산읍,,,,karaoke_box
33.2496171821,126.5655434814,2001-02-06,칭구노래연습장,,2020-02-06,,중정로91번길,14-1,,,,,karaoke_box
