위도,경도,name,addr:full,source:date,amenity,karaoke,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2793720711,126.7188038005,호수,,2020-08-20,bar,yes,,남한로,4-8,남원읍,,,
33.2736544528,126.7027558606,금호리조트단란주점,,2020-08-20,bar,yes,,태위로,522-12,남원읍,,,
33.2783423504,126.717982706,퀸단란주점,,2020-08-20,bar,yes,,태위로,670,남원읍,,,
33.2792973245,126.7192420052,남원,,2020-08-20,bar,yes,,태위로679번길,2,남원읍,,,
33.2794955657,126.7191898452,애니팡,,2020-08-20,bar,yes,,태위로679번길,4,남원읍,,,
33.2787110915,126.7199652313,해오름,,2020-08-20,bar,yes,,태위로682번길,8,남원읍,,,
33.2798003714,126.7200132789,차차차단란주점,,2020-08-20,bar,yes,,태위로689번길,3,남원읍,,,
33.2261509291,126.2505337832,썸아이엔지,,2020-08-20,bar,yes,,동일하모로,181,대정읍,,,
33.2256858508,126.2529578891,꽃밭에서,,2020-08-20,bar,yes,,동일하모로,206,대정읍,,,
33.223062112,126.2586785081,별단란주점,,2020-08-20,bar,yes,,상모로,285,대정읍,,,
33.2220084011,126.2543493466,그랑프리,,2020-08-20,bar,yes,,신영로,114,대정읍,,,
33.2228169519,126.2544669227,불나비,,2020-08-20,bar,yes,,신영로,121,대정읍,,,
33.22172975,126.2487950803,앵콜,,2020-08-20,bar,yes,,신영로,49,대정읍,,,
33.2197983775,126.2478804964,조아요,,2020-08-20,bar,yes,,신영로36번길,47,대정읍,,,
33.2214733353,126.2541307631,둘리단란주점,,2020-08-20,bar,yes,,영서중로,5-6,대정읍,,,
33.2214279574,126.2507800179,춘자단란주점,,2020-08-20,bar,yes,,하모상가로,18-1,대정읍,,,
33.2214195016,126.2523719839,리필단란주점,,2020-08-20,bar,yes,,하모상가로,34,대정읍,,,
33.2216681043,126.2529319682,띠아모,,2020-08-20,bar,yes,,하모상가로,37-1,대정읍,,,
33.2221523479,126.2536959153,비바리,,2020-08-20,bar,yes,,하모이삼로52번길,18-2,대정읍,,,
33.2220151551,126.2536713351,고고,,2020-08-20,bar,yes,,하모이삼로52번길,18-3,대정읍,,,
33.2243324658,126.2521970205,황금단란주점,,2020-08-20,bar,yes,,하모중앙로,44,대정읍,,,
33.2226829816,126.251975057,스타,,2020-08-20,bar,yes,,하모중앙로,62-2,대정읍,,,
33.2226829816,126.251975057,오리지날,,2020-08-20,bar,yes,,하모중앙로,62-2,대정읍,,,
33.2217610917,126.2522017356,카니발,,2020-08-20,bar,yes,,하모중앙로,71,대정읍,,,
33.2216907412,126.2518976851,써니단란주점,,2020-08-20,bar,yes,,하모중앙로,74,대정읍,,,
33.2214040708,126.2522047732,종점,,2020-08-20,bar,yes,,하모중앙로,75,대정읍,,,
33.2212738066,126.2521329377,로얄,,2020-08-20,bar,yes,,하모중앙로,77,대정읍,,,
33.2252413231,126.2522021599,뉴에이스,,2020-08-20,bar,yes,,하모중앙로32번길,3,대정읍,,,
33.2511716444,126.5645270824,오젠,,2020-08-20,bar,yes,,동문동로,35,,,,
33.2511716444,126.5645270824,갤럭시,,2020-08-20,bar,yes,,동문동로,35,,,,
33.2508163768,126.5640051775,블랙단란주점,,2020-08-20,bar,yes,,동문로,30,,,,
33.2510228325,126.5642574017,블랙라벨,,2020-08-20,bar,yes,,동문로,31,,,,
33.2498228553,126.5655725099,서귀포올인단란주점,,2020-08-20,bar,yes,,동문로,48,,,,
33.2494317589,126.5661496112,캣우먼단란주점,,2020-08-20,bar,yes,,동문로,56,,,,
33.249538471,126.5667585892,썬단란주점,,2020-08-20,bar,yes,,동문로,59,,,,
33.2491507814,126.5672798671,한라산,,2020-08-20,bar,yes,,동문로,65,,,,
33.2473952857,126.5634040901,보물섬단란주점,,2020-08-20,bar,yes,,명동로,13-1,,,,
33.2475801672,126.5647037058,또와또와단란주점,,2020-08-20,bar,yes,,명동로,27,,,,
