업소명,소재지도로명주소,전화번호,위도,경도,데이터기준일자
바른눈안경,"대구광역시 북구 연경중앙로 5, 중앙플라자 1층 105호, 106호 (연경동)",000-000-0000,35.92114336,128.6037614,2021-09-07
으뜸50안경 경대북문점,"대구광역시 북구 대학로 89, 2층 (산격동)",053-957-5050,35.8928589,128.6093281,2021-09-07
렌즈미 대구칠곡점,"대구광역시 북구 동천로 133, 1층 106호 (동천동)",053-312-7077,35.88820224,128.592523,2021-09-07
다비치안경원 칠곡3지구점,"대구광역시 북구 학정로 435, 1층 (동천동)",053-311-6177,35.89974464,128.6093921,2021-09-07
으뜸50안경 칠곡태전점,"대구광역시 북구 칠곡중앙대로69길 2, 1층 (태전동)",053-323-1150,35.94237815,128.5630907,2021-09-07
이태리안경,"대구광역시 북구 팔달로 185, 1층 (노원동2가)",053-352-1080,35.88901082,128.6145155,2021-09-07
룩스토어(Look Store) 구암점,"대구광역시 북구 학정로 440, 1층 102호 (구암동)",053-325-8333,35.90047193,128.5846275,2021-09-07
명신안경/콘택트,"대구광역시 북구 동북로65길 3, 1층 (복현동)",053-955-7525,35.89280408,128.5672579,2021-09-07
으뜸플러스안경(칠곡점),"대구광역시 북구 학정로 429, 로데오프라자 2층 202호 (동천동)",053-312-1579,35.89506005,128.6177526,2021-09-07
자이스안경,"대구광역시 북구 성북로 36, 2층 216,217,218호 (침산동)",053-353-7670,35.93186663,128.5480216,2021-09-07
경대구내안경원,"대구광역시 북구 대학로 80, 경북대학교 복지관 1층 (산격동)",053-944-3372,35.90138678,128.5965099,2021-09-07
유니안경원,"대구광역시 북구 호국로57길 6, 106호 (서변동)",053-357-8831,35.95221745,128.5675504,2021-09-07
코스트코안경,"대구광역시 북구 검단로 97, 코스트코코리아 지하2층 (산격동)",053-352-5759,35.89873158,128.6118657,2021-09-07
안경매니져 삼성창조캠퍼스점,"대구광역시 북구 호암로 51 (침산동, 삼성창조경제단지 파크몰 B동 6호)",053-356-7080,35.92450818,128.5468626,2021-09-07
아이홀릭 태전점,대구광역시 북구 태전로 21 (태전동),000-000-0000,35.94241808,128.5584136,2021-09-07
더봄안경,"대구광역시 북구 팔거천동로 206, 104호 (동천동)",053-323-8205,35.89524156,128.6175103,2021-09-07
렌즈미 대구칠곡점,"대구광역시 북구 동천로 132, 101호 (동천동, 강북 SKY)",053-312-7077,35.93230425,128.5489001,2021-09-07
몬스터쿠키,"대구광역시 북구 산격로6길 9, 1층 (산격동)",053-294-8657,35.89265341,128.6089721,2021-09-07
왕눈이안경타운,"대구광역시 북구 검단로 15, 1~2층 (산격동)",053-262-7670,35.94364884,128.5612044,2021-09-07
아프리카안경,"대구광역시 북구 태평로 161, 5층 (칠성동2가, 롯데백화점 대구역)",053-660-3895,35.94336064,128.561158,2021-09-07
라디오아이즈,"대구광역시 북구 대학로23길 37-1, 1층 (산격동)",053-942-5888,35.94303654,128.5610781,2021-09-07
아이데코안경콘택트,"대구광역시 북구 침산로21길 23, 상가 105동 102호 (칠성동2가, 침산1차푸르지오아파트)",000-000-0000,35.94213863,128.5603513,2021-09-07
