위도,경도,name,addr:full,발전원,용량KW,허가일,start_date,source:date
36.216926,128.135167,지디김천,"경상북도 김천시 감문면 도명리 산10,2필지",태양광,200,2008-06-27,2009-09-10,2019-11-28
36.126964,128.092357,대전사,경상북도 김천시 부곡동902-4  (옥상),태양광,3,2008-07-03,2008-09-30,2019-11-28
35.909509,127.956481,신생에너지,경상북도 김천시 대덕면 화전리 244-2,태양광,836,2009-02-23,2010-06-21,2019-11-28
36.046954,128.113563,제너럴쏠라,경상북도 김천시 조마면 장암리 88-8(지붕),태양광,100,2011-12-05,2013-10-29,2019-11-28
36.05413,128.10794,행북,경상북도 김천시 조마면 장암리 88-9(지붕),태양광,100,2011-12-05,2012-03-08,2019-11-28
36.046893,128.113509,사랑,경상북도 김천시 조마면 장암리 88-8(지붕),태양광,100,2011-12-05,2012-03-08,2019-11-28
36.046911,128.113574,솔라리온,"경상북도 김천시 조마면 장암리 88-8, 88-9(지붕)",태양광,100,2011-12-05,2012-03-08,2019-11-28
36.168099,128.011389,일신테크,경상북도 김천시 봉산면 신암리 662-2(옥상 제2동),태양광,22,2012-02-03,2012-04-19,2019-11-28
36.085363,128.236616,한상현,"경상북도 김천시 남면 송곡리 342, 343 (지붕)",태양광,18,2012-04-10,2012-07-13,2019-11-28
36.147262,128.136402,한국특수소재㈜,경상북도 김천시 대광동 1346(지붕),태양광,28.5,2012-05-14,2012-07-03,2019-11-28
36.17371,128.147083,청우햇빛,경상북도 김천시 어모면 다남리 471(지붕),태양광,30,2012-08-16,2012-10-05,2019-11-28
36.172529,128.133673,김천,경상북도 김천시 어모면 남산리 83(지붕),태양광,30,2012-08-16,2013-01-11,2019-11-28
36.136043,128.141239,김천시 하수처리장,"경상북도 김천시 대광동 850,산52,산72-3(지붕)",태양광,2508,2012-10-05,2013-03-26,2019-11-28
36.168116,128.011454,일신테크 제2,경상북도 김천시 봉산면 신암리 662-2(제1동 지붕),태양광,99,2012-11-16,2013-10-21,2019-11-28
36.205741,128.006042,대한송유관공사추풍령가압소,"경상북도 김천시 봉산면 광천리 583-1, 600",태양광,225,2013-03-26,2013-11-30,2019-11-28
36.147694,128.141476,진명,경상북도 김천시 대광동 627 외6필지(지붕),태양광,298.08,2013-08-20,2014-01-03,2019-11-28
36.128993,128.043843,양지,"경상북도 김천시 대항면 덕전리 1105-4,1105-8, 1105-12, 1033(토지)",태양광,99.2,2013-08-20,2016-06-22,2019-11-28
35.976788,128.027036,㈜재영,경상북도 김천시 지례면 도곡리 55-4(지붕),태양광,355.68,2013-09-12,2013-12-30,2019-11-28
36.152171,128.019555,에스티,"경상북도 김천시 봉산면 태화리 656-1,659-1(지붕)",태양광,216,2013-09-16,2014-04-08,2019-11-28
36.124909,128.082154,삼성,"경상북도 김천시 백옥동 174, 178-1(지붕)",태양광,99,2013-12-19,2014-04-28,2019-11-28
36.055948,128.107946,예동,"경상북도 김천시 조마면 장암리 97-1,99,100,101(지붕)",태양광,90,2014-02-10,2014-05-07,2019-11-28
36.0161,127.991761,임천제1호,"경상북도 김천시 구성면 임천리 171, 174-4, 602-1, 603-1(토지)",태양광,99,2014-02-10,2014-03-20,2019-11-28
36.0161,127.991761,임천제2호,"경상북도 김천시 구성면 임천리 171, 174-4, 602-1, 603-1(토지)",태양광,99,2014-02-10,2014-03-20,2019-11-28
36.0161,127.991761,임천제3호,"경상북도 김천시 구성면 임천리 171, 174-4, 602-1, 603-1(토지)",태양광,99,2014-02-10,2014-03-20,2019-11-28
36.0161,127.991761,임천제4호,"경상북도 김천시 구성면 임천리 171, 174-4, 602-1, 603-1(토지/지붕)",태양광,99,2014-02-10,2014-03-20,2019-11-28
36.129004,128.042539,풍림,"경상북도 김천시 대항면 덕전리 1105-4, 1105-16, 1105-17, 1105-18, 1087, 1088(토지)",태양광,99,2014-02-10,2016-02-22,2019-11-28
35.978428,128.017791,삼도,"경상북도 김천시 지례면 도곡리 493-1, 493-2, 493-5, 494, 495(지붕)",태양광,225,2014-03-14,2014-06-23,2019-11-28
36.173168,128.19759,양천,경상북도 김천시 개령면 양천리 316-1(지붕),태양광,50,2014-03-31,2014-06-26,2019-11-28
36.14226,128.066706,수성,경상북도 김천시 봉산면 신리 442(지붕),태양광,57.24,2014-04-10,2014-05-22,2019-11-28
36.125009,128.082247,태광,경상북도 김천시 영남대로 1334(지붕),태양광,50,2014-06-05,2014-11-10,2019-11-28
36.159222,128.191616,대신리태양광발전소1호,경상북도 김천시 아포읍 아포대로 595-93(지붕),태양광,99,2014-07-14,2014-10-01,2019-11-28
36.037593,128.124212,용호농장제1,경상북도 김천시 감천면 용호리 961-66(지붕),태양광,99,2014-08-11,2015-08-06,2019-11-28
36.037508,128.125579,용호농장제2,경상북도 김천시 감천면 용호리 727(지붕),태양광,99,2014-08-11,2015-08-06,2019-11-28
36.004667,128.134898,엠에스,경상북도 김천시 조마면 대방리 475-1(지붕),태양광,99,2014-08-20,2015-01-14,2019-11-28
36.004667,128.134898,와이디,경상북도 김천시 조마면 대방리 475-1(지붕),태양광,99,2014-08-20,2015-01-14,2019-11-28
36.004667,128.134898,해맞이,경상북도 김천시 조마면 대방리 475-1(지붕),태양광,72.8,2014-08-20,2015-01-14,2019-11-28
36.004598,128.135016,박대감제1호,경상북도 김천시 조마면 대방리 475(지붕),태양광,99,2014-08-20,2015-01-14,2019-11-28
36.004598,128.135016,박대감제2호,경상북도 김천시 조마면 대방리 475(지붕),태양광,99,2014-08-20,2015-01-14,2019-11-28
36.129004,128.042582,유진1호,"경상북도 김천시 대항면 덕전리 1105-4, 1105-8, 1105-12, 1033 (토지)",태양광,104.16,2014-08-25,2016-06-22,2019-11-28
36.129004,128.042582,유진2호,"경상북도 김천시 대항면 덕전리 1105-4, 1105-8, 1105-12, 1033 (토지)",태양광,99.2,2014-08-25,2016-06-22,2019-11-28
36.129004,128.042582,유진3호,"경상북도 김천시 대항면 덕전리 1105-4, 1105-8, 1105-12, 1033 (토지)",태양광,99.2,2014-08-25,2016-06-22,2019-11-28
36.205111,128.153863,양지솔라,"경상북도 김천시 김천시 감문면 금라리 산74-1, 은림리 산7 (토지)",태양광,494,2014-08-25,2015-11-13,2019-11-28
36.192765,128.161264,동영,경상북도 김천시 감문면 구야리 50(토지),태양광,96,2014-08-28,2015-10-26,2019-11-28
36.14898,128.044116,응명,경상북도 김천시 봉산면 봉산1리 299-5(지붕),태양광,99.11,2014-08-28,2014-11-14,2019-11-28
36.055917,128.107152,진일,경상북도 김천시 조마면 장암리 183(토지),태양광,99,2014-09-11,2016-04-29,2019-11-28
36.054933,128.108233,S.E.M solar,경상북도 김천시 조마면 장암리 88-9 (지붕),태양광,99,2014-09-17,2015-12-28,2019-11-28
36.059925,128.088596,광명,경상북도 김천시 구성면 광명리 산26 (토지),태양광,502.2,2014-09-24,2016-12-.2,2019-11-28
36.038997,128.129247,광화,경상북도 김천시 감천면 용호리 619외 8필지 (토지),태양광,99,2014-10-15,2015-02-27,2019-11-28
36.038997,128.129247,광금,경상북도 김천시 감천면 용호리 619외 8필지 (토지),태양광,99,2014-10-15,2015-02-27,2019-11-28
36.038997,128.129247,광명,경상북도 김천시 감천면 용호리 619외 8필지 (토지),태양광,99,2014-10-15,2015-02-27,2019-11-28
36.038997,128.129247,광토,경상북도 김천시 감천면 용호리 619외 8필지 (토지),태양광,99,2014-10-15,2015-02-27,2019-11-28
36.038997,128.129247,광월,경상북도 김천시 감천면 용호리 619외 8필지 (토지),태양광,99,2014-10-15,2015-02-27,2019-11-28
36.038997,128.129247,광일,경상북도 김천시 감천면 용호리 619외 8필지 (토지),태양광,99,2014-10-15,2015-02-27,2019-11-28
36.148724,128.167301,개령1호기,경상북도 김천시 개령면 황계리 174 나동 (지붕),태양광,80.08,2014-11-17,2015-01-16,2019-11-28
36.174521,128.147033,자옥농원,경상북도 김천시 어모면 다남리 449 (지붕),태양광,30,2014-11-17,2015-02-26,2019-11-28
36.141776,128.16113,황계,경상북도 김천시 개령면 환경로 338-36 (지붕),태양광,48,2014-11-18,2015-04-09,2019-11-28
36.061596,128.17517,봉곡1호,경상북도 김천시 농소면 봉곡리 894 (지붕),태양광,20,2014-11-21,2015-02-11,2019-11-28
36.141212,128.064584,신세계,"경상북도 김천시 봉산면 신리 425-2, 425-4 (지붕)",태양광,97.65,2014-11-24,2015-04-20,2019-11-28
36.033618,128.085047,핼리오그린솔라11호,경상북도 김천시 조마면 강곡리 산52 (임야),태양광,1500,2014-11-24,2017-04-25,2019-11-28
36.031063,128.081602,핼리오그린솔라12호,경상북도 김천시 조마면 강곡리 산54 ,태양광,1497.6,2014-11-24,2017-04-25,2019-11-28
36.179666,128.257882,황소,경상북도 김천시 아포읍 인리 300-1 (지붕),태양광,99,2014-11-24,2015-01-08,2019-11-28
36.048742,128.135885,무안,경상북도 김천시 감천면 무안리 1054-1 외2필지(토지),태양광,99.45,2014-12-19,2015-02-27,2019-11-28
35.980492,127.942132,(주)대웅,경상북도 김천시 부항면 월곡리 산113(토지),태양광,96.48,2014-12-30,2018-01-15,2019-11-28
36.172597,128.237133,해찬,경상북도 김천시 아포읍 의리 592 (토지),태양광,99.96,2015-01-12,2016-01-11,2019-11-28
36.169239,128.195357,양천,"경상북도 김천시 개령면 양천리 406-2,406-4(지붕)",태양광,99,2015-02-09,2015-03-11,2019-11-28
36.170604,128.116289,핼리오그린솔라 16호,경상북도 김천시 어모면 남산리 산23-1(토지),태양광,996,2015-03-06,2017-04-25,2019-11-28
36.03657,128.129367,핼리오그린솔라 17호,"경상북도 김천시 감천면 용호리 604,605,607,610-3,612",태양광,636.12,2015-03-06,2016-10-27,2019-11-28
36.00395,128.136411,상원1호,경상북도 김천시 조마면 대방리 200(토지),태양광,97.6,2015-03-16,2016-05-23,2019-11-28
36.00395,128.136411,상원2호,경상북도 김천시 조마면 대방리 200(토지),태양광,97.6,2015-03-16,2016-05-23,2019-11-28
35.997109,127.924809,하대리,"경상북도 김천시 부항면 하대리 523-1,527-1(토지)",태양광,98.175,2015-04-21,2016-07-04,2019-11-28
36.206728,128.144905,김천1,"경상북도 김천시 감문면 은림리 산24,남곡리 산101(토지)",태양광,99.75,2015-05-15,2016-01-11,2019-11-28
36.007158,127.937912,파천1리,경상북도 김천시 부항면 파천리 239-7(토지),태양광,44.8,2015-05-15,2016-06-01,2019-11-28
36.039718,128.131876,그린,경상북도 김천시 감천면 용호리 254(토지),태양광,99.4,2015-06-10,2019-02-18,2019-11-28
36.130504,128.188267,도로공사 본사,경상북도 김천시 김천시 혁신8로 77(율곡동 6-930)건물+토지,태양광,452.6,2015-06-10,2016-07-05,2019-11-28
36.067463,128.110119,신우,"경상북도 김천시 조마면 신안리 493,498,499(지붕)",태양광,200,2015-06-16,2015-11-02,2019-11-28
36.031776,127.954928,안간영농조합법인,경상북도 김천시 부항면 안간리 385(토지),태양광,96.39,2015-06-23,2020-6.-.9,2019-11-28
36.014726,127.906856,해인영농조합법인,경상북도 김천시 부항면 해인리 산8(토지),태양광,83.2,2015-06-23,2017-03-13,2019-11-28
36.172785,128.239611,아포태양광발전소1호,"경상북도 김천시 아포읍 의리 579, 인리 1078-1, 1078-2(토지)1078-3",태양광,1000,2015-06-30,2016-09-23,2019-11-28
