위도,경도,name,addr:full,plant:storage,start_date,source:date,power,plant:source,plant:method,plant:output:electricity,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
36.216926,128.135167,지디김천,"경상북도 김천시 감문면 도명리 산10,2필지",200 kW,2009-09-10,2019-11-28,plant,solar,photovoltaic,yes,,,,감문면,,,
36.126964,128.092357,대전사,경상북도 김천시 부곡동902-4  (옥상),3 kW,2008-09-30,2019-11-28,plant,solar,photovoltaic,yes,,,,,,,
35.909509,127.956481,신생에너지,경상북도 김천시 대덕면 화전리 244-2,836 kW,2010-06-21,2019-11-28,plant,solar,photovoltaic,yes,,,244-2,대덕면,,,
36.046954,128.113563,제너럴쏠라,경상북도 김천시 조마면 장암리 88-8(지붕),100 kW,2013-10-29,2019-11-28,plant,solar,photovoltaic,yes,,,88-8,조마면,,,
36.05413,128.10794,행북,경상북도 김천시 조마면 장암리 88-9(지붕),100 kW,2012-03-08,2019-11-28,plant,solar,photovoltaic,yes,,,88-9,조마면,,,
36.046893,128.113509,사랑,경상북도 김천시 조마면 장암리 88-8(지붕),100 kW,2012-03-08,2019-11-28,plant,solar,photovoltaic,yes,,,88-8,조마면,,,
36.046911,128.113574,솔라리온,"경상북도 김천시 조마면 장암리 88-8, 88-9(지붕)",100 kW,2012-03-08,2019-11-28,plant,solar,photovoltaic,yes,,,88-8,조마면,,,
36.168099,128.011389,일신테크,경상북도 김천시 봉산면 신암리 662-2(옥상 제2동),22 kW,2012-04-19,2019-11-28,plant,solar,photovoltaic,yes,,,662-2,봉산면,제2,,
36.085363,128.236616,한상현,"경상북도 김천시 남면 송곡리 342, 343 (지붕)",18 kW,2012-07-13,2019-11-28,plant,solar,photovoltaic,yes,,,342,남면,,,
36.147262,128.136402,한국특수소재㈜,경상북도 김천시 대광동 1346(지붕),28.5 kW,2012-07-03,2019-11-28,plant,solar,photovoltaic,yes,,,1346,대광동,,,
36.17371,128.147083,청우햇빛,경상북도 김천시 어모면 다남리 471(지붕),30 kW,2012-10-05,2019-11-28,plant,solar,photovoltaic,yes,,,471,어모면,,,
36.172529,128.133673,김천,경상북도 김천시 어모면 남산리 83(지붕),30 kW,2013-01-11,2019-11-28,plant,solar,photovoltaic,yes,,,83,어모면,,,
36.136043,128.141239,김천시 하수처리장,"경상북도 김천시 대광동 850,산52,산72-3(지붕)",2508 kW,2013-03-26,2019-11-28,plant,solar,photovoltaic,yes,,,,대광동,,,
