용량,공급전압,주파수(hz),name,addr:full,위도경도,,start_date,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
95.66,380,60,에코하이테크농공단지,전라남도 담양군 담양읍 삼만리 1029-3,"35°20'28.5""N 126°59'59.1""E",,2014-07-02,2020-12-01,,,1029-3,담양읍,,,
99.12,380,60,종합폐기물시설,전라남도 담양군 담양읍 삼만리 404,"35°20'12.1""N 126°59'53.8""E",,2014-07-02,2020-12-01,,,404,담양읍,,,
99,380,60,참사랑육오,"전라남도 담양군 창평면 의항리 42-3, 45-5","35°13'42.7""N 127°00'53.4""E",,2014-10-23,2020-12-01,,,42-3,창평면,,,
49.5,380,60,쌍교1,,"35°15'15.1""N 126°57'21.3""E",,2014-10-06,2020-12-01,,유산길,2-28,봉산면,,,
99,380,60,윤,전라남도 담양군 문정면 오봉리 405,"35°17'03.0""N 126°58'53.2""E",,2014-09-23,2020-12-01,,,405,문정면,,,
19.8,380,60,태훈,전라남도 담양군 대전면 대치길 5길 33-10,"35°16'34.4""N 126°53'14.6""E",,2014-08-27,2020-12-01,,대치길,33-10,대전면,,,
99,380,60,유천,전라남도 담양군 창평면 유천리 271-13,"35°13'25.3""N 127°01'09.6""E",,2014-08-28,2020-12-01,,,271-13,창평면,,,
99,380,60,성곡,전라남도 담양군 대덕면 성곡리 117,"35°15'46.8""N 127°03'54.5""E",,2014-08-08,2020-12-01,,,117,대덕면,,,
99,380,60,창평1호,,"35°14'35.5""N 127°00'59.8""E",,,2020-12-01,,창평로,551-70,창평면,,,
97.24,380,60,의병태양광,전라남도 담양군 창평면 용수리 320,"35°13'55.2""N 127°01'30.7""E",,2015-03-13,2020-12-01,,,320,창평면,,,
98.8,380,60,의암태양광,,"35°14'14.3""N 126°59'51.0""E",,2015-03-13,2020-12-01,,의암길,42,창평면,,,
39.84,380,60,에너지농장담양11호,전라남도 담양군 금성면 봉서리 278-2,"35°20'24.0""N 127°02'44.7""E",,,2020-12-01,,,278-2,금성면,,,
45.92,380,60,에너지농장담양12호,전라남도 담양군 담양읍 만성리 150,"35°19'27.1""N 126°58'36.2""E",,,2020-12-01,,,150,담양읍,,,
80,380,60,강산,전라남도 담양군 담양읍 삼만리 1028-4,"35°20'34.1""N 127°00'15.4""E",,2014-09-02,2020-12-01,,,1028-4,담양읍,,,
98.8,380,60,김미연,전라남도 담양군 창평면 장화리 115,"35°14'22.5""N 127°00'06.1""E",,2015-02-27,2020-12-01,,,115,창평면,,,
50,380,60,김정현,,"35°16'32.5""N 126°53'32.7""E",,,2020-12-01,,대치10길,38-3,,,,
90,380,60,용암1,,"35°22'04.2""N 127°00'05.5""E",,2014-10-06,2020-12-01,,와산길,80,용면,,,
99,380,60,감바우,전라남도 담양군 창평면 광덕리 산146-5,"35°16'34.4""N 126°59'52.2""E",,2014-08-08,2020-12-01,,,,창평면,,,
99.84,380,60,금성,,"35°21'11.1""N 127°02'34.0""E",,2015-04-02,2020-12-01,,금성공단길,75,,,,
96.66,380,60,월산2호,전라남도 담양군 월산면 월산리 564외 2,"35°20'38.1""N 126°57'12.7""E",,2014-11-28,2020-12-01,,,2,월산면,,,
92.75,380,60,월산1호,전라남도 담양군 월산면 월산리 564외 2,"35°20'38.1""N 126°57'12.7""E",,2014-11-03,2020-12-01,,,2,월산면,,,
99,380,60,금문,전라남도 담양군 담양읍 삼만리 산106-10,"35°20'27.5""N 126°59'51.5""E",,2015-04-29,2020-12-01,,,,담양읍,,,
50,380,60,용수,전라남도 담양군 창평면 용수리720-2,"35°13'55.9""N 127°01'21.0""E",,2014-10-06,2020-12-01,,,,창평면,,,
98.8,380,60,강종문태양광3호,전라남도 담양군 창평면 광덕리 산139-10,"35°16'43.7""N 127°00'02.6""E",,,2020-12-01,,,,창평면,,,
45.1,380,60,에너지농장18호,전라남도 담양군 수북면 나산리 474-8,"35°17'38.2""N 126°55'43.7""E",,,2020-12-01,,,474-8,수북면,,,
98.28,380,60,신갑식1호,,"35°21'46.5""N 126°59'10.3""E",,2014-12-08,2020-12-01,,박곡길,2-11,용면,,,
99.2,380,60,신갑식 ,"전라남도 담양군 용면 통천리 765,764",,,2014-11-19,2020-12-01,,,"765,764",용면,,,
99.2,380,60,이영길,전라남도 담양군 용면 두장리 593-4,"35°21'21.1""N 126°59'30.7""E",,2015-02-23,2020-12-01,,,593-4,용면,,,
99,380,60,준민1호,전라남도 담양군 창평면 삼천리 463-7,"35°13'53.5""N 127°01'12.1""E",,2014-10-29,2020-12-01,,,463-7,창평면,,,
79.05,380,60,대덕,,"35°12'08.2""N 127°03'29.1""E",,2015-02-16,2020-12-01,,남대덕로,505,대덕면,,,
99.2,380,60,이재인,전라남도 담양군 봉산면 기곡리 293-2,"35°16'22.2""N 126°58'20.4""E",,2018-08-09,2020-12-01,,,293-2,봉산면,,,
50,380,60,남원1호,전라남도 담양군 창평면 용수리 322-3,"35°13'57.0""N 127°01'26.7""E",,2014-12-12,2020-12-01,,,322-3,창평면,,,
99,380,60,금문1호,전라남도 담양군 담양읍 삼만리 산106 ,"35°20'29.8""N 126°59'52.1""E",,2015-04-29,2020-12-01,,,,담양읍,,,
99,380,60,금문2호,전라남도 담양군 담양읍 삼만리 산106-16,"35°20'29.8""N 126°59'52.1""E",,2015-04-29,2020-12-01,,,,담양읍,,,
99,380,60,금문3호,전라남도 담양군 담양읍 삼만리 산106-17,"35°20'29.8""N 126°59'52.1""E",,2015-04-29,2020-12-01,,,,담양읍,,,
85,380,60,명문,전라남도 담양군 대덕면 운암리 364-19,"35°15'02.3""N 127°02'55.5""E",,2014-11-14,2020-12-01,,,364-19,대덕면,,,
99.11,380,60,호남,,"35°17'49.0""N 127°01'31.3""E",,2014-11-11,2020-12-01,,무정공단길,3-31,무정면,,,
99,380,60,종석태양광1호,전라남도 담양군 수북면 오정리 137-1,"35°18'15.7""N 126°55'02.5""E",,2015-03-02,2020-12-01,,,137-1,수북면,,,
99,380,60,종석태양광2호,전라남도 담양군 수북면 오정리 137-2,"35°18'14.9""N 126°55'02.8""E",,2015-03-02,2020-12-01,,,137-2,수북면,,,
99,380,60,주원,전라남도 담양군 담양읍 강쟁리 1529-1,"35°18'12.5""N 126°57'55.4""E",,2015-02-02,2020-12-01,,,1529-1,담양읍,,,
59.28,380,60,제일태양광1호,전라남도 담양군 담양읍 강쟁리 1664,"35°18'03.9""N 126°58'47.6""E",,2015-12-04,2020-12-01,,,1664,담양읍,,,
61.56,380,60,청운친환경,,"35°13'49.6""N 127°01'09.8""E",,2014-12-02,2020-12-01,,유천길,35-1,창평면,,,
19.44,380,60,청운친환경,,"35°13'49.3""N 127°01'10.9""E",,2014-12-02,2020-12-01,,유천길,35-12,창평면,,,
98.05,380,60,대양공업,,"35°16'39.5""N 126°52'53.5""E",,2015-07-17,2020-12-01,,대치1길,35,대전면,,,
99,380,60,김미연태양광2호,전라남도 담양군 창평면 장화리 114,"35°14'23.7""N 127°00'05.4""E",,2014-12-26,2020-12-01,,,114,창평면,,,
50,380,60,준민2호,전라남도 담양군 창평면 용수리 573-4,"35°13'51.1""N 127°01'16.3""E",,2014-10-29,2020-12-01,,,573-4,창평면,,,
99,380,60,(유)해양에너지,"전라남도 담양군 금성면 원율리 470-74,470-55 ","35°21'30.5""N 127°01'34.3""E",,2015-06-15,2020-12-01,,,"470-74,470-55",금성면,,,
99,380,60,무한,전라남도 담양군 금성면 원율리 579-131,"35°21'18.4""N 127°01'27.5""E",,,2020-12-01,,,579-131,금성면,,,
33,380,60,샛별,전라남도 담양군 금성면 원율리 634-1,"35°21'28.8""N 127°01'28.6""E",,,2020-12-01,,,634-1,금성면,,,
99,380,60,아산,전라남도 담양군 금성면 원율리 579-136,"35°21'18.4""N 127°01'27.6""E",,,2020-12-01,,,579-136,금성면,,,
99,380,60,해달,전라남도 담양군 금성면 원율리 579-135,"35°21'18.4""N 127°01'27.5""E",,,2020-12-01,,,579-135,금성면,,,
99,380,60,에스제이솔라,"전라남도 담양군 금성면 원율리 633-1,634-2,635-1,636, 634-5",,,,2020-12-01,,,"633-1,634-2,635-1,636",금성면,,,
99,380,60,국인복,전라남도 담양군 대덕면 성곡리 164-1,"35°15'57.0""N 127°04'00.5""E",,2015-02-02,2020-12-01,,,164-1,대덕면,,,
99,380,60,서현미,전라남도 담양군 대덕면 성곡리 164-1,"35°15'56.9""N 127°04'00.5""E",,2015-02-02,2020-12-01,,,164-1,대덕면,,,
50,380,60,성곡1호,"전라남도 담양군 대덕면 성곡리 116,117",,,2014-10-31,2020-12-01,,,"116,117",대덕면,,,
50,380,60,금산,전라남도 담양군 대덕면 금산리 914,"35°15'46.9""N 127°02'02.5""E",,2015-01-23,2020-12-01,,,914,대덕면,,,
