위도,경도,power,plant:source,plant:method,plant:output:electricity,plant:storage,voltage,frequency,name,addr:full,start_date,source:date
35.34125,126.99975,plant,solar,photovoltaic,yes,95.66 kWh,380,60,에코하이테크농공단지,전라남도 담양군 담양읍 삼만리 1029-3,2014-07-02,2020-12-01
35.3366944444444,126.998277777778,plant,solar,photovoltaic,yes,99.12 kWh,380,60,종합폐기물시설,전라남도 담양군 담양읍 삼만리 404,2014-07-02,2020-12-01
35.2285277777778,127.014833333333,plant,solar,photovoltaic,yes,99 kWh,380,60,참사랑육오,"전라남도 담양군 창평면 의항리 42-3, 45-5",2014-10-23,2020-12-01
35.2541944444444,126.955916666667,plant,solar,photovoltaic,yes,49.5 kWh,380,60,쌍교1,전라남도 담양군 봉산면 유산길 2-28,2014-10-06,2020-12-01
35.2841666666667,126.981444444444,plant,solar,photovoltaic,yes,99 kWh,380,60,윤,전라남도 담양군 문정면 오봉리 405,2014-09-23,2020-12-01
35.2762222222222,126.887388888889,plant,solar,photovoltaic,yes,19.8 kWh,380,60,태훈,전라남도 담양군 대전면 대치길 5길 33-10,2014-08-27,2020-12-01
35.2236944444444,127.019333333333,plant,solar,photovoltaic,yes,99 kWh,380,60,유천,전라남도 담양군 창평면 유천리 271-13,2014-08-28,2020-12-01
35.263,127.065138888889,plant,solar,photovoltaic,yes,99 kWh,380,60,성곡,전라남도 담양군 대덕면 성곡리 117,2014-08-08,2020-12-01
35.2431944444444,127.016611111111,plant,solar,photovoltaic,yes,99 kWh,380,60,창평1호,전라남도 담양군 창평면 창평로 551-70,,2020-12-01
35.232,127.025194444444,plant,solar,photovoltaic,yes,97.24 kWh,380,60,의병태양광,전라남도 담양군 창평면 용수리 320,2015-03-13,2020-12-01
35.2373055555556,126.9975,plant,solar,photovoltaic,yes,98.8 kWh,380,60,의암태양광,전라남도 담양군 창평면 의암길 42,2015-03-13,2020-12-01
35.34,127.04575,plant,solar,photovoltaic,yes,39.84 kWh,380,60,에너지농장담양11호,전라남도 담양군 금성면 봉서리 278-2,,2020-12-01
35.3241944444444,126.976722222222,plant,solar,photovoltaic,yes,45.92 kWh,380,60,에너지농장담양12호,전라남도 담양군 담양읍 만성리 150,,2020-12-01
35.3428055555556,127.004277777778,plant,solar,photovoltaic,yes,80 kWh,380,60,강산,전라남도 담양군 담양읍 삼만리 1028-4,2014-09-02,2020-12-01
35.2395833333333,127.001694444444,plant,solar,photovoltaic,yes,98.8 kWh,380,60,김미연,전라남도 담양군 창평면 장화리 115,2015-02-27,2020-12-01
35.2756944444444,126.892416666667,plant,solar,photovoltaic,yes,50 kWh,380,60,김정현,전라남도 담양군 대치10길 38-3,,2020-12-01
35.3678333333333,127.001527777778,plant,solar,photovoltaic,yes,90 kWh,380,60,용암1,전라남도 담양군 용면 와산길 80,2014-10-06,2020-12-01
35.2762222222222,126.997833333333,plant,solar,photovoltaic,yes,99 kWh,380,60,감바우,전라남도 담양군 창평면 광덕리 산146-5,2014-08-08,2020-12-01
35.3530833333333,127.042777777778,plant,solar,photovoltaic,yes,99.84 kWh,380,60,금성,전라남도 담양군 금성공단길 75,2015-04-02,2020-12-01
35.3439166666667,126.953527777778,plant,solar,photovoltaic,yes,96.66 kWh,380,60,월산2호,전라남도 담양군 월산면 월산리 564외 2,2014-11-28,2020-12-01
35.3439166666667,126.953527777778,plant,solar,photovoltaic,yes,92.75 kWh,380,60,월산1호,전라남도 담양군 월산면 월산리 564외 2,2014-11-03,2020-12-01
35.3409722222222,126.997638888889,plant,solar,photovoltaic,yes,99 kWh,380,60,금문,전라남도 담양군 담양읍 삼만리 산106-10,2015-04-29,2020-12-01
35.2321944444444,127.0225,plant,solar,photovoltaic,yes,50 kWh,380,60,용수,전라남도 담양군 창평면 용수리720-2,2014-10-06,2020-12-01
35.2788055555556,127.000722222222,plant,solar,photovoltaic,yes,98.8 kWh,380,60,강종문태양광3호,전라남도 담양군 창평면 광덕리 산139-10,,2020-12-01
35.2939444444444,126.928805555556,plant,solar,photovoltaic,yes,45.1 kWh,380,60,에너지농장18호,전라남도 담양군 수북면 나산리 474-8,,2020-12-01
35.3629166666667,126.986194444444,plant,solar,photovoltaic,yes,98.28 kWh,380,60,신갑식1호,전라남도 담양군 용면 박곡길 2-11,2014-12-08,2020-12-01
,,plant,solar,photovoltaic,yes,99.2 kWh,380,60,신갑식 ,"전라남도 담양군 용면 통천리 765,764",2014-11-19,2020-12-01
35.3558611111111,126.991861111111,plant,solar,photovoltaic,yes,99.2 kWh,380,60,이영길,전라남도 담양군 용면 두장리 593-4,2015-02-23,2020-12-01
35.2315277777778,127.020027777778,plant,solar,photovoltaic,yes,99 kWh,380,60,준민1호,전라남도 담양군 창평면 삼천리 463-7,2014-10-29,2020-12-01
35.2022777777778,127.058083333333,plant,solar,photovoltaic,yes,79.05 kWh,380,60,대덕,전라남도 담양군 대덕면 남대덕로 505,2015-02-16,2020-12-01
35.2728333333333,126.972333333333,plant,solar,photovoltaic,yes,99.2 kWh,380,60,이재인,전라남도 담양군 봉산면 기곡리 293-2,2018-08-09,2020-12-01
35.2325,127.024083333333,plant,solar,photovoltaic,yes,50 kWh,380,60,남원1호,전라남도 담양군 창평면 용수리 322-3,2014-12-12,2020-12-01
35.3416111111111,126.997805555556,plant,solar,photovoltaic,yes,99 kWh,380,60,금문1호,전라남도 담양군 담양읍 삼만리 산106 ,2015-04-29,2020-12-01
35.3416111111111,126.997805555556,plant,solar,photovoltaic,yes,99 kWh,380,60,금문2호,전라남도 담양군 담양읍 삼만리 산106-16,2015-04-29,2020-12-01
35.3416111111111,126.997805555556,plant,solar,photovoltaic,yes,99 kWh,380,60,금문3호,전라남도 담양군 담양읍 삼만리 산106-17,2015-04-29,2020-12-01
35.2506388888889,127.04875,plant,solar,photovoltaic,yes,85 kWh,380,60,명문,전라남도 담양군 대덕면 운암리 364-19,2014-11-14,2020-12-01
35.2969444444444,127.025361111111,plant,solar,photovoltaic,yes,99.11 kWh,380,60,호남,전라남도 담양군 무정면 무정공단길 3-31,2014-11-11,2020-12-01
35.3043611111111,126.917361111111,plant,solar,photovoltaic,yes,99 kWh,380,60,종석태양광1호,전라남도 담양군 수북면 오정리 137-1,2015-03-02,2020-12-01
35.3041388888889,126.917444444444,plant,solar,photovoltaic,yes,99 kWh,380,60,종석태양광2호,전라남도 담양군 수북면 오정리 137-2,2015-03-02,2020-12-01
35.3034722222222,126.965388888889,plant,solar,photovoltaic,yes,99 kWh,380,60,주원,전라남도 담양군 담양읍 강쟁리 1529-1,2015-02-02,2020-12-01
35.3010833333333,126.979888888889,plant,solar,photovoltaic,yes,59.28 kWh,380,60,제일태양광1호,전라남도 담양군 담양읍 강쟁리 1664,2015-12-04,2020-12-01
35.2304444444444,127.019388888889,plant,solar,photovoltaic,yes,61.56 kWh,380,60,청운친환경,전라남도 담양군 창평면 유천길 35-1,2014-12-02,2020-12-01
35.2303611111111,127.019694444444,plant,solar,photovoltaic,yes,19.44 kWh,380,60,청운친환경,전라남도 담양군 창평면 유천길 35-12,2014-12-02,2020-12-01
35.2776388888889,126.881527777778,plant,solar,photovoltaic,yes,98.05 kWh,380,60,대양공업,전라남도 담양군 대전면 대치1길 35,2015-07-17,2020-12-01
35.2399166666667,127.0015,plant,solar,photovoltaic,yes,99 kWh,380,60,김미연태양광2호,전라남도 담양군 창평면 장화리 114,2014-12-26,2020-12-01
35.2308611111111,127.021194444444,plant,solar,photovoltaic,yes,50 kWh,380,60,준민2호,전라남도 담양군 창평면 용수리 573-4,2014-10-29,2020-12-01
35.3584722222222,127.026194444444,plant,solar,photovoltaic,yes,99 kWh,380,60,(유)해양에너지,"전라남도 담양군 금성면 원율리 470-74,470-55 ",2015-06-15,2020-12-01
35.3551111111111,127.024305555556,plant,solar,photovoltaic,yes,99 kWh,380,60,무한,전라남도 담양군 금성면 원율리 579-131,,2020-12-01
35.358,127.024611111111,plant,solar,photovoltaic,yes,33 kWh,380,60,샛별,전라남도 담양군 금성면 원율리 634-1,,2020-12-01
35.3551111111111,127.024333333333,plant,solar,photovoltaic,yes,99 kWh,380,60,아산,전라남도 담양군 금성면 원율리 579-136,,2020-12-01
35.3551111111111,127.024305555556,plant,solar,photovoltaic,yes,99 kWh,380,60,해달,전라남도 담양군 금성면 원율리 579-135,,2020-12-01
,,plant,solar,photovoltaic,yes,99 kWh,380,60,에스제이솔라,"전라남도 담양군 금성면 원율리 633-1,634-2,635-1,636, 634-5",,2020-12-01
35.2658333333333,127.066805555556,plant,solar,photovoltaic,yes,99 kWh,380,60,국인복,전라남도 담양군 대덕면 성곡리 164-1,2015-02-02,2020-12-01
35.2658055555556,127.066805555556,plant,solar,photovoltaic,yes,99 kWh,380,60,서현미,전라남도 담양군 대덕면 성곡리 164-1,2015-02-02,2020-12-01
,,plant,solar,photovoltaic,yes,50 kWh,380,60,성곡1호,"전라남도 담양군 대덕면 성곡리 116,117",2014-10-31,2020-12-01
35.2630277777778,127.034027777778,plant,solar,photovoltaic,yes,50 kWh,380,60,금산,전라남도 담양군 대덕면 금산리 914,2015-01-23,2020-12-01
35.1914166666667,127.106138888889,plant,solar,photovoltaic,yes,50 kWh,380,60,합강,전라남도 담양군 대덕면 갈전리 770-65,2015-01-21,2020-12-01
35.2456666666667,127.047111111111,plant,solar,photovoltaic,yes,90.72 kWh,380,60,운암,전라남도 담양군 대덕면 운암리 313,2014-11-11,2020-12-01
35.2337222222222,126.971611111111,plant,solar,photovoltaic,yes,99 kWh,380,60,조동선,"전라남도 담양군 고서면 동운리 1327-150, 1327-56",2015-08-03,2020-12-01
35.3000833333333,126.988361111111,plant,solar,photovoltaic,yes,99.11 kWh,380,60,송천,전라남도 담양군 담양읍 반룡리 277,2015-06-19,2020-12-01
35.2541111111111,126.951555555556,plant,solar,photovoltaic,yes,99 kWh,380,60,DK솔라,전라남도 담양군 봉산면 양지리 754-59,2015-05-13,2020-12-01
35.2558611111111,126.940138888889,plant,solar,photovoltaic,yes,99 kWh,380,60,와우솔라,전라남도 담양군 봉산면 양지리 754-3,2015-05-13,2020-12-01
35.2541388888889,126.951555555556,plant,solar,photovoltaic,yes,99 kWh,380,60,청솔(금문3),전라남도 담양군 봉산면 양지리 754-58,2015-05-13,2020-12-01
35.3483055555556,126.966138888889,plant,solar,photovoltaic,yes,90 kWh,380,60,남광이엔지,전라남도 담양군 월산면 장재길 139,2015-07-20,2020-12-01
35.2315555555556,127.022055555556,plant,solar,photovoltaic,yes,99.11 kWh,380,60,창평,"전라남도 담양군 창평면 용수리 568-1,568-2",2014-12-19,2020-12-01
35.3530833333333,127.002805555556,plant,solar,photovoltaic,yes,99 kWh,380,60,나선,전라남도 담양군 용면 두장리 55-1,2015-04-01,2020-12-01
35.3530555555556,127.002805555556,plant,solar,photovoltaic,yes,99 kWh,380,60,원 ,전라남도 담양군 용면 두장리 55,2015-04-01,2020-12-01
35.3530555555556,127.002805555556,plant,solar,photovoltaic,yes,99 kWh,380,60,종일,전라남도 담양군 용면 두장리 55-2,2015-04-01,2020-12-01
35.3681111111111,127.002638888889,plant,solar,photovoltaic,yes,99 kWh,380,60,와우,전라남도 담양군 용면 추성리 44,2015-04-15,2020-12-01
35.2769444444444,127.002055555556,plant,solar,photovoltaic,yes,99 kWh,380,60,영수,전라남도 담양군 창평면 광덕리 227-1,,2020-12-01
35.3411944444444,127.041194444444,plant,solar,photovoltaic,yes,99.2 kWh,380,60,금성1,전라남도 담양군 금성면 봉서리 577,2015-03-10,2020-12-01
35.3411944444444,127.041194444444,plant,solar,photovoltaic,yes,99.2 kWh,380,60,금성2,전라남도 담양군 금성면 봉서리 577,2015-03-10,2020-12-01
35.3411944444444,127.041194444444,plant,solar,photovoltaic,yes,99.2 kWh,380,60,금성3,전라남도 담양군 금성면 봉서리 577,2015-03-10,2020-12-01
35.2320277777778,127.019305555556,plant,solar,photovoltaic,yes,99.11 kWh,380,60,담양1호,전라남도 담양군 창평면 삼천리 316-2,2015-01-02,2020-12-01
35.2320277777778,127.019305555556,plant,solar,photovoltaic,yes,99.11 kWh,380,60,담양2호,전라남도 담양군 창평면 삼천리 316-2,2015-01-02,2020-12-01
35.3381666666667,127.062888888889,plant,solar,photovoltaic,yes,99.12 kWh,380,60,추성,"전라남도 담양군 금성면 덕성리 282-2,283",2015-04-07,2020-12-01
35.3381944444444,127.062888888889,plant,solar,photovoltaic,yes,99.12 kWh,380,60,동탄,"전라남도 담양군 금성면 덕성리 282-3,283-1,284",2015-04-07,2020-12-01
35.33775,127.062944444444,plant,solar,photovoltaic,yes,99.12 kWh,380,60,현자,"전라남도 담양군 금성면 덕성리 283-2,284-1",2015-04-07,2020-12-01
,,plant,solar,photovoltaic,yes,99.12 kWh,380,60,우평,"전라남도 담양군 금성면 덕성리 284-2, 284-3",2015-04-07,2020-12-01
35.2421388888889,127.014805555556,plant,solar,photovoltaic,yes,99 kWh,380,60,신진,"전라남도 담양군 창평면 창평리 439-1,440-1",,2020-12-01
,,plant,solar,photovoltaic,yes,44.8 kWh,380,60,광암,전라남도 담양군 월산면 광암리 118-1,2015-02-25,2020-12-01
35.3614722222222,127.003416666667,plant,solar,photovoltaic,yes,99 kWh,380,60,용두,전라남도 담양군 용면 두장리 1,2015-10-05,2020-12-01
,,plant,solar,photovoltaic,yes,37.44 kWh,380,60,오종함,전라남도 담양군 용면 장찬길 94,2016-10-31,2020-12-01
