위도,경도,name,addr:full,phone,source:date,amenity,healthcare:speciality
37.59248427,126.6719015,인천탑한방병원,"인천광역시 서구 청마로19번길 13, 2~3층 (당하동)",032-563-1075,2020-08-28,clinic,acupuncture
37.53251184,126.6417038,청라스퀘어병원,"인천광역시 서구 청라루비로 76, 지하1층일부, 2~6층  (청라동, 청라 스퀘어7)",032-569-5692,2020-08-28,hospital,
37.53233836,126.6556911,청라좋은병원,"인천광역시 서구 청라에메랄드로 79, 2~4층 (청라동, 청라커낼에비뉴)",032-271-0119,2020-08-28,hospital,
37.49889104,126.6715124,참진요양병원,"인천광역시 서구 건지로 264, 4~6층 (가좌동)",032-577-9777,2020-08-28,hospital,
37.52673858,126.6720374,청라베스트요양병원,"인천광역시 서구 봉오재3로110번길 7, 6~9층 (가정동, 가정봄프라자)",032-220-1500,2020-08-28,hospital,
37.52641513,126.6705158,서울대효청라요양병원,"인천광역시 서구 염곡로464번길 11, 4~8층 (가정동, 루원탑프라자)",032-724-7114,2020-08-28,hospital,
37.53209493,126.6509323,청라한방병원,"인천광역시 서구 중봉대로586번길 9-4, 쓰리엠타워 6층 (청라동)",032-279-3000,2020-08-28,doctors,acupuncture
37.59457594,126.6971045,나무요양병원,"인천광역시 서구 고산후로121번길 19, 새롬프라자 1~5층 (원당동)",032-569-7175,2020-08-28,hospital,
37.53398199,126.6568157,청라국제병원,"인천광역시 서구 청라에메랄드로102번길 8, 2~4층 (청라동, 우성메디피아)",032-577-8275,2020-08-28,hospital,
37.53338225,126.6516219,청라연세어린이병원,"인천광역시 서구 중봉대로612번길 10-16  (청라동, 마르씨엘)",032-590-1500,2020-08-28,hospital,
37.54486695,126.6728251,조은내일치과병원,인천광역시 서구 승학로 250 (심곡동),032-564-3500,2020-08-28,dentist,
37.60282476,126.656486,착한마디병원,"인천광역시 서구 완정로 180, 2~5층 (마전동, 동화빌딩)",1577-9782,2020-08-28,hospital,acupuncture
37.59287741,126.6764238,명장한방병원,"인천광역시 서구 청마로 175, 3~5층 (당하동, 뉴욕프라자)",032-569-5858,2020-08-28,clinic,acupuncture
37.53336714,126.6502984,청라여성병원,"인천광역시 서구 중봉대로 602, 2~6층, 9층 (청라동)",032-716-6000,2020-08-28,hospital,
37.50668159,126.6720192,JS노송병원,인천광역시 서구 길주로 91 (석남동),032-516-5000,2020-08-28,hospital,
37.52910721,126.610031,감인의료재단 청라백세요양병원,인천광역시 서구 로봇랜드로249번길 14 (청라동),032-524-8800,2020-08-28,hospital,
37.54234717,126.6835743,가톨릭관동대학교국제성모병원,"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)",1600-8291,2020-08-28,hospital,
37.48318702,126.6844876,청담요양병원,"인천광역시 서구 열우물로 235, 2~5층 (가좌동, 가재울플라자)",032-324-8255,2020-08-28,hospital,
37.5928684,126.6748161,블레스병원,"인천광역시 서구 청마로167번안길 17, 2~5층 (당하동,선혜프라자)",032-563-1175,2020-08-28,hospital,
37.60153282,126.6545954,정인의료소비자협동조합 검단연세한방병원,"인천광역시 서구 검단로459번길 3-2 (왕길동, 파크프라자)",032-505-6114,2020-08-28,doctors,acupuncture
37.59664085,126.6681588,검단다나음한방병원,"인천광역시 서구 완정로 55, 2~5층 (마전동, 광진빌딩)",032-569-8088,2020-08-28,clinic,acupuncture
37.50886951,126.6726817,인천힐링스병원,인천광역시 서구 가정로 270 (석남동),032-577-2000,2020-08-28,hospital,
37.60279126,126.6543349,온누리병원,인천광역시 서구 완정로 199 (왕길동),032-567-6200,2020-08-28,hospital,
37.55029979,126.6744038,인천연세병원,인천광역시 서구 승학로 320 (연희동),032-561-3457,2020-08-28,hospital,
37.59262417,126.6707214,검단탑병원,인천광역시 서구 청마로19번길 5 (당하동),032-590-0114,2020-08-28,hospital,
37.5164678,126.6761331,인천참사랑병원,인천광역시 서구 원창로240번길 9 (가정동),032-571-9111,2020-08-28,hospital,
37.54668999,126.6851841,인천시립치매요양병원,인천광역시 서구 심곡로132번길 21-1 (심곡동),032-562-5101,2020-08-28,hospital,
37.48905435,126.6797827,의료법인 루가의료재단 나은병원,인천광역시 서구 원적로 23 (가좌동),032-584-0114,2020-08-28,hospital,
37.50979289,126.6698603,의료법인 성세의료재단 뉴 성민병원,인천광역시 서구 신석로 70 (석남동),032-726-1000,2020-08-28,hospital,
37.54611213,126.6842664,인천은혜요양병원,인천광역시 서구 심곡로132번길 21 (심곡동),032-562-5101,2020-08-28,hospital,
37.54553011,126.6845934,은혜병원,인천광역시 서구 심곡로132번길 22 (심곡동),032-562-5103,2020-08-28,hospital,
