위도,경도,name,addr:full,phone,source:date,amenity,healthcare:speciality,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.50297214,126.6722658,석남서울치과의원,"인천광역시 서구 가정로 204, 2~3층 (석남동)",+82 32 576 2875,2020-08-28,dentist,,,가정로,204,석남동,,,
37.5323839,126.6470464,휴앤미의원,"인천광역시 서구 청라커낼로260번길 27, 128~129호 (청라동, 청라한신더휴커낼웨이)",+82 32 562 8857,2020-08-28,doctors,,,청라커낼로260번길,27,,,,128-129
37.5323839,126.6470464,세중한의원 청라점,"인천광역시 서구 청라커낼로260번길 27, 246호 (청라동, 청라한신더휴커낼웨이)",+82 32 567 3308,2020-08-28,doctors,acupuncture,,청라커낼로260번길,27,,,,246
37.53208948,126.6457279,연세예쁜미소치과의원,"인천광역시 서구 청라커낼로260번길 11, 405호 (청라동, 진성프라자)",+82 32 710 2879,2020-08-28,dentist,,,청라커낼로260번길,11,,,,405
37.52208025,126.6648346,소망연세의원,"인천광역시 서구 새오개로111번안길 32, 2~3층 (신현동)",+82 32 715 5774,2020-08-28,doctors,,,새오개로111번안길,32,신현동,,,
37.5323839,126.6470464,연세별치과의원,"인천광역시 서구 청라커낼로260번길 27, 247호 (청라동, 청라한신더휴커낼웨이)",+82 32 268 2875,2020-08-28,dentist,,,청라커낼로260번길,27,,,,247
37.51848254,126.6726021,365채움한의원,"인천광역시 서구 가정로 375, 202,208호 (신현동, 금강아미움)",+82 32 575 1075,2020-08-28,doctors,acupuncture,,가정로,375,,,,"202,208"
37.52638571,126.6711046,우리베스트내과의원,,+82 32 715 6308,2020-08-28,doctors,,,염곡로464번길,15,가정동,,4,
37.53386257,126.6455601,뜰한의원,"인천광역시 서구 청라커낼로288번길 10, 406호 (청라동, 더스페이스타워)",+82 32 710 1472,2020-08-28,doctors,acupuncture,,청라커낼로288번길,10,,,,406
37.52647816,126.6697114,서울정형외과의원,"인천광역시 서구 염곡로 468, 7~8층 (가정동, 드림타워)",+82 32 561 1140,2020-08-28,doctors,,,염곡로,468,,,,
37.53341248,126.6401035,청라맑은샘한의원,"인천광역시 서구 청라루비로 93, 205호 (청라동, 루비타워)",+82 32 564 1238,2020-08-28,doctors,acupuncture,,청라루비로,93,,,,205
37.53233836,126.6556911,청라좋은하늘치과의원,,+82 32 265 2875,2020-08-28,dentist,,,청라에메랄드로,79,청라동,,,306-307
37.59410011,126.6737751,오케이마취통증의학과의원,"인천광역시 서구 원당대로 651, 2~3층 (마전동, 완정빌딩)",+82 32 566 7700,2020-08-28,doctors,,,원당대로,651,,,,
37.53398199,126.6568157,청라단비한의원,"인천광역시 서구 청라에메랄드로102번길 8, 405호 (청라동, 우성메디피아)",+82 32 565 1075,2020-08-28,doctors,acupuncture,,청라에메랄드로102번길,8,,,,405
37.60180142,126.6576142,더나아산부인과의원,"인천광역시 서구 검단로 480, 5층 (왕길동, 검단리치웰프라자)",+82 32 567 5732,2020-08-28,doctors,,,검단로,480,,,5,
37.53259499,126.6458093,청라S한의원,"인천광역시 서구 청라커낼로260번길 7-11, 201~207호 (청라동, 청라퍼스트타워)",+82 32 719 8258,2020-08-28,doctors,acupuncture,,청라커낼로260번길,7-11,,,,201-207
37.51813807,126.673219,뉴욕리더스치과의원,,+82 32 573 2825,2020-08-28,dentist,,,가정로,372,가정동,,,201
37.49955842,126.6619783,국제플란트치과의원,,+82 32 584 1007,2020-08-28,dentist,,,봉수대로,268,석남동,,,201
37.60260123,126.65743,인천용한의원,,+82 32 565 1368,2020-08-28,doctors,acupuncture,,완정로,172,마전동,,,303
37.60260123,126.65743,이화별의원,,+82 32 564 9400,2020-08-28,doctors,,,완정로,172,마전동,,,407
37.54229397,126.6763898,경희참조은한의원,"인천광역시 서구 서곶로 277 (심곡동, 동우 리스웰)",+82 32 565 8588,2020-08-28,doctors,acupuncture,,서곶로,277,,,,
37.59328487,126.6968665,더(the)조은정신건강의학과의원,"인천광역시 서구 원당대로 860, 804호 (당하동, 보람프라자)",+82 32 564 7505,2020-08-28,doctors,,,원당대로,860,,,,804
37.53386257,126.6455601,진이비인후과의원,"인천광역시 서구 청라커낼로288번길 10, 403~404호 (청라동, 더스페이스타워)",+82 32 561 5552,2020-08-28,doctors,,,청라커낼로288번길,10,,,,403-404
37.53208948,126.6457279,참편안365의원,"인천광역시 서구 청라커낼로260번길 11, 602~604호 (청라동, 진성프라자)",+82 32 562 1175,2020-08-28,doctors,,,청라커낼로260번길,11,,,,602-604
37.52647816,126.6697114,드림본의원,"인천광역시 서구 염곡로 468, 601~604호 (가정동, 드림타워)",+82 32 566 7576,2020-08-28,doctors,,,염곡로,468,,,,601-604
37.52638571,126.6711046,루원365한의원,,+82 1877 4975,2020-08-28,doctors,acupuncture,,염곡로464번길,15,가정동,,,"301-302호,310-311호,605-609"
37.53386257,126.6455601,청라미소소아청소년과의원,"인천광역시 서구 청라커낼로288번길 10, 505호 (청라동, 더스페이스타워)",+82 32 563 7227,2020-08-28,doctors,,,청라커낼로288번길,10,,,,505
37.60147146,126.6587073,오라클피부과의원,"인천광역시 서구 완정로 153, 5층 (왕길동, 이레메디칼센터)",+82 32 566 4114,2020-08-28,doctors,,,완정로,153,,,5,
37.51892599,126.6727752,정본한의원,,+82 32 724 8004,2020-08-28,doctors,acupuncture,,가정로,379,신현동,,,402
