위도,경도,operator,operator:type,addr:full,amenity,name,phone,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
35.60102,127.244759,임실군청,government,전라북도 임실군 임실읍 신안2길42-3,hospital,신안진료소,063-642-2759,,,,임실읍,,,
35.61174,127.198111,임실군청,government,전라북도 임실군 운암면 학암2길28,hospital,학암진료소,063-644-3745,,,,운암면,,,
35.605066,127.17797,임실군청,government,,hospital,선거진료소,063-643-8678,,선거1길,33-6,운암면,,,
35.633324,127.211125,임실군청,government,,hospital,북창진료소,063-644-3800,,용암2길,5,신평면,,,
35.601192,127.320179,임실군청,government,,hospital,오류진료소,063-642-9324,,오류1길,47,성수면,,,
35.506787,127.332515,임실군청,government,전라북도 임실군 오수면 둔기길42,hospital,둔기진료소,063-642-6469,,,,오수면,,,
35.576221,127.312674,임실군청,government,,hospital,봉천진료소,063-644-6497,,봉천1길,7,오수면,,,
35.700933,127.160165,임실군청,government,,hospital,신덕진료소,063-644-0412,,불재로,336,신덕면,,,
35.691719,127.207907,임실군청,government,전라북도 임실군 신덕면 지장1길12,hospital,지장진료소,063-643-6892,,,,신덕면,,,
35.493251,127.244612,임실군청,government,전라북도 임실군 삼계면 세심길80,hospital,세심진료소,063-642-7763,,,,삼계면,,,
35.520684,127.282079,임실군청,government,전라북도 임실군 삼계면 충효로1451,hospital,송정진료소,063-642-7838,,,,삼계면,,,
35.657672,127.297988,임실군청,government,전라북도 임실군 관촌면 도봉1길8-18,hospital,도봉진료소,063-643-9095,,,,관촌면,,,
35.699122,127.278685,임실군청,government,전라북도 임실군 관촌면 방수1길16-17,hospital,방수진료소,063-643-2192,,,,관촌면,,,
35.720052,127.267844,임실군청,government,전라북도 임실군 관촌면 신전4길3-3,hospital,신전진료소,063-643-2153,,,,관촌면,,,
35.549438,127.104751,임실군청,government,전라북도 임실군 강진면 옥정호로800-4,hospital,옥정진료소,063-644-5519,,,,강진면,,,
35.514655,127.180755,임실군청,government,전라북도임실군 덕치면 사곡1길18-8,hospital,사곡진료소,063-643-5165,,,,덕치면,,,
35.588291,127.360201,임실군청,government,전라북도 임실군 지사면 원산3길18-1,hospital,원산진료소,063-642-4531,,,,지사면,,,
35.591836,127.124243,임실군청,government,,hospital,하운암진료소,063-643-4110,,강운로,991-31,운암면,,,
35.629404,127.332219,임실군청,government,전라북도 임실군 성수면 임진로203,hospital,성수보건지소,063-640-3225,,,,성수면,,,
35.565417,127.358402,임실군청,government,전라북도임실군 지사면 충효로2451-5,hospital,지사보건지소,063-640-3232,,,,지사면,,,
35.538876,127.328517,임실군청,government,전라북도 임실군 오수면 오수4길9-3,hospital,오수보건지소,063-640-3226,,,,오수면,,,
35.507322,127.275405,임실군청,government,전라북도 임실군 삼계면 삼계1길20-11,hospital,삼계보건지소,063-640-3248,,,,삼계면,,,
35.661385,127.163374,임실군청,government,전라북도 임실군 운암면 임운로1886,hospital,운암보건지소,063-640-3223,,,,운암면,,,
35.684146,127.178575,임실군청,government,전라북도 임실군 신덕면 수지로102,hospital,신덕보건지소,063-640-3217,,,,신덕면,,,
35.654628,127.222835,임실군청,government,전라북도 임실군 신평면 석등슬치로339,hospital,신평보건지소,063-640-3224,,,,신평면,,,
35.673703,127.270625,임실군청,government,전라북도 임실군 관촌면 사선1길13-1,hospital,관촌보건지소,063-640-3269,,,,관촌면,,,
35.568931,127.200577,임실군청,government,전라북도 임실군 청웅면 청웅로143,hospital,청웅보건지소,063-640-3222,,,,청웅면,,,
35.530309,127.163347,임실군청,government,전라북도 임실군 강진면 호국로47-1,hospital,강진보건지소,063-640-3270,,,,강진면,,,
35.509438,127.155794,임실군청,government,전라북도 임실군 덕치면 회문1길14,hospital,덕치보건지소,063-640-3251,,,,덕치면,,,
