위도,경도,name,addr:full,phone,source;date,shop,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2527194803,126.5040260664,봄안경,,,2020-06-30,optician,,대청로,39,,,,
33.2520858696,126.5588909002,누리바로,,064-747-0258,2020-06-30,optician,,중앙로89번길,15,,,,
33.251674857,126.5609661915,서귀포한라안경원,,064-763-3536,2020-06-30,optician,,중앙로,79,,,,
33.2499016921,126.5613184427,더좋은안경원,,064-900-4320,2020-06-30,optician,,중앙로,59,,,,
33.2604855388,126.5599347729,아이피아안경원,,064-763-2513,2020-06-30,optician,,중앙로,180,,,,
33.2550905523,126.5724445913,세컨페이스 서귀포점,,064-767-0317,2020-06-30,optician,,일주동로,8572,,,,
33.2608928185,126.557829237,지니스안경서귀포중앙점,,064-733-7071,2020-06-30,optician,,중앙로,189,,,,
33.2507375572,126.5610781872,안경매니져,,064-762-0010,2020-06-30,optician,,중앙로,69,,,,
33.254603344,126.5609644236,서귀포 다비치 시청점,,064-732-1357,2020-06-30,optician,,중앙로,112,,,,
33.2489926319,126.5073221055,다비치안경 신서귀포이마트 옆점,,064-739-8055,2020-06-30,optician,,월드컵로,8,,,,
33.2476393794,126.5630766694,렌즈미,,064-733-4835,2020-06-30,optician,,중정로62번길,1,,,,
33.253503936,126.5611287438,글라스스토리 서귀포점,,064-762-3006,2020-06-30,optician,,중앙로,100-4,,,,
33.247184742,126.5609671816,파가니니안경원서귀포점,,064-763-2080,2020-06-30,optician,,태평로353번길,20,,,,
33.2520980847,126.5613246379,행복한 안경,,064-763-0880,2020-06-30,optician,,중앙로,84,,,,
33.2516004997,126.5613571708,안경OK콘택트,,064-732-5454,2020-06-30,optician,,중앙로,78,,,,
33.2517044683,126.4272756228,아이-원 안경,,064-738-4004,2020-06-30,optician,,천제연로,211,,,,
33.2483397325,126.5091156239,이 안 경,,064-739-6656,2020-06-30,optician,,일주동로,9209,,,,
33.2530076684,126.5615347158,워너비 안경,,064-732-2600,2020-06-30,optician,,중앙로,94,,,,
33.2523187143,126.5615038173,크로바안경,,064-762-2620,2020-06-30,optician,,동문로,2,,,,
33.2523993972,126.425468284,중문안경방,,064-738-7444,2020-06-30,optician,,중문상로,43,,,,
33.251674857,126.5609661915,한라안경원,,064-763-3545,2020-06-30,optician,,중앙로,79,,,,
33.2483338122,126.564669924,제일안경,,064-762-3585,2020-06-30,optician,,중정로,77-1,,,,
33.2482351752,126.564309866,동양당안경,,064-762-5445,2020-06-30,optician,,중정로,73,,,,
33.2479141252,126.564289998,한일안경,,064-762-8413,2020-06-30,optician,,이중섭로,1,,,,
33.2485242978,126.5614025846,중앙안경,,064-732-4958,2020-06-30,optician,,중앙로,43-1,,,,
33.4462535018,126.9115594203,민트스쿠버,,,2020-06-30,optician,,일주동로,4282,성산읍,,,
33.3268290727,126.8318411372,표선봄안경원,,064-787-7400,2020-06-30,optician,,표선중앙로,70,표선면,,,
33.326029988,126.8329983174,표선안경,,064-762-2525,2020-06-30,optician,,표선중앙로,85,표선면,,,
33.4472547077,126.914729016,그린안경,,,2020-06-30,optician,,일출로,18,성산읍,,,
33.2792973245,126.7192420052,남원안경,제주특별자치도 서귀포시 남원읍 태위로 679번길 2,064-764-2415,2020-06-30,optician,,태위로,2,남원읍,,,
33.3253870754,126.8322906959,YES안경,,064-787-1982,2020-06-30,optician,,표선동서로,241,표선면,,,
33.4500424235,126.9146316399,밝은눈안경,,064-782-4387,2020-06-30,optician,,고성오조로,71,성산읍,,,
33.221767251,126.2532271932,다본안경원,,064-792-0606,2020-06-30,optician,,하모상가로,41,대정읍,,,
33.2216266,126.2496372,진안경세상 콘택트,제주특별자치도 서귀포시 대정읍 하모리 945-1,064-794-8851,2020-06-30,optician,,,945-1,대정읍,,,
33.2216708318,126.2521853403,레오나르도다빈치,,064-792-4449,2020-06-30,optician,,하모상가로,29,대정읍,,,
33.2811085,126.276309,눈을 맞추다,,064-792-0242,2020-06-30,optician,,글로벌에듀로,370,대정읍,,,
33.2340440839,126.2641990545,최남당안경원,,,2020-06-30,optician,,일주서로,2460,대정읍,,,
