위도,경도,amenity,name,phone,addr:full,source:date
33.2727721158,126.609350651,doctors,(재) 사랑의 장기기증 운동본부 사랑의 의원,064-767-1432,제주특별자치도 서귀포시 하신상로 169 ,
33.2475147251,126.5645538035,doctors,강의원,064-762-2626,제주특별자치도 서귀포시 명동로 25,2020-06-30
33.2523423495,126.5620702996,doctors,강남새힘마취통증의학과의원,064-732-7588,제주특별자치도 서귀포시 동문로 5 ,2020-06-30
33.2485512677,126.5618917655,doctors,고려 삼성의원,064-762-7524,제주특별자치도 서귀포시 중앙로 44 ,2020-06-30
33.252476703,126.558249364,doctors,고은미(美)의원,064-763-1231,제주특별자치도 서귀포시 일주동로 8707,2020-06-30
33.2480020479,126.5646801533,doctors,고은희 산부인과의원,064-762-2266,제주특별자치도 서귀포시 중정로 78,2020-06-30
33.255061498,126.575543963,doctors,그린정형외과의원,064-763-7582,제주특별자치도 서귀포시 일주동로 8544,2020-06-30
33.2485470757,126.5627502347,doctors,김상훈 비뇨기과의원,064-762-7888,제주특별자치도 서귀포시 중앙로 42번길 9,2020-06-30
33.24753,126.5624288,doctors,김석홍마취통증의학과,064-763-7575,제주특별자치도 서귀포시 중정로 56-2 ,2020-06-30
33.2525962143,126.5604250291,doctors,다인안과 이비인후과의원,064-733-7566,제주특별자치도 서귀포시 중앙로 89 ,2020-06-30
33.2530375488,126.5618264539,doctors,다정금 이비인후과 의원,064-767-9289,제주특별자치도 서귀포시 일주동로 8673,2020-06-30
33.2470893814,126.561538517,doctors,대림외과의원,,제주특별자치도 서귀포시 중앙로 25-3,2020-06-30
33.2487495472,126.5618693149,doctors,더미인의원,064-762-3222,제주특별자치도 서귀포시 중앙로 46,2020-06-30
33.2528005661,126.5026563216,doctors,미래가정의학과의원,064-738-5335,제주특별자치도 서귀포시 대청로25번길4,2020-06-30
33.2489574,126.5067471,doctors,바로내과의원,064-738-8877,제주특별자치도 서귀포시 월드컵로 8,2020-06-30
33.2478123821,126.562019926,doctors,박정신과의원,064-762-0946,제주특별자치도 서귀포시 중정로 53,2020-06-30
33.2527187579,126.5604029533,doctors,밝은 정신건강의학과 의원,064-733-0434,제주특별자치도 서귀포시 중앙로 91 ,2020-06-30
33.2523423495,126.5620702996,doctors,베스트비뇨기과의원,064-732-3939,제주특별자치도 서귀포시 동문로 5,2020-06-30
33.2535313316,126.5637899476,doctors,본의원,064-733-0380,제주특별자치도 서귀포시 일주동로 8653 ,2020-06-30
33.254800016,126.5604869673,doctors,삼성맘편한신경과의원,064-733-9119,제주특별자치도 서귀포시 중앙로 113,2020-06-30
33.2522711794,126.5613194805,doctors,삼성신경외과의원,064-732-8575,제주특별자치도 서귀포시 중앙로 86 ,2020-06-30
33.2498301,126.562828,doctors,삼성 탑 내과의원,064-762-3662,제주특별자치도 서귀포시 중정로 61 ,2020-06-30
33.2535780949,126.5086356249,doctors,새론의원,064-738-8119,제주특별자치도 서귀포시 신서로48번길 31 ,2020-06-30
33.2523832969,126.5603874633,doctors,서귀포 365일 의원,064-733-3650,제주특별자치도 서귀포시 서문로 2,2020-06-30
33.2525962143,126.5604250291,doctors,서귀포내과,064-763-4053,제주특별자치도 서귀포시 중앙로 89,2020-06-30
33.2523187143,126.5615038173,doctors,서귀포 빛사랑 안과 의원,064-763-3030,제주특별자치도 서귀포시 동문로 2,2020-06-30
33.2484019658,126.5614847481,doctors,서귀포유신경외과의원,064-763-1175,제주특별자치도 서귀포시 중앙로 43,2020-06-30
33.2528304822,126.5603809316,doctors,서귀포 재활의학과 의원,064-762-8867,제주특별자치도 서귀포시 중앙로 93,2020-06-30
33.2488328498,126.5681570543,doctors,서귀포 제일 속내과의원,064-767-2992,제주특별자치도 서귀포시 중정로 109,2020-06-30
33.2489926319,126.5073221055,doctors,서울삼성이비인후과의원,064-739-1146,제주특별자치도 서귀포시 월드컵로 8 ,2020-06-30
33.2538167,126.5590999,doctors,서울아산이비인후과의원,064-767-7582,제주특별자치도 서귀포시 일주동로 8694,2020-06-30
33.2489926319,126.5073221055,doctors,서울정형외과 의원,064-763-4973,제주특별자치도 서귀포시 월드컵로 8 ,2020-06-30
33.2489926319,126.5073221055,doctors,서울퍼스트성형외과의원,064-738-7538,제주특별자치도 서귀포시월드컵로8,2020-06-30
33.2530190325,126.5616891876,doctors,수내과의원,064-732-1211,제주특별자치도 서귀포시 일주동로 8675 ,2020-06-30
33.254800016,126.5604869673,doctors,수마취통증의학과의원,064-901-1213,제주특별자치도 서귀포시 중앙로 113,2020-06-30
33.2530190325,126.5616891876,doctors,시울 정신건강의학과의원,064-763-0780,제주특별자치도 서귀포시 일주동로 8675 ,2020-06-30
