위도,경도,amenity,name,phone,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2727721158,126.609350651,doctors,(재) 사랑의 장기기증 운동본부 사랑의 의원,064-767-1432,,,,하신상로,169,,,,
33.2475147251,126.5645538035,doctors,강의원,064-762-2626,,2020-06-30,,명동로,25,,,,
33.2523423495,126.5620702996,doctors,강남새힘마취통증의학과의원,064-732-7588,,2020-06-30,,동문로,5,,,,
33.2485512677,126.5618917655,doctors,고려 삼성의원,064-762-7524,,2020-06-30,,중앙로,44,,,,
33.252476703,126.558249364,doctors,고은미(美)의원,064-763-1231,,2020-06-30,,일주동로,8707,,,,
33.2480020479,126.5646801533,doctors,고은희 산부인과의원,064-762-2266,,2020-06-30,,중정로,78,,,,
33.255061498,126.575543963,doctors,그린정형외과의원,064-763-7582,,2020-06-30,,일주동로,8544,,,,
33.2485470757,126.5627502347,doctors,김상훈 비뇨기과의원,064-762-7888,제주특별자치도 서귀포시 중앙로 42번길 9,2020-06-30,,중앙로,9,,,,
33.24753,126.5624288,doctors,김석홍마취통증의학과,064-763-7575,,2020-06-30,,중정로,56-2,,,,
33.2525962143,126.5604250291,doctors,다인안과 이비인후과의원,064-733-7566,,2020-06-30,,중앙로,89,,,,
33.2530375488,126.5618264539,doctors,다정금 이비인후과 의원,064-767-9289,,2020-06-30,,일주동로,8673,,,,
33.2470893814,126.561538517,doctors,대림외과의원,,,2020-06-30,,중앙로,25-3,,,,
33.2487495472,126.5618693149,doctors,더미인의원,064-762-3222,,2020-06-30,,중앙로,46,,,,
33.2528005661,126.5026563216,doctors,미래가정의학과의원,064-738-5335,제주특별자치도 서귀포시 대청로25번길4,2020-06-30,,,,,,,
33.2489574,126.5067471,doctors,바로내과의원,064-738-8877,,2020-06-30,,월드컵로,8,,,,
33.2478123821,126.562019926,doctors,박정신과의원,064-762-0946,,2020-06-30,,중정로,53,,,,
33.2527187579,126.5604029533,doctors,밝은 정신건강의학과 의원,064-733-0434,,2020-06-30,,중앙로,91,,,,
33.2523423495,126.5620702996,doctors,베스트비뇨기과의원,064-732-3939,,2020-06-30,,동문로,5,,,,
33.2535313316,126.5637899476,doctors,본의원,064-733-0380,,2020-06-30,,일주동로,8653,,,,
33.254800016,126.5604869673,doctors,삼성맘편한신경과의원,064-733-9119,,2020-06-30,,중앙로,113,,,,
33.2522711794,126.5613194805,doctors,삼성신경외과의원,064-732-8575,,2020-06-30,,중앙로,86,,,,
33.2498301,126.562828,doctors,삼성 탑 내과의원,064-762-3662,,2020-06-30,,중정로,61,,,,
33.2535780949,126.5086356249,doctors,새론의원,064-738-8119,,2020-06-30,,신서로48번길,31,,,,
33.2523832969,126.5603874633,doctors,서귀포 365일 의원,064-733-3650,,2020-06-30,,서문로,2,,,,
33.2525962143,126.5604250291,doctors,서귀포내과,064-763-4053,,2020-06-30,,중앙로,89,,,,
33.2523187143,126.5615038173,doctors,서귀포 빛사랑 안과 의원,064-763-3030,,2020-06-30,,동문로,2,,,,
33.2484019658,126.5614847481,doctors,서귀포유신경외과의원,064-763-1175,,2020-06-30,,중앙로,43,,,,
33.2528304822,126.5603809316,doctors,서귀포 재활의학과 의원,064-762-8867,,2020-06-30,,중앙로,93,,,,
33.2488328498,126.5681570543,doctors,서귀포 제일 속내과의원,064-767-2992,,2020-06-30,,중정로,109,,,,
33.2489926319,126.5073221055,doctors,서울삼성이비인후과의원,064-739-1146,,2020-06-30,,월드컵로,8,,,,
33.2538167,126.5590999,doctors,서울아산이비인후과의원,064-767-7582,,2020-06-30,,일주동로,8694,,,,
33.2489926319,126.5073221055,doctors,서울정형외과 의원,064-763-4973,,2020-06-30,,월드컵로,8,,,,
33.2489926319,126.5073221055,doctors,서울퍼스트성형외과의원,064-738-7538,제주특별자치도 서귀포시월드컵로8,2020-06-30,,,,,,,
33.2530190325,126.5616891876,doctors,수내과의원,064-732-1211,,2020-06-30,,일주동로,8675,,,,
33.254800016,126.5604869673,doctors,수마취통증의학과의원,064-901-1213,,2020-06-30,,중앙로,113,,,,
33.2530190325,126.5616891876,doctors,시울 정신건강의학과의원,064-763-0780,,2020-06-30,,일주동로,8675,,,,
33.2480512996,126.5632978151,doctors,시원한 이비인후과 의원,064-763-5075,,2020-06-30,,중정로,65,,,,
33.2489926319,126.5073221055,doctors,신윤석외과의원,064-739-2772,,2020-06-30,,월드컵로,8,,,,
33.2530924167,126.5620450957,doctors,아름다운 의원,064-733-7975,,2020-06-30,,일주동로,8671,,,,
33.2539719529,126.5070022729,doctors,아이맘소아청소년과의원,064-739-7535,,2020-06-30,,신서귀로97번길,51,,,,
33.2523832969,126.5603874633,doctors,양승지외과의원,064-762-8875,,2020-06-30,,서문로,2,,,,
33.2473856103,126.5616786799,doctors,양승철소아과의원,064-762-8275,,2020-06-30,,중정로,50,,,,
33.2523187143,126.5615038173,doctors,양재식 내과의원,064-732-3800,,2020-06-30,,동문로,2,,,,
33.2530190325,126.5616891876,doctors,연세 안과의원,064-762-0727,,2020-06-30,,일주동로,8675,,,,
33.2503371795,126.571403242,doctors,우리동홍의원,064-732-7533,,2020-06-30,,태평로,505,,,,
33.2478583583,126.5638138396,doctors,우리들소아과의원,064-732-2323,,2020-06-30,,중정로,70,,,,
33.2540916214,126.5610785882,doctors,우리정형외과,064-733-1418,,2020-06-30,,중앙로,106,,,,
33.2528304822,126.5603809316,doctors,유 소아과의원,064-732-5418,,2020-06-30,,중앙로,93,,,,
33.2473593662,126.5603739873,doctors,윤성현 내과의원,064-762-5651,,2020-06-30,,중정로,38,,,,
33.2488158092,126.5694834452,doctors,의료법인 열린의료재단 서연의원,064-763-4100,,2020-06-30,,중정로,123,,,,
33.247829085,126.5636938032,doctors,이내과,064-762-3872,,2020-06-30,,중정로,68-1,,,,
33.2478650272,126.5616076115,doctors,이종찬 제통마취과,064-763-7056,,2020-06-30,,중앙로,35-1,,,,
33.2528304822,126.5603809316,doctors,인혜의원,064-763-7890,,2020-06-30,,중앙로,93,,,,
33.2530190325,126.5616891876,doctors,전인기 피부과 의원,064-763-2822,,2020-06-30,,일주동로,8675,,,,
33.2475101649,126.5622274586,doctors,정안과,064-733-3346,,2020-06-30,,중정로,54-1,,,,
33.2501135684,126.5651675935,doctors,제일산부인과,064-733-2312,,2020-06-30,,동문로,46,,,,
33.2530190325,126.5616891876,doctors,제일정형외과 의원,064-762-4565,,2020-06-30,,일주동로,8675,,,,
33.2523423495,126.5620702996,doctors,제주성모안과의원,064-763-2119,,2020-06-30,,동문로,5,,,,
33.2520151578,126.4266082779,doctors,중문삼성연합의원,064-738-6300,제주특별자치도 서귀포시 천제연로 207번길 3,2020-06-30,,천제연로,3,,,,
33.2520020483,126.4229941848,doctors,중문신내과의원,064-738-7582,,2020-06-30,,중문로,1,,,,
33.2520020483,126.4229941848,doctors,중문의원,064-738-8091,,2020-06-30,,중문로,1,,,,
33.2550559971,126.5718352158,doctors,킴스연합의원,064-901-9021 ,,2020-06-30,,동홍중앙로,49,,,,
33.2489926319,126.5073221055,doctors,투게더피부과의원,064-739-4500,,2020-06-30,,월드컵로,8,,,,
33.2517680782,126.4269919119,doctors,파티마 마취통증의학과,064-738-7893,,2020-06-30,,천제연로,209,,,,
33.2478650272,126.5616076115,doctors,푸른소아청소년과의원,064-763-6500,,2020-06-30,,중앙로,35-1,,,,
33.2479220146,126.5644831084,doctors,하나의원,064-762-6022,,2020-06-30,,중정로,76,,,,
33.2474893417,126.5624593407,doctors,한관지이비인후과의원,064-733-2220,,2020-06-30,,중정로,56-1,,,,
33.2530190325,126.5616891876,doctors,한라 이비인후과 의원,064-762-8876,,2020-06-30,,일주동로,8675,,,,
33.2530190325,126.5616891876,doctors,한라 힘 내과의원,064-762-7579,,2020-06-30,,일주동로,8675,,,,
33.253148016,126.522288039,doctors,허용가정의학과의원,064-739-5075,,2020-06-30,,서호남로,91,,,,
33.2493880758,126.5670683757,doctors,현대산부인과,064-763-8889,,2020-06-30,,동문로,61,,,,
33.2489926319,126.5073221055,doctors,현혜선산부인과,064-739-0003,제주특별자치도 서귀포시월드컵로8,2020-06-30,,,,,,,
33.2523187143,126.5615038173,doctors,황 비뇨기과 의원,064-733-1800,,2020-06-30,,동문로,2,,,,
33.2633956454,126.617626329,doctors,효돈중앙의원,064-733-6007,,2020-06-30,,하신상로,30,,,,
33.4468995109,126.9121997677,doctors,서울의원,,,2020-06-30,,서성일로,1252,성산읍,,,
33.4499061992,126.9158320822,doctors,성산제일정형외과의원,064-900-2456,,2020-06-30,,동류암로36번길,16,성산읍,,,
33.2782778272,126.7165702779,doctors,남원중앙정형외과의원,064-764-8279,,2020-06-30,,태위로,654,남원읍,,,
33.2780521081,126.7140720659,doctors,우리통증의원,064-764-7227,,2020-06-30,,태위로,629,남원읍,,,
