위도,경도,name,phone,addr:full,source:date,amenity
33.2508916308,126.5638674484,강성현 치과의원,064-762-2793,제주특별자치도 서귀포시 동문로 30-2 ,2020-06-30,dentist
33.2530076684,126.5615347158,고운부부치과의원,064-762-2879,제주특별자치도 서귀포시 중앙로 94 ,2020-06-30,dentist
33.2523669,126.5543846,그랜드치과의원,064-805-1004,제주특별자치도 서귀포시 일중동로 8723,2020-06-30,dentist
33.2478123821,126.562019926,김관원 치과의원,064-763-2828,제주특별자치도 서귀포시 중정로 53 ,2020-06-30,dentist
33.2530375488,126.5618264539,김성국 치과의원,064-732-0028,제주특별자치도 서귀포시 일주동로 8673 ,2020-06-30,dentist
33.2466297204,126.5620987914,김익현 치과의원,064-732-7522,제주특별자치도 서귀포시 중앙로 22 ,2020-06-30,dentist
33.2527194803,126.5040260664,노벨치과의원,064-712-2875,제주특별자치도 서귀포시 대청로 39 ,2020-06-30,dentist
33.2608928185,126.557829237,다나치과의원,064-762-7528,제주특별자치도 서귀포시 중앙로 189,2020-06-30,dentist
33.2550559971,126.5718352158,동홍치과의원,064-763-2878,제주특별자치도 서귀포시 동홍중앙로 49 ,2020-06-30,dentist
33.2489926319,126.5073221055,리더스치과의원,064-738-7522,제주특별자치도 서귀포시 월드컵로 8 ,2020-06-30,dentist
33.2523832969,126.5603874633,문장봉 치과의원의원,064-763-2833,제주특별자치도 서귀포시 서문로 2 ,2020-06-30,dentist
33.2490984529,126.5667521758,미래치과의원,064-733-7528,제주특별자치도 서귀포시 동문로 62-1 ,2020-06-30,dentist
33.2473856103,126.5616786799,미소를 찾는 치과의원,064-763-7528,제주특별자치도 서귀포시 중정로 50 ,2020-06-30,dentist
33.2520020483,126.4229941848,백상치과의원,064-738-9240,제주특별자치도 서귀포시 중문로 1,2020-06-30,dentist
33.2527347788,126.504244894,서울미치과의원의원,064-738-2875,제주특별자치도 서귀포시 대청로 41 ,2020-06-30,dentist
33.2528454687,126.5615612807,서울치과의원,064-732-2828,제주특별자치도 서귀포시 중앙로 92 ,2020-06-30,dentist
33.2515411184,126.4254824854,선치과의원,064-738-2811,제주특별자치도 서귀포시 천제연로 194,2020-06-30,dentist
33.2479220146,126.5644831084,성수치과의원,064-762-2828,제주특별자치도 서귀포시 중정로 76,2020-06-30,dentist
33.2530924167,126.5620450957,스타치과교정과 치과의원,064-767-9898,제주특별자치도 서귀포시 일주동로 8671 ,2020-06-30,dentist
33.2521723812,126.5609164869,양 치과의원,064-732-3113,제주특별자치도 서귀포시 중앙로 85 ,2020-06-30,dentist
33.2520244408,126.5608957647,연세치과의원,064-732-2833,제주특별자치도 서귀포시 중앙로 83 ,2020-06-30,dentist
33.2481529133,126.563477583,오만용 치과의원,064-763-2222,제주특별자치도 서귀포시 중정로 67 ,2020-06-30,dentist
33.2527829305,126.560192302,오승혁치과의원,,제주특별자치도 서귀포시 일주동로 8687,2020-06-30,dentist
33.2526946521,126.4230282644,원치과,064-738-2855,제주특별자치도 서귀포시 중문로 7 ,2020-06-30,dentist
33.2540196681,126.5662685917,유디 서귀포치과의원,064-900-7743,제주특별자치도 서귀포시 일주동로 8629,2020-06-30,dentist
33.2530190325,126.5616891876,이사랑치과의원,064-733-2875,제주특별자치도 서귀포시 일주동로 8675,2020-06-30,dentist
33.2474893417,126.5624593407,장정훈 치과의원,064-763-0028,제주특별자치도 서귀포시 중정로 56-1 ,2020-06-30,dentist
33.255061498,126.575543963,제주좋은치과의원,064-733-2879,제주특별자치도 서귀포시 일주동로 8544,2020-06-30,dentist
33.2518828457,126.424510174,중문미담치과의원,064-738-7528,제주특별자치도 서귀포시 천제연로 185,2020-06-30,dentist
33.2516096646,126.4239282045,중문치과의원,064-738-2875,제주특별자치도 서귀포시 천제연로 182 ,2020-06-30,dentist
33.2523187143,126.5615038173,참 조은치과의원,064-733-2828,제주특별자치도 서귀포시 동문로 2,2020-06-30,dentist
