위도,경도,name,phone,addr:full,source:date,amenity,healthcare:speciality,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2522538,126.5604274,강준혁한의원,064-767-8275,,2020-06-30,doctors,acupuncture,,서문로,2-1,,,,
33.2519127316,126.5609220779,경희세림한의원,064-767-1075,,2020-06-30,doctors,acupuncture,,중앙로,81,,,,
33.2527194803,126.5040260664,경희수연한의원,064-756-5789,,2020-06-30,doctors,acupuncture,,대청로,39,,,,
33.255487,126.5686054,경희한의원,064-763-2626,,2020-06-30,doctors,acupuncture,,일주동로,873,,,,
33.2519142,126.5609974,고려한의원,064-733-7066,,2020-06-30,doctors,acupuncture,,중앙로,81,,,,
33.2520377,126.5627853,대추나무한의원,064-733-8275,,2020-06-30,doctors,acupuncture,,동문로,13,,,,
33.255487,126.5686054,동의한의원,064-733-0124,,2020-06-30,doctors,acupuncture,,일주동로,9544,,,,
33.2488348,126.5619782,만년한의원,064-767-4578,제주특별자치도 서귀포시 중앙로46,2020-06-30,doctors,acupuncture,,,,,,,
33.2523487,126.5085052,새서귀보한의원,064-738-1075,,2020-06-30,doctors,acupuncture,,신중남로,26,,,,
33.2481529133,126.563477583,서귀포약손한의원,064-732-7725,,2020-06-30,doctors,acupuncture,,중정로,67,,,,
33.258115231,126.5859476119,서귀포한의원,064-763-7444,,2020-06-30,doctors,acupuncture,,검은여로,191,,,,
33.2555315,126.5604531,서상록 한의원,064-762-0762,,2020-06-30,doctors,acupuncture,,중앙로,121,,,,
33.2523787,126.5604651,양동호 한의원,064-900-3375,,2020-06-30,doctors,acupuncture,,서문로,2,,,,
33.2503412,126.5725264,오지영한의원,064-732-1075,제주특별자치도 서귀포시 태평로 512번길 4,2020-06-30,doctors,acupuncture,,태평로,4,,,,
33.237662,126.5132769,우리한의원,064-738-0175,,2020-06-30,doctors,acupuncture,,이어도로,924,,,,
33.2550726,126.5725782,유동욱한의원,064-732-4346,,2020-06-30,doctors,acupuncture,,일주동로,8572,,,,
33.2505063,126.5645423,유진한의원,064-733-6996,,2020-06-30,doctors,acupuncture,,동문로,36,,,,
33.2546735,126.5610815,이현우한의워,064-733-2110,,2020-06-30,doctors,acupuncture,,중앙로,109,,,,
33.2498252,126.5638109,정방한의원,064-762-7572,,2020-06-30,doctors,acupuncture,,중앙로,42,,,,
33.2526686,126.4232104,제중당한의원,064-738-2438,,2020-06-30,doctors,acupuncture,,중문로,7,,,,
33.2521468,126.4220672,중문유앤이한의원,064-739-9975,,2020-06-30,doctors,acupuncture,,중문천제연로,206,,,,
33.2515944,126.4240302,중문한의원,064-738-3375,,2020-06-30,doctors,acupuncture,,천제연로,182,,,,
33.2478433,126.5641051,중앙한의원,064-762-2205,,2020-06-30,doctors,acupuncture,,이중섭로,2,,,,
33.2483228,126.5662788,해달한의원,064-762-1075,제주특별자치도 서귀포시 태평로 431번길 32,2020-06-30,doctors,acupuncture,,태평로,32,,,,
33.248394,126.5615895,해인부부한의원,064-763-3999,,2020-06-30,doctors,acupuncture,,중앙로,43,,,,
33.2484225,126.5674188,형제한의원,064-733-7976,,2020-06-30,doctors,acupuncture,,중정로,104,,,,
33.2635277,126.6169934,효돈한의원,064-767-9975,,2020-06-30,doctors,acupuncture,,효돈로,170,,,,
33.3262429333,126.8331182017,인술한의원,064-787-1195,,2020-06-30,doctors,acupuncture,,표선동서로,252,표선면,,,
33.2755571748,126.6666059986,위미한의원,064-764-7975,,2020-06-30,doctors,acupuncture,,태위로,179,남원읍,,,
33.2798026,126.7179092,한마음한의원,064-764-7550,제주특별자치도 서귀포시 남원읍 태위로 689번길 3,2020-06-30,doctors,acupuncture,,태위로,3,남원읍,,,
33.3239172536,126.8308371757,표선경희한의원,064-787-7533,제주특별자치도 서귀포시 표선면 표선관정로 104번길 4,2020-06-30,doctors,acupuncture,,표선관정로,4,표선면,,,
33.4525018092,126.9143280685,삼성한의원,064-784-0037,,2020-06-30,doctors,acupuncture,,고성오조로,98-1,성산읍,,,
33.2800755321,126.7220949001,남원한의원,064-764-9600,,2020-06-30,doctors,acupuncture,,태위로,709,남원읍,,,
33.2790505,126.7154513,꽃사슴한의원,064-764-7510,제주특별자치도 서귀포시 남원읍 태위로 663번길 2,2020-06-30,doctors,acupuncture,,태위로,2,남원읍,,,
33.4490762481,126.9151445412,김주영한의원,064-783-7975,,2020-06-30,doctors,acupuncture,,동류암로,51-1,성산읍,,,
33.3262850948,126.8322889756,표선한의원,064-787-7890,,2020-06-30,doctors,acupuncture,,표선중앙로,78,표선면,,,
33.4501400132,126.9149456044,서울경희한의원,064-782-5275,,2020-06-30,doctors,acupuncture,,고성오조로,72,성산읍,,,
33.2216961815,126.2528030045,남제주한의원,064-792-7582,제주특별자치도 서귀포시 대정읍 하모상가로37,2020-06-30,doctors,acupuncture,,,,대정읍,,,
33.2205532251,126.2528513378,모슬포한의원,064-792-1075,,2020-06-30,doctors,acupuncture,,신영로94번길,2,대정읍,,,
33.221263635,126.2528410082,올레한의원,064-794-8253,,2020-06-30,doctors,acupuncture,,하모상가로,38-1,대정읍,,,
33.2216071532,126.25419399,새봄한의원,064-794-1077,,2020-06-30,doctors,acupuncture,,신영로,108,대정읍,,,
33.2188777459,126.2519044636,백록한의원,064-792-1175,,2020-06-30,doctors,acupuncture,,최남단해안로,18,대정읍,,,
33.221628,126.2516677,대정한의원,064-792-7772,,2020-06-30,doctors,acupuncture,,신영로,107,대정읍,,,
33.2480335872,126.3359880284,경희한의원,064-794-8306,,2020-06-30,doctors,acupuncture,,화순중앙로,47,안덕면,,,
33.2460626777,126.3329598661,명한의원,064-794-5157,,2020-06-30,doctors,acupuncture,,화순로,125,안덕면,,,
33.2311222123,126.2958676002,산방산한의원,064-792-8879,,2020-06-30,doctors,acupuncture,,사계남로21번길,31,안덕면,,,
33.221767251,126.2532271932,경희 강 한의원,064-900-4994,,2020-06-30,doctors,acupuncture,,하모상가로,41,대정읍,,,
33.223971065,126.2520713673,허미숙한의원,064-792-0081,,2020-06-30,doctors,acupuncture,,하모중앙로,48,대정읍,,,
33.2259560373,126.2535091366,진 한의원,064-794-0156,,2020-06-30,doctors,acupuncture,,동일하모로,209,대정읍,,,
